#{"t_start": 1522156859.1297092, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.013883
0.0,12,0.014271
0.0,4,0.014427
0.0,2,0.014534
0.0,11,0.014838
0.0,5,0.015008
0.0,9,0.01526
0.0,18,0.01567
0.0,17,0.01609
0.0,13,0.016433
0.0,2,0.016532
0.0,6,0.016723
0.0,2,0.016831
0.0,7,0.017034
0.0,5,0.017194
0.0,8,0.017417
0.0,21,0.017915
0.0,3,0.018043
0.0,3,0.018171
0.0,40,0.019048
0.0,5,0.019213
0.0,4,0.019351
0.0,13,0.019669
0.0,1,0.019742
0.0,3,0.019875
0.0,11,0.020154
0.0,8,0.020384
0.0,12,0.020684
0.0,33,0.021401
0.0,16,0.021794
0.0,21,0.02227
0.0,21,0.022751
0.0,11,0.023039
0.0,3,0.023155
0.0,4,0.023299
0.0,23,0.023846
0.0,10,0.024105
0.0,5,0.024269
0.0,10,0.024529
0.0,4,0.024665
0.0,14,0.025017
0.0,12,0.025324
0.0,7,0.025519
0.0,20,0.025982
0.0,4,0.026123
0.0,35,0.02688
0.0,10,0.027144
0.0,6,0.02733
0.0,2,0.027425
0.0,4,0.027569
0.0,1,0.027643
0.0,5,0.027813
0.0,17,0.028224
0.0,8,0.028445
0.0,5,0.028614
0.0,3,0.028732
0.0,5,0.028899
0.0,30,0.029552
0.0,9,0.029809
0.0,13,0.030134
0.0,9,0.030382
0.0,3,0.030499
0.0,7,0.030703
0.0,7,0.030921
0.0,21,0.031399
0.0,15,0.031748
0.0,15,0.032124
0.0,5,0.032285
0.0,4,0.032428
0.0,14,0.032764
0.0,3,0.032895
0.0,6,0.033082
0.0,1,0.033161
0.0,16,0.033534
0.0,7,0.033747
0.0,8,0.033985
0.0,9,0.034229
0.0,25,0.034785
0.0,21,0.035263
0.0,21,0.035732
0.0,1,0.035818
0.0,10,0.036083
0.0,5,0.036238
0.0,2,0.036335
0.0,6,0.03651
0.0,12,0.03682
0.0,1,0.036896
0.0,24,0.037444
0.0,4,0.037587
0.0,6,0.037777
0.0,2,0.037884
0.0,1,0.037958
0.0,2,0.038054
0.0,39,0.038884
0.0,14,0.039238
0.0,3,0.039357
0.0,3,0.039472
0.0,8,0.039702
0.0,4,0.039852
0.0,1,0.039927
0.0,3,0.040051
0.0,8,0.040267
0.0,4,0.040401
0.0,31,0.041106
0.0,3,0.041234
0.0,18,0.041656
0.0,15,0.042035
0.0,8,0.042275
0.0,10,0.042546
0.0,13,0.04288
0.0,3,0.043
0.0,13,0.043319
0.0,1,0.043397
0.0,5,0.043569
0.0,6,0.043745
0.0,18,0.044193
0.0,5,0.044363
0.0,8,0.044578
0.0,5,0.044733
0.0,1,0.044813
0.0,23,0.045334
0.0,5,0.045496
0.0,5,0.045654
0.0,6,0.045849
0.0,12,0.046152
0.0,4,0.046289
0.0,8,0.046503
0.0,20,0.046965
0.0,5,0.04713
0.0,11,0.047418
0.0,8,0.047634
0.0,5,0.047802
0.0,30,0.048479
0.0,1,0.048555
0.0,16,0.048957
0.0,4,0.049104
0.0,9,0.049347
0.0,25,0.04992
0.0,12,0.050215
0.0,7,0.050409
0.0,7,0.050602
0.0,19,0.051055
0.0,2,0.05116
0.0,2,0.051258
0.0,2,0.051353
0.0,11,0.051643
0.0,14,0.051994
0.0,7,0.0522
0.0,1,0.052278
0.0,4,0.052427
0.0,4,0.052564
0.0,1,0.052636
0.0,6,0.052831
0.0,5,0.052988
0.0,6,0.053178
0.0,5,0.053334
0.0,15,0.053694
1.0,12,0.054006
0.0,17,0.054406
0.0,2,0.054508
0.0,4,0.054646
0.0,5,0.054815
0.0,11,0.055089
0.0,3,0.055208
0.0,3,0.055325
0.0,33,0.05604
0.0,17,0.056435
0.0,12,0.056729
0.0,16,0.057119
0.0,10,0.05739
0.0,1,0.057463
0.0,5,0.05762
0.0,5,0.057783
0.0,2,0.057889
0.0,11,0.058166
0.0,3,0.058287
0.0,7,0.058494
0.0,7,0.058691
0.0,13,0.059023
0.0,8,0.059241
0.0,17,0.059637
0.0,15,0.060012
0.0,9,0.06025
0.0,6,0.06043
0.0,38,0.061264
0.0,9,0.061512
0.0,7,0.061712
0.0,6,0.061908
0.0,1,0.061988
0.0,12,0.062291
0.0,14,0.06263
0.0,17,0.063039
0.0,21,0.063519
0.0,16,0.063905
0.0,19,0.064338
0.0,5,0.064497
0.0,5,0.064659
0.0,16,0.065042
0.0,10,0.065301
0.0,8,0.065516
0.0,9,0.065749
0.0,9,0.065991
0.0,4,0.06613
0.0,1,0.066203
0.0,5,0.066358
0.0,5,0.066513
0.0,4,0.066653
0.0,6,0.066841
0.0,4,0.066988
0.0,6,0.067163
0.0,7,0.067365
0.0,22,0.06788
0.0,8,0.068094
0.0,3,0.068208
0.0,1,0.068281
0.0,11,0.068553
0.0,1,0.068624
0.0,2,0.068726
0.0,8,0.068952
0.0,20,0.069423
0.0,7,0.069619
0.0,21,0.070098
0.0,18,0.070505
0.0,12,0.070816
0.0,4,0.070961
0.0,4,0.0711
0.0,4,0.071243
0.0,4,0.071386
0.0,4,0.071523
0.0,2,0.071622
0.0,11,0.071907
0.0,2,0.07201
0.0,10,0.072278
0.0,13,0.072603
0.0,1,0.072685
0.0,7,0.072897
0.0,16,0.073284
0.0,23,0.073816
0.0,3,0.073944
0.0,5,0.074101
0.0,3,0.074218
0.0,3,0.074341
0.0,4,0.074478
0.0,5,0.074641
0.0,5,0.074808
0.0,14,0.07514
0.0,9,0.07538
0.0,7,0.075583
0.0,33,0.076347
0.0,2,0.076448
0.0,4,0.076584
0.0,14,0.076934
0.0,3,0.077053
0.0,19,0.077493
0.0,10,0.077749
0.0,12,0.078055
0.0,7,0.078255
0.0,2,0.078357
0.0,21,0.078858
0.0,6,0.079037
0.0,1,0.079114
0.0,10,0.079383
0.0,14,0.079737
0.0,4,0.079883
0.0,7,0.080082
0.0,6,0.080265
0.0,5,0.080421
0.0,5,0.080582
0.0,4,0.08072
0.0,3,0.080848
0.0,7,0.08105
0.0,20,0.081507
0.0,14,0.081858
1.0,37,0.082654
0.0,8,0.082886
0.0,3,0.083007
0.0,7,0.083211
0.0,24,0.083744
1.0,20,0.084207
0.0,10,0.084462
0.0,6,0.084636
0.0,6,0.084824
0.0,12,0.085116
0.0,12,0.085419
0.0,6,0.085597
0.0,31,0.086298
0.0,10,0.086567
0.0,6,0.086751
0.0,10,0.087029
0.0,3,0.087153
0.0,3,0.087276
0.0,7,0.08748
0.0,5,0.087637
0.0,19,0.088097
0.0,4,0.088237
0.0,10,0.088496
0.0,8,0.088719
0.0,4,0.088867
1.0,17,0.089275
1.0,26,0.089869
0.0,6,0.090061
0.0,1,0.090136
0.0,8,0.09036
0.0,9,0.090609
0.0,10,0.09088
0.0,4,0.09102
0.0,47,0.092019
0.0,19,0.092456
1.0,18,0.092884
0.0,8,0.09311
0.0,5,0.093272
0.0,16,0.093657
0.0,6,0.093849
0.0,6,0.094027
0.0,10,0.094292
0.0,13,0.094603
0.0,5,0.094768
0.0,1,0.094859
0.0,8,0.095084
0.0,5,0.095242
0.0,9,0.095473
0.0,13,0.095791
0.0,1,0.095867
