#{"t_start": 1522156874.126125, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,8,0.011806
0.0,2,0.011925
0.0,1,0.012007
0.0,12,0.012342
0.0,17,0.012777
0.0,9,0.013047
0.0,24,0.013664
0.0,3,0.013792
0.0,14,0.014157
0.0,13,0.014515
0.0,11,0.014811
0.0,15,0.015188
0.0,11,0.015505
0.0,19,0.015981
0.0,5,0.016147
0.0,3,0.016277
0.0,7,0.016526
0.0,1,0.016607
0.0,1,0.016684
0.0,6,0.016872
0.0,25,0.017478
0.0,20,0.017959
0.0,19,0.018427
0.0,4,0.018574
0.0,34,0.019346
0.0,16,0.01977
0.0,21,0.020281
0.0,4,0.02044
0.0,14,0.020799
0.0,11,0.021102
0.0,5,0.021269
0.0,7,0.021501
0.0,6,0.021698
0.0,1,0.021775
0.0,4,0.021919
0.0,27,0.022579
0.0,14,0.022938
0.0,11,0.02323
0.0,5,0.023416
0.0,4,0.023569
0.0,4,0.023721
0.0,5,0.023895
0.0,3,0.024019
0.0,8,0.024248
0.0,14,0.024625
0.0,1,0.024705
0.0,9,0.024957
0.0,18,0.02542
0.0,2,0.025525
0.0,4,0.025673
0.0,8,0.025911
0.0,10,0.026184
0.0,8,0.02643
0.0,6,0.026618
0.0,4,0.026769
0.0,4,0.026921
0.0,33,0.02771
0.0,11,0.028014
0.0,9,0.028276
0.0,7,0.028518
0.0,9,0.028782
0.0,5,0.02895
0.0,4,0.029095
0.0,6,0.029287
0.0,1,0.029366
0.0,1,0.029454
0.0,4,0.029608
0.0,7,0.029825
0.0,6,0.03002
0.0,5,0.030188
0.0,12,0.030526
0.0,25,0.031128
0.0,15,0.031529
0.0,1,0.031612
0.0,2,0.031713
0.0,11,0.032014
0.0,1,0.032096
0.0,3,0.032221
0.0,2,0.032327
0.0,12,0.032657
0.0,22,0.0332
0.0,2,0.033308
0.0,17,0.03375
0.0,9,0.034
0.0,4,0.03415
0.0,5,0.034324
0.0,6,0.034522
