#{"t_start": 1522156629.3873267, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,4,0.010549
0.0,6,0.010776
0.0,4,0.010929
0.0,3,0.011055
0.0,23,0.011589
0.0,7,0.011805
0.0,10,0.012069
0.0,1,0.012153
0.0,9,0.012403
0.0,3,0.01253
0.0,21,0.013042
0.0,8,0.013273
0.0,10,0.013546
0.0,1,0.013628
0.0,8,0.013865
0.0,4,0.014008
0.0,7,0.014213
0.0,27,0.014837
0.0,11,0.01512
0.0,20,0.015586
0.0,13,0.015925
0.0,6,0.01611
0.0,3,0.016236
0.0,7,0.016446
0.0,11,0.016737
0.0,7,0.016951
0.0,6,0.017144
0.0,8,0.017366
0.0,13,0.017689
0.0,5,0.017872
0.0,1,0.017951
0.0,12,0.01826
0.0,24,0.018833
0.0,19,0.019291
0.0,13,0.01962
0.0,15,0.020001
0.0,8,0.020236
0.0,30,0.020926
0.0,9,0.021172
0.0,3,0.021292
0.0,17,0.021699
0.0,10,0.021986
0.0,38,0.02286
0.0,7,0.023077
0.0,40,0.023965
0.0,16,0.024361
0.0,14,0.024706
0.0,18,0.025157
0.0,14,0.025507
0.0,7,0.025714
0.0,5,0.025892
0.0,1,0.025972
0.0,2,0.026077
0.0,6,0.026266
0.0,5,0.026428
0.0,46,0.027434
0.0,9,0.027678
0.0,4,0.027839
0.0,14,0.028194
0.0,5,0.028358
0.0,3,0.028479
0.0,1,0.028556
0.0,4,0.028697
0.0,30,0.029385
0.0,35,0.030161
0.0,14,0.030512
0.0,9,0.030768
0.0,6,0.030957
0.0,7,0.031159
0.0,11,0.03145
0.0,14,0.031809
0.0,10,0.032078
0.0,34,0.032835
0.0,6,0.033032
0.0,10,0.033302
0.0,4,0.033443
0.0,16,0.033837
0.0,6,0.034021
0.0,14,0.03437
0.0,1,0.034448
0.0,8,0.034676
0.0,4,0.034829
0.0,7,0.035032
0.0,25,0.035594
0.0,14,0.035953
0.0,5,0.036122
0.0,3,0.036243
0.0,7,0.036448
0.0,6,0.03663
0.0,18,0.037066
0.0,4,0.037215
0.0,6,0.037397
0.0,24,0.037959
0.0,19,0.038405
0.0,16,0.038802
0.0,6,0.038985
0.0,3,0.039104
0.0,43,0.040061
0.0,34,0.040827
0.0,8,0.041052
0.0,10,0.041319
0.0,13,0.041645
0.0,39,0.042506
0.0,2,0.042613
0.0,13,0.042955
0.0,6,0.043143
0.0,12,0.043453
0.0,38,0.044313
0.0,5,0.044477
0.0,15,0.044858
0.0,7,0.045062
0.0,2,0.045167
0.0,15,0.045527
0.0,7,0.045733
0.0,12,0.046044
0.0,13,0.04637
0.0,26,0.046988
0.0,75,0.048595
0.0,19,0.049059
0.0,3,0.049187
0.0,10,0.049465
0.0,11,0.049768
0.0,21,0.050259
0.0,3,0.05038
0.0,31,0.05108
0.0,22,0.051596
0.0,5,0.051766
0.0,3,0.051891
0.0,8,0.052113
0.0,5,0.052273
0.0,12,0.052588
0.0,8,0.052828
0.0,4,0.052975
0.0,18,0.053407
