#{"t_start": 1522150317.6687787, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,56,0.009862
0.0,100,0.012371
0.0,39,0.013364
0.0,100,0.015867
0.0,12,0.016224
0.0,28,0.016953
0.0,40,0.017977
0.0,1,0.018063
0.0,46,0.019213
0.0,2,0.019326
0.0,60,0.020821
0.0,58,0.022288
0.0,69,0.023991
0.0,26,0.024652
1.0,66,0.02627
0.0,100,0.02871
0.0,8,0.028974
0.0,9,0.029251
1.0,13,0.029617
0.0,13,0.030002
0.0,12,0.030346
1.0,54,0.031675
0.0,3,0.03182
0.0,24,0.032462
0.0,23,0.03309
0.0,32,0.033916
0.0,17,0.034385
0.0,20,0.034938
0.0,19,0.035439
0.0,6,0.035647
0.0,18,0.036148
0.0,12,0.036505
0.0,2,0.036616
0.0,11,0.036957
0.0,21,0.037522
0.0,16,0.03797
0.0,19,0.03847
0.0,12,0.03883
0.0,3,0.038966
1.0,12,0.039328
0.0,15,0.039756
0.0,3,0.039887
0.0,18,0.040376
0.0,11,0.040703
1.0,18,0.041199
0.0,10,0.041498
1.0,26,0.042194
0.0,21,0.04276
0.0,16,0.043208
0.0,61,0.044714
0.0,17,0.045193
0.0,5,0.04538
0.0,19,0.045913
1.0,12,0.046262
0.0,21,0.046827
0.0,14,0.047226
0.0,7,0.047448
0.0,17,0.047908
0.0,21,0.048472
0.0,4,0.048635
0.0,4,0.048798
0.0,4,0.048951
0.0,8,0.049211
0.0,30,0.049975
0.0,5,0.050156
0.0,27,0.050875
0.0,9,0.051153
0.0,6,0.051353
0.0,42,0.052399
0.0,11,0.052723
0.0,13,0.053107
0.0,30,0.053888
0.0,7,0.054118
0.0,23,0.05472
0.0,1,0.054807
0.0,30,0.055579
0.0,7,0.055812
0.0,15,0.05623
0.0,24,0.056875
1.0,24,0.057499
0.0,14,0.057896
0.0,3,0.058031
0.0,12,0.058371
0.0,5,0.058546
0.0,20,0.059089
1.0,45,0.060234
1.0,10,0.060527
0.0,14,0.060935
1.0,64,0.062509
0.0,9,0.062793
0.0,3,0.062922
0.0,67,0.064612
0.0,35,0.065494
0.0,33,0.066344
1.0,22,0.066931
1.0,9,0.067207
1.0,40,0.068204
1.0,25,0.06887
0.0,2,0.06898
0.0,1,0.069063
1.0,47,0.070225
0.0,4,0.070384
0.0,24,0.071021
0.0,36,0.07194
0.0,10,0.072235
0.0,46,0.073392
0.0,16,0.073846
1.0,38,0.074813
0.0,29,0.075554
0.0,3,0.07569
0.0,26,0.076372
1.0,41,0.077412
0.0,5,0.077594
0.0,36,0.078516
0.0,1,0.078597
0.0,28,0.07933
0.0,100,0.081763
1.0,14,0.082156
0.0,1,0.08224
1.0,31,0.08305
0.0,13,0.083414
1.0,22,0.084002
0.0,78,0.085934
1.0,40,0.086961
1.0,17,0.087416
1.0,17,0.08788
0.0,5,0.088062
0.0,14,0.088459
0.0,20,0.089005
0.0,93,0.09127
0.0,1,0.091357
0.0,27,0.092067
0.0,5,0.092252
1.0,11,0.092579
0.0,29,0.093333
0.0,14,0.093729
0.0,37,0.094665
1.0,11,0.094997
0.0,22,0.095579
0.0,91,0.097811
0.0,4,0.097972
0.0,17,0.098444
0.0,14,0.09885
1.0,73,0.100625
0.0,25,0.101295
1.0,38,0.102271
0.0,45,0.103416
0.0,21,0.104013
1.0,11,0.104328
1.0,73,0.106117
1.0,37,0.107053
0.0,61,0.108567
0.0,29,0.109407
0.0,2,0.109524
0.0,10,0.10984
1.0,25,0.110495
0.0,34,0.111367
0.0,4,0.111524
0.0,16,0.111976
0.0,100,0.114411
0.0,20,0.114954
0.0,41,0.115984
