#{"t_start": 1522156682.4567168, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,61,0.069524
0.0,59,0.07238
0.0,27,0.073715
0.0,21,0.074709
0.0,45,0.076749
0.0,76,0.080144
0.0,21,0.081137
0.0,30,0.082518
0.0,91,0.08659
0.0,4,0.086838
0.0,14,0.087527
1.0,35,0.089148
0.0,55,0.091601
0.0,15,0.092334
0.0,6,0.092667
0.0,41,0.094536
0.0,100,0.098944
1.0,14,0.099641
0.0,8,0.100056
0.0,27,0.101315
0.0,6,0.101644
0.0,11,0.1022
0.0,3,0.102401
1.0,24,0.103523
0.0,2,0.103681
0.0,12,0.104276
0.0,6,0.104605
0.0,17,0.105417
0.0,8,0.105832
0.0,16,0.106601
0.0,20,0.107549
0.0,10,0.108047
0.0,11,0.1086
0.0,32,0.11007
0.0,14,0.110754
0.0,11,0.111305
0.0,23,0.112376
0.0,15,0.113105
0.0,2,0.113263
0.0,7,0.113636
0.0,2,0.113792
0.0,16,0.114558
1.0,10,0.11506
0.0,6,0.1154
0.0,36,0.117032
1.0,14,0.117712
0.0,38,0.119444
0.0,13,0.120085
0.0,12,0.120683
0.0,3,0.120881
0.0,3,0.121089
0.0,12,0.121682
0.0,8,0.122105
0.0,12,0.122693
0.0,1,0.122803
0.0,22,0.123841
0.0,21,0.124825
0.0,11,0.125386
0.0,2,0.125544
0.0,5,0.125834
0.0,7,0.126216
0.0,59,0.128854
0.0,11,0.129416
0.0,8,0.129831
0.0,13,0.130479
0.0,20,0.131427
0.0,2,0.131587
0.0,11,0.132145
1.0,6,0.132474
1.0,8,0.132885
0.0,6,0.133227
0.0,18,0.134096
0.0,18,0.134942
1.0,98,0.139288
0.0,2,0.139445
0.0,9,0.139904
0.0,19,0.14081
0.0,30,0.142197
0.0,16,0.142963
0.0,2,0.143132
0.0,17,0.143941
0.0,25,0.145111
1.0,45,0.147145
0.0,30,0.148522
0.0,12,0.149119
0.0,11,0.149667
0.0,14,0.150352
0.0,19,0.151257
0.0,2,0.151416
0.0,10,0.151926
0.0,37,0.153613
0.0,35,0.155215
0.0,25,0.156377
0.0,20,0.157324
