#{"t_start": 1522157334.8538575, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,7,0.0105
0.0,3,0.010643
0.0,5,0.010836
0.0,4,0.010987
0.0,6,0.011176
0.0,2,0.01128
0.0,9,0.011532
0.0,4,0.011709
0.0,7,0.011937
0.0,20,0.012438
0.0,26,0.013081
0.0,37,0.013969
0.0,2,0.014078
0.0,3,0.014213
1.0,17,0.014633
0.0,1,0.01474
0.0,11,0.015059
0.0,5,0.015238
0.0,15,0.015616
0.0,4,0.015776
0.0,4,0.015928
0.0,18,0.016376
0.0,1,0.016458
0.0,5,0.016639
0.0,4,0.016802
0.0,4,0.016953
0.0,12,0.017275
0.0,15,0.017692
0.0,12,0.018032
0.0,4,0.01818
0.0,9,0.018433
0.0,5,0.018599
0.0,11,0.018904
0.0,15,0.019284
1.0,7,0.019502
0.0,19,0.019988
0.0,4,0.020143
0.0,6,0.020332
0.0,15,0.020756
0.0,12,0.021088
0.0,9,0.021348
0.0,16,0.021767
0.0,9,0.022028
0.0,13,0.022379
1.0,26,0.023016
0.0,5,0.023189
0.0,22,0.023746
0.0,4,0.023916
0.0,4,0.024064
0.0,3,0.024191
0.0,4,0.024343
0.0,8,0.024575
0.0,8,0.024817
0.0,11,0.025118
0.0,10,0.0254
0.0,7,0.025617
1.0,15,0.026047
0.0,14,0.026416
0.0,8,0.026674
0.0,4,0.026842
0.0,23,0.0274
0.0,8,0.027639
0.0,9,0.027915
0.0,7,0.028131
0.0,11,0.028425
0.0,3,0.028553
0.0,16,0.028979
0.0,7,0.02922
0.0,13,0.029587
0.0,2,0.029712
0.0,44,0.03075
0.0,11,0.031054
0.0,3,0.031186
0.0,3,0.031315
0.0,8,0.031546
0.0,14,0.031925
0.0,14,0.032299
0.0,11,0.032604
1.0,13,0.032985
0.0,8,0.033219
0.0,12,0.033541
0.0,16,0.033951
0.0,7,0.034166
0.0,8,0.034396
0.0,13,0.034753
0.0,13,0.035098
0.0,5,0.035274
0.0,26,0.035929
0.0,4,0.036077
0.0,4,0.036224
0.0,7,0.036447
0.0,13,0.036798
0.0,19,0.037265
0.0,7,0.037481
1.0,12,0.037818
0.0,9,0.038072
0.0,11,0.038378
0.0,4,0.038528
0.0,6,0.038736
0.0,13,0.03908
0.0,46,0.040152
0.0,19,0.040633
0.0,12,0.040972
0.0,15,0.041366
0.0,20,0.041861
0.0,6,0.042049
