#{"t_start": 1522149213.3288307, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,100,0.016226
0.0,50,0.018699
0.0,20,0.01978
0.0,12,0.020481
0.0,18,0.02145
0.0,11,0.022111
0.0,11,0.022752
0.0,5,0.023133
0.0,13,0.02386
0.0,1,0.024025
0.0,33,0.025629
0.0,79,0.029153
1.0,42,0.031089
0.0,23,0.032199
1.0,68,0.035211
0.0,33,0.036633
0.0,25,0.037775
0.0,11,0.038337
0.0,29,0.039625
0.0,11,0.040207
0.0,60,0.04269
0.0,5,0.043014
0.0,11,0.043576
0.0,42,0.045401
0.0,1,0.04555
0.0,20,0.046457
0.0,15,0.047146
0.0,37,0.04865
0.0,9,0.049127
0.0,17,0.049897
1.0,24,0.05093
0.0,4,0.051184
0.0,7,0.051553
1.0,18,0.052352
0.0,19,0.053201
1.0,26,0.054313
0.0,36,0.055782
0.0,15,0.056421
0.0,4,0.056673
0.0,7,0.057028
0.0,11,0.057524
0.0,11,0.058024
0.0,37,0.059448
0.0,15,0.060105
0.0,4,0.060357
0.0,4,0.060604
0.0,8,0.061009
1.0,47,0.062781
0.0,18,0.063543
1.0,14,0.064184
0.0,19,0.064994
0.0,19,0.065737
0.0,5,0.066012
1.0,30,0.067143
0.0,9,0.06755
0.0,2,0.067711
1.0,58,0.069758
0.0,13,0.070306
0.0,4,0.070549
0.0,27,0.071562
0.0,1,0.071684
0.0,32,0.07288
0.0,6,0.073191
0.0,18,0.073917
0.0,11,0.074373
1.0,24,0.07531
1.0,33,0.076489
0.0,1,0.076608
0.0,10,0.077044
0.0,7,0.077377
0.0,2,0.077537
1.0,21,0.078326
0.0,3,0.07852
1.0,14,0.079094
0.0,15,0.079691
1.0,9,0.080081
1.0,18,0.080756
1.0,17,0.081407
0.0,15,0.081983
1.0,41,0.083408
1.0,13,0.083955
0.0,2,0.08411
0.0,1,0.084224
1.0,51,0.086011
1.0,32,0.087162
1.0,24,0.088047
1.0,42,0.089496
1.0,10,0.089932
1.0,13,0.090455
0.0,14,0.091012
0.0,9,0.091402
1.0,15,0.092001
0.0,13,0.092507
1.0,44,0.094013
0.0,21,0.094816
0.0,38,0.096128
0.0,7,0.096444
0.0,9,0.096838
0.0,6,0.09711
0.0,13,0.097606
0.0,6,0.0979
0.0,26,0.098822
0.0,1,0.098935
1.0,15,0.099479
0.0,2,0.099621
1.0,42,0.101029
0.0,2,0.101178
0.0,12,0.101652
0.0,35,0.102826
0.0,12,0.103294
0.0,18,0.103958
0.0,8,0.104321
0.0,26,0.105236
0.0,27,0.106116
0.0,3,0.106297
0.0,11,0.106725
1.0,30,0.107707
0.0,1,0.107826
0.0,11,0.108233
0.0,25,0.109077
0.0,10,0.109462
0.0,20,0.110154
0.0,56,0.111897
0.0,29,0.112986
0.0,2,0.113144
0.0,1,0.113259
0.0,9,0.113625
1.0,19,0.114304
0.0,14,0.114842
0.0,19,0.115448
0.0,14,0.115952
0.0,14,0.116456
1.0,41,0.117687
0.0,9,0.118048
1.0,26,0.118883
0.0,20,0.11954
0.0,80,0.12188
0.0,10,0.122251
0.0,36,0.123357
0.0,7,0.123635
0.0,43,0.124941
0.0,6,0.125181
0.0,4,0.125373
0.0,42,0.126609
0.0,54,0.128182
0.0,33,0.129164
0.0,1,0.129264
0.0,28,0.13011
0.0,7,0.130384
1.0,9,0.130721
0.0,25,0.131492
0.0,4,0.131685
0.0,12,0.132102
0.0,3,0.132268
0.0,10,0.132628
0.0,55,0.134213
0.0,50,0.13554
0.0,14,0.135934
0.0,7,0.136165
0.0,7,0.136386
0.0,3,0.136515
0.0,14,0.136895
0.0,15,0.137307
0.0,6,0.137509
0.0,21,0.138047
1.0,45,0.139098
1.0,12,0.139418
0.0,22,0.139967
0.0,30,0.140679
0.0,1,0.14076
0.0,1,0.140852
1.0,37,0.141737
1.0,24,0.142356
0.0,7,0.142577
0.0,15,0.142976
0.0,21,0.143512
0.0,21,0.144077
0.0,3,0.144213
0.0,31,0.144951
0.0,14,0.145315
0.0,4,0.145476
0.0,21,0.146007
1.0,23,0.146572
0.0,6,0.146786
1.0,42,0.147751
0.0,15,0.148151
0.0,27,0.148828
1.0,18,0.149291
0.0,10,0.14958
0.0,3,0.149708
0.0,20,0.150224
0.0,2,0.150332
0.0,3,0.150465
0.0,8,0.1507
0.0,10,0.151026
0.0,4,0.151186
0.0,9,0.151461
0.0,40,0.152442
1.0,12,0.152787
0.0,9,0.153071
0.0,38,0.153984
1.0,12,0.154318
0.0,25,0.154955
0.0,2,0.155068
0.0,4,0.155219
0.0,41,0.156188
0.0,8,0.156435
0.0,10,0.156725
0.0,2,0.156842
0.0,4,0.156992
0.0,78,0.158807
0.0,7,0.159051
0.0,46,0.160112
0.0,58,0.161448
1.0,27,0.162107
1.0,8,0.162358
0.0,3,0.162484
0.0,1,0.162564
0.0,9,0.162847
1.0,26,0.163484
0.0,100,0.165747
0.0,3,0.16589
0.0,7,0.166112
0.0,8,0.166362
1.0,44,0.167376
1.0,29,0.168087
0.0,6,0.168281
0.0,20,0.168806
0.0,4,0.168958
0.0,29,0.169639
1.0,9,0.16993
1.0,22,0.170489
0.0,6,0.170698
0.0,4,0.170865
0.0,18,0.171328
0.0,5,0.171507
0.0,28,0.172207
0.0,6,0.172405
0.0,3,0.172532
0.0,15,0.172946
0.0,1,0.173034
0.0,12,0.17337
0.0,4,0.173527
1.0,32,0.174305
0.0,25,0.174951
1.0,60,0.1763
0.0,13,0.176666
1.0,15,0.177085
0.0,1,0.177168
0.0,5,0.177341
0.0,5,0.177518
0.0,4,0.177685
0.0,6,0.177901
1.0,32,0.178673
0.0,25,0.179304
0.0,10,0.179599
0.0,5,0.179791
1.0,9,0.180052
0.0,2,0.180155
0.0,12,0.180474
0.0,29,0.181199
0.0,6,0.181394
0.0,2,0.181499
1.0,19,0.18199
1.0,6,0.182199
1.0,38,0.183099
1.0,11,0.183394
1.0,24,0.183979
0.0,8,0.184234
1.0,17,0.184666
0.0,7,0.184905
1.0,18,0.185376
0.0,5,0.185547
0.0,9,0.185825
0.0,5,0.186006
0.0,6,0.186199
0.0,13,0.186548
0.0,24,0.187161
0.0,1,0.187245
0.0,13,0.187599
0.0,49,0.188781
1.0,22,0.18934
0.0,9,0.189596
0.0,10,0.189894
1.0,31,0.190635
1.0,36,0.1915
1.0,16,0.191931
1.0,41,0.192909
0.0,35,0.193769
0.0,5,0.193945
0.0,1,0.194024
0.0,5,0.194203
0.0,1,0.194288
0.0,9,0.194554
1.0,26,0.195192
0.0,6,0.195401
0.0,27,0.196119
0.0,10,0.196415
1.0,17,0.196915
0.0,5,0.197095
1.0,29,0.197864
1.0,15,0.198257
1.0,17,0.198695
0.0,11,0.199019
0.0,7,0.199244
1.0,24,0.19984
1.0,34,0.200645
0.0,10,0.200942
1.0,12,0.201261
0.0,9,0.201517
0.0,12,0.201881
0.0,3,0.202013
0.0,1,0.202094
1.0,11,0.202404
1.0,9,0.202666
0.0,31,0.203408
1.0,9,0.203674
1.0,36,0.204528
0.0,18,0.205008
0.0,1,0.205097
0.0,34,0.205909
0.0,7,0.206125
0.0,5,0.206296
0.0,11,0.206607
0.0,1,0.206691
0.0,10,0.206996
0.0,12,0.207332
0.0,3,0.20746
1.0,42,0.208436
1.0,70,0.210037
1.0,46,0.211106
0.0,15,0.211513
0.0,28,0.212195
1.0,13,0.2126
0.0,12,0.21294
0.0,4,0.213108
0.0,22,0.213644
0.0,2,0.21375
1.0,56,0.215005
1.0,13,0.215357
1.0,26,0.215994
1.0,29,0.216696
1.0,19,0.217173
0.0,43,0.218189
0.0,2,0.218295
0.0,4,0.218448
1.0,27,0.219109
1.0,22,0.219653
0.0,2,0.219771
0.0,22,0.220323
0.0,3,0.220456
1.0,13,0.220826
0.0,8,0.221067
1.0,18,0.221538
1.0,9,0.221806
0.0,5,0.221992
0.0,14,0.222353
1.0,33,0.223172
0.0,4,0.223324
1.0,9,0.223591
0.0,1,0.22367
1.0,17,0.224117
0.0,7,0.224342
0.0,13,0.224696
0.0,18,0.225168
0.0,13,0.225534
1.0,75,0.227431
0.0,7,0.227658
0.0,4,0.22782
0.0,19,0.228294
0.0,6,0.228486
0.0,38,0.2294
0.0,1,0.229489
1.0,55,0.230866
1.0,56,0.232166
0.0,3,0.232301
0.0,7,0.232516
0.0,30,0.233239
1.0,19,0.233723
0.0,26,0.23436
0.0,18,0.234828
0.0,18,0.235292
0.0,4,0.235442
0.0,10,0.235732
0.0,64,0.237221
0.0,2,0.237337
1.0,34,0.238147
1.0,42,0.239157
1.0,40,0.240117
