#{"t_start": 1522149021.8963654, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,10,0.008479
0.0,12,0.008872
0.0,11,0.009285
0.0,7,0.009556
0.0,21,0.010184
0.0,2,0.010308
0.0,15,0.010768
0.0,39,0.011854
0.0,19,0.01242
0.0,26,0.01318
0.0,22,0.013825
0.0,34,0.014775
0.0,51,0.016217
0.0,17,0.016723
0.0,7,0.016975
0.0,1,0.017063
0.0,21,0.01768
0.0,26,0.018427
1.0,30,0.019286
0.0,7,0.019535
0.0,38,0.020595
1.0,75,0.022641
0.0,5,0.022839
0.0,30,0.023701
0.0,14,0.024155
0.0,7,0.02441
0.0,11,0.024771
0.0,4,0.024936
0.0,22,0.025664
0.0,2,0.025779
0.0,6,0.026001
0.0,2,0.026128
0.0,57,0.027696
0.0,8,0.027968
0.0,10,0.028297
0.0,20,0.028887
0.0,1,0.028971
0.0,1,0.029055
1.0,40,0.03018
0.0,6,0.030408
0.0,5,0.030598
0.0,14,0.031064
0.0,13,0.031548
0.0,43,0.032731
1.0,21,0.03336
0.0,19,0.033922
0.0,23,0.034638
0.0,18,0.035175
1.0,52,0.036591
0.0,23,0.037273
0.0,5,0.037464
0.0,17,0.037981
1.0,27,0.038759
0.0,22,0.039407
0.0,21,0.040025
1.0,15,0.040501
0.0,3,0.040643
0.0,7,0.040887
0.0,1,0.04097
0.0,44,0.042198
0.0,1,0.042289
0.0,14,0.042718
0.0,19,0.043294
0.0,8,0.043563
0.0,15,0.044017
0.0,11,0.044378
0.0,7,0.044627
0.0,11,0.044985
1.0,15,0.045491
0.0,30,0.046354
1.0,15,0.046808
0.0,5,0.046998
1.0,17,0.047506
0.0,2,0.047624
0.0,2,0.047741
1.0,22,0.048394
0.0,11,0.048746
0.0,6,0.048973
0.0,9,0.049287
0.0,2,0.049405
0.0,5,0.049603
1.0,33,0.050528
0.0,4,0.050697
1.0,16,0.051176
0.0,40,0.052275
0.0,19,0.05284
1.0,19,0.053416
0.0,46,0.054693
1.0,14,0.05514
0.0,6,0.055374
0.0,14,0.055821
0.0,1,0.05591
0.0,24,0.056621
1.0,21,0.057236
0.0,11,0.057588
0.0,5,0.057779
1.0,14,0.058213
0.0,13,0.058614
0.0,11,0.058973
0.0,24,0.059685
0.0,19,0.060271
0.0,9,0.060575
0.0,1,0.060663
0.0,19,0.06124
0.0,3,0.061381
1.0,56,0.062916
0.0,2,0.06303
0.0,6,0.063264
1.0,9,0.063558
0.0,6,0.063783
0.0,2,0.0639
0.0,61,0.065603
0.0,7,0.06585
0.0,1,0.065933
0.0,15,0.066406
0.0,16,0.066895
0.0,14,0.067335
0.0,5,0.067527
0.0,3,0.067672
1.0,61,0.069366
0.0,2,0.0695
0.0,9,0.069801
1.0,13,0.070211
0.0,17,0.070722
1.0,37,0.071759
1.0,17,0.072274
1.0,10,0.072602
0.0,4,0.072775
0.0,4,0.072945
0.0,3,0.073089
0.0,8,0.073379
1.0,15,0.073847
0.0,29,0.074684
1.0,13,0.075087
1.0,32,0.075977
1.0,33,0.076903
0.0,1,0.076987
0.0,1,0.077076
0.0,21,0.077704
0.0,22,0.078356
1.0,20,0.078938
0.0,28,0.079748
1.0,24,0.080451
0.0,16,0.080935
0.0,21,0.081569
0.0,7,0.081813
0.0,7,0.082065
0.0,2,0.082187
1.0,16,0.082679
0.0,1,0.082765
0.0,32,0.083679
0.0,13,0.084095
0.0,21,0.084729
1.0,20,0.085335
0.0,10,0.085667
0.0,25,0.086398
0.0,3,0.086543
0.0,6,0.086761
0.0,4,0.08693
1.0,34,0.087901
0.0,19,0.088495
0.0,1,0.088581
