#{"t_start": 1522157106.562827, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,30,0.015818
0.0,19,0.016331
0.0,37,0.017241
0.0,7,0.017467
0.0,14,0.017839
0.0,27,0.018506
0.0,9,0.018764
0.0,32,0.019532
0.0,29,0.020232
0.0,6,0.020432
0.0,21,0.020962
0.0,1,0.021045
0.0,17,0.021479
0.0,36,0.02234
0.0,14,0.02271
0.0,2,0.022816
0.0,5,0.023003
0.0,3,0.023134
0.0,4,0.023283
0.0,1,0.02336
1.0,34,0.024185
1.0,25,0.024802
0.0,6,0.025004
0.0,25,0.025625
0.0,22,0.026184
0.0,9,0.026444
0.0,5,0.026612
0.0,12,0.026942
0.0,10,0.027224
0.0,7,0.027433
0.0,18,0.0279
0.0,8,0.02814
0.0,8,0.028376
0.0,13,0.028729
0.0,16,0.029155
0.0,1,0.029236
0.0,20,0.02975
0.0,24,0.030357
0.0,9,0.030614
1.0,21,0.031153
0.0,8,0.031391
0.0,11,0.031692
1.0,6,0.031937
1.0,8,0.032248
0.0,4,0.032391
0.0,4,0.03254
0.0,4,0.032686
1.0,23,0.033298
0.0,31,0.034054
0.0,27,0.034694
0.0,14,0.035072
1.0,14,0.035446
0.0,25,0.036049
0.0,5,0.036218
0.0,15,0.036605
0.0,4,0.036759
0.0,13,0.037121
0.0,30,0.037856
0.0,3,0.037982
0.0,10,0.038268
0.0,27,0.038936
0.0,9,0.039199
0.0,24,0.039804
0.0,5,0.03998
0.0,10,0.040264
0.0,2,0.040364
0.0,9,0.040627
0.0,10,0.040925
0.0,3,0.041055
0.0,2,0.041157
0.0,9,0.041411
0.0,9,0.041668
0.0,5,0.041853
0.0,6,0.04205
0.0,9,0.042304
0.0,9,0.042564
0.0,2,0.042665
0.0,7,0.042886
1.0,21,0.043403
0.0,5,0.04358
0.0,12,0.043929
0.0,1,0.044008
0.0,2,0.044114
0.0,6,0.044304
0.0,15,0.044689
0.0,14,0.045065
0.0,19,0.045552
0.0,5,0.04572
0.0,11,0.046028
0.0,11,0.046329
0.0,1,0.046408
0.0,15,0.046812
0.0,6,0.04702
1.0,13,0.047374
0.0,4,0.047519
0.0,24,0.048117
0.0,8,0.048352
0.0,11,0.048652
0.0,18,0.049111
0.0,7,0.049326
0.0,15,0.049714
0.0,18,0.050186
0.0,16,0.050591
1.0,29,0.05128
0.0,14,0.051662
0.0,1,0.051739
0.0,14,0.052118
0.0,14,0.052488
0.0,9,0.052747
0.0,5,0.052926
0.0,8,0.053158
0.0,3,0.053283
0.0,3,0.053406
0.0,12,0.053729
1.0,6,0.053929
0.0,17,0.054374
0.0,5,0.054551
0.0,1,0.054627
0.0,4,0.054778
0.0,7,0.055006
0.0,6,0.055206
0.0,7,0.055419
0.0,3,0.055542
0.0,5,0.055713
