#{"t_start": 1522157130.6875765, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,6,0.012987
0.0,7,0.013255
0.0,10,0.013578
0.0,8,0.013854
0.0,46,0.015066
0.0,14,0.015485
0.0,11,0.015819
0.0,47,0.017066
0.0,16,0.017535
0.0,12,0.017896
0.0,51,0.019223
0.0,19,0.019763
0.0,6,0.019985
0.0,43,0.021126
0.0,14,0.021539
0.0,3,0.021686
0.0,8,0.021974
1.0,39,0.023001
0.0,16,0.023454
0.0,34,0.024362
0.0,16,0.024826
0.0,15,0.025279
0.0,3,0.025423
0.0,41,0.026497
0.0,5,0.026684
0.0,3,0.026824
0.0,6,0.027054
0.0,3,0.027196
0.0,8,0.027454
0.0,18,0.027975
0.0,13,0.02837
0.0,5,0.028569
0.0,4,0.02874
1.0,7,0.028992
0.0,5,0.029179
0.0,15,0.029622
0.0,3,0.029759
0.0,12,0.030142
0.0,2,0.030253
0.0,6,0.030466
0.0,11,0.030802
0.0,1,0.030884
0.0,10,0.03121
0.0,3,0.031353
1.0,14,0.031756
0.0,8,0.032035
0.0,15,0.032477
0.0,3,0.032613
0.0,19,0.033165
0.0,23,0.033788
0.0,18,0.034298
1.0,7,0.034535
0.0,9,0.034823
0.0,11,0.035163
0.0,2,0.035278
0.0,3,0.035413
1.0,15,0.035834
1.0,16,0.036302
0.0,2,0.036416
0.0,4,0.03658
0.0,5,0.036763
1.0,6,0.036989
0.0,24,0.037639
0.0,10,0.037957
0.0,12,0.038322
0.0,11,0.038653
0.0,5,0.038846
0.0,22,0.039476
0.0,1,0.039561
1.0,9,0.039854
1.0,70,0.041658
0.0,3,0.041796
0.0,8,0.042065
1.0,10,0.042382
1.0,14,0.042791
0.0,13,0.04319
0.0,9,0.043484
1.0,10,0.0438
1.0,32,0.044667
0.0,1,0.044755
0.0,5,0.044947
0.0,2,0.045076
1.0,8,0.045341
0.0,3,0.045475
0.0,1,0.045561
0.0,6,0.045782
0.0,2,0.045891
0.0,12,0.046266
0.0,8,0.046535
0.0,15,0.046991
0.0,6,0.04721
0.0,1,0.047297
0.0,17,0.047779
0.0,15,0.048226
0.0,2,0.048342
0.0,7,0.048578
0.0,11,0.048912
0.0,10,0.049232
0.0,14,0.049642
0.0,38,0.050641
0.0,6,0.050852
0.0,10,0.051171
0.0,6,0.051391
0.0,5,0.051583
0.0,12,0.051945
0.0,3,0.052091
0.0,8,0.052348
0.0,8,0.052613
0.0,7,0.052852
0.0,7,0.053108
0.0,13,0.053495
0.0,12,0.053859
0.0,12,0.054229
0.0,1,0.054317
0.0,20,0.05486
0.0,29,0.055634
0.0,14,0.056059
0.0,28,0.056801
0.0,33,0.057694
0.0,1,0.057783
0.0,12,0.058161
0.0,20,0.058722
1.0,53,0.060099
1.0,31,0.060932
0.0,8,0.061217
0.0,7,0.061452
0.0,17,0.061929
0.0,13,0.062336
0.0,8,0.0626
1.0,14,0.063024
0.0,26,0.063734
0.0,8,0.064014
0.0,3,0.064161
0.0,10,0.064484
0.0,20,0.065061
0.0,2,0.065177
0.0,30,0.065999
0.0,2,0.066113
0.0,1,0.0662
0.0,4,0.066366
0.0,13,0.066758
0.0,1,0.066843
0.0,25,0.06755
0.0,30,0.068352
0.0,33,0.069241
0.0,16,0.069705
0.0,1,0.069791
0.0,7,0.07004
0.0,9,0.07033
0.0,13,0.07072
0.0,3,0.070856
0.0,10,0.071182
0.0,15,0.071608
0.0,11,0.071941
0.0,6,0.07216
0.0,15,0.072584
0.0,34,0.073503
1.0,16,0.073976
0.0,7,0.07422
0.0,28,0.07498
0.0,27,0.075715
