#{"t_start": 1522149567.6425025, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,9,0.009429
0.0,9,0.009779
0.0,6,0.010014
0.0,4,0.010208
0.0,4,0.010389
0.0,7,0.01064
0.0,5,0.010839
0.0,5,0.011035
0.0,16,0.011537
0.0,9,0.011837
0.0,6,0.012066
0.0,4,0.012247
0.0,8,0.01252
0.0,17,0.013036
0.0,9,0.013358
0.0,2,0.013483
0.0,17,0.014002
0.0,3,0.014148
0.0,8,0.014432
0.0,13,0.014835
0.0,4,0.015012
0.0,3,0.015157
0.0,1,0.015259
0.0,14,0.015697
0.0,4,0.015877
0.0,6,0.0161
0.0,2,0.016231
0.0,9,0.016539
0.0,5,0.016744
0.0,2,0.016867
0.0,3,0.017014
1.0,21,0.01765
0.0,7,0.017914
0.0,1,0.018008
0.0,5,0.018227
0.0,4,0.018405
0.0,5,0.01861
0.0,4,0.018782
0.0,16,0.019272
0.0,26,0.020019
0.0,14,0.020469
0.0,5,0.020666
0.0,3,0.020815
0.0,38,0.0219
0.0,14,0.022352
0.0,9,0.022663
0.0,13,0.023072
0.0,5,0.023281
0.0,12,0.0237
0.0,25,0.024469
0.0,3,0.02463
0.0,15,0.025101
0.0,9,0.025414
0.0,23,0.026081
0.0,3,0.026236
0.0,3,0.026381
0.0,1,0.026469
0.0,7,0.026716
1.0,8,0.026997
0.0,1,0.027087
0.0,10,0.027438
0.0,3,0.027591
0.0,6,0.027814
0.0,19,0.028396
0.0,7,0.028647
0.0,4,0.028824
0.0,18,0.029364
0.0,10,0.029699
0.0,5,0.029902
0.0,1,0.02999
0.0,10,0.030337
0.0,4,0.03051
0.0,1,0.0306
0.0,5,0.030799
0.0,1,0.030888
0.0,3,0.031033
0.0,2,0.03115
0.0,2,0.031277
0.0,7,0.031526
0.0,6,0.031747
0.0,3,0.031891
0.0,3,0.032033
0.0,13,0.032456
0.0,4,0.032635
0.0,12,0.033014
0.0,1,0.033103
0.0,1,0.0332
0.0,1,0.03329
0.0,14,0.033725
0.0,4,0.033897
0.0,12,0.034281
0.0,7,0.03454
0.0,16,0.035019
0.0,5,0.03523
0.0,12,0.035609
0.0,7,0.035862
0.0,15,0.036342
0.0,17,0.036854
0.0,3,0.036999
0.0,13,0.037424
0.0,5,0.037638
0.0,4,0.037812
0.0,6,0.038035
0.0,3,0.038195
0.0,17,0.038711
0.0,1,0.0388
0.0,13,0.039228
0.0,7,0.039483
0.0,12,0.03986
0.0,11,0.04024
0.0,5,0.04044
0.0,8,0.040715
0.0,9,0.041019
0.0,5,0.041235
0.0,1,0.041331
0.0,8,0.041609
0.0,7,0.041864
0.0,10,0.042207
0.0,19,0.042758
0.0,1,0.042847
0.0,21,0.043481
0.0,10,0.043822
0.0,2,0.043946
0.0,8,0.044238
0.0,13,0.044653
0.0,5,0.044857
0.0,11,0.045232
0.0,3,0.045382
0.0,9,0.045681
0.0,3,0.045826
0.0,4,0.045997
0.0,22,0.046646
0.0,18,0.047189
0.0,9,0.047497
0.0,1,0.047586
0.0,12,0.047961
0.0,8,0.048263
0.0,26,0.049016
0.0,10,0.049363
0.0,8,0.049647
0.0,13,0.050056
0.0,1,0.050145
0.0,6,0.050376
0.0,1,0.050466
0.0,2,0.050588
0.0,14,0.051019
0.0,5,0.051225
0.0,4,0.051396
0.0,11,0.051746
0.0,17,0.052284
0.0,10,0.052623
0.0,3,0.052768
0.0,11,0.053116
0.0,5,0.05333
0.0,3,0.053482
0.0,2,0.053601
0.0,20,0.05421
0.0,16,0.0547
0.0,12,0.055082
0.0,5,0.05529
0.0,9,0.055597
0.0,8,0.055876
0.0,6,0.056098
0.0,4,0.056289
0.0,6,0.056518
0.0,8,0.056795
0.0,22,0.057458
0.0,6,0.05769
0.0,7,0.057941
0.0,2,0.058058
0.0,10,0.058399
0.0,7,0.058654
0.0,5,0.058862
0.0,10,0.059198
0.0,4,0.059378
0.0,8,0.059653
0.0,3,0.059797
0.0,6,0.060024
0.0,4,0.060204
0.0,15,0.060658
1.0,24,0.061368
0.0,10,0.061701
0.0,9,0.061998
0.0,29,0.062844
0.0,8,0.063126
1.0,6,0.063358
0.0,1,0.063447
0.0,2,0.06357
0.0,14,0.064008
0.0,8,0.064295
0.0,15,0.064758
0.0,3,0.064907
0.0,19,0.065486
0.0,3,0.065632
0.0,15,0.066089
0.0,13,0.066546
0.0,7,0.066794
0.0,20,0.067393
0.0,4,0.067568
0.0,2,0.067686
0.0,5,0.067893
0.0,24,0.068596
0.0,4,0.068778
0.0,1,0.068868
0.0,4,0.06904
0.0,5,0.069253
0.0,6,0.069478
0.0,14,0.069906
0.0,3,0.070055
0.0,11,0.070429
0.0,10,0.070757
0.0,7,0.071006
0.0,19,0.071584
0.0,4,0.071758
0.0,10,0.072095
0.0,3,0.072251
0.0,4,0.072429
0.0,4,0.07261
0.0,6,0.072845
0.0,15,0.073318
0.0,14,0.073758
0.0,8,0.074035
0.0,8,0.074327
0.0,1,0.074422
0.0,6,0.074647
0.0,18,0.075188
0.0,21,0.075807
0.0,9,0.076112
0.0,4,0.076294
0.0,2,0.076418
0.0,24,0.077109
0.0,14,0.077549
0.0,14,0.077992
0.0,4,0.078176
0.0,1,0.078272
0.0,3,0.078418
0.0,4,0.078588
0.0,14,0.079026
0.0,5,0.079234
0.0,4,0.079416
0.0,7,0.079664
0.0,6,0.07989
0.0,1,0.079983
0.0,9,0.080298
0.0,2,0.080421
0.0,21,0.081047
0.0,5,0.081257
0.0,5,0.081462
0.0,13,0.081869
0.0,1,0.081969
0.0,6,0.082212
0.0,1,0.082307
0.0,1,0.0824
0.0,5,0.082604
