#{"t_start": 1522150572.792969, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.00995
0.0,7,0.010229
0.0,23,0.01087
0.0,100,0.013312
0.0,25,0.013984
0.0,13,0.014366
0.0,9,0.014668
0.0,4,0.01483
0.0,13,0.015198
0.0,31,0.016005
0.0,1,0.016091
0.0,5,0.016281
0.0,6,0.016492
0.0,5,0.016694
0.0,9,0.016972
0.0,3,0.017105
0.0,35,0.018017
0.0,3,0.018155
0.0,9,0.01843
0.0,5,0.01862
0.0,8,0.018878
0.0,15,0.019301
0.0,12,0.019667
0.0,22,0.020244
0.0,13,0.020624
0.0,13,0.021001
0.0,6,0.021213
0.0,16,0.021674
0.0,3,0.021809
0.0,11,0.022137
0.0,3,0.022273
0.0,4,0.022436
0.0,26,0.023152
0.0,15,0.023593
0.0,30,0.024376
0.0,43,0.025465
0.0,19,0.025989
0.0,51,0.027282
0.0,38,0.028259
0.0,5,0.028449
0.0,11,0.028794
0.0,83,0.030844
0.0,72,0.032623
0.0,75,0.034468
0.0,4,0.034673
0.0,1,0.034762
0.0,13,0.035151
0.0,79,0.037092
0.0,63,0.038656
0.0,6,0.038872
0.0,52,0.04018
0.0,62,0.041714
0.0,35,0.04261
0.0,55,0.043972
0.0,100,0.046383
0.0,21,0.046973
0.0,5,0.047157
0.0,2,0.047266
0.0,17,0.047754
0.0,4,0.047919
0.0,3,0.048052
0.0,3,0.048191
0.0,34,0.049078
0.0,1,0.049162
0.0,59,0.050633
0.0,85,0.052725
0.0,30,0.053497
0.0,3,0.053647
0.0,9,0.053927
0.0,6,0.054142
0.0,37,0.055099
0.0,6,0.055314
0.0,19,0.055836
0.0,63,0.057393
0.0,7,0.057638
0.0,28,0.058368
0.0,37,0.059326
0.0,9,0.05962
0.0,50,0.060891
0.0,91,0.063092
0.0,39,0.064103
0.0,100,0.06654
0.0,9,0.066843
0.0,35,0.06774
0.0,20,0.068271
0.0,15,0.068696
0.0,25,0.069356
0.0,1,0.069444
0.0,10,0.069761
0.0,8,0.070021
0.0,11,0.070352
0.0,52,0.071661
0.0,15,0.072076
0.0,22,0.072671
0.0,1,0.072756
0.0,15,0.073179
0.0,18,0.073695
0.0,100,0.07612
0.0,7,0.076359
0.0,1,0.076442
0.0,6,0.076662
0.0,26,0.077343
0.0,3,0.077478
0.0,7,0.077714
0.0,1,0.077797
0.0,2,0.077911
0.0,5,0.078092
0.0,1,0.078174
0.0,3,0.078315
0.0,4,0.078472
0.0,36,0.079389
0.0,61,0.080914
0.0,100,0.08336
0.0,1,0.083452
0.0,3,0.083598
