#{"t_start": 1522157816.3530018, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,9,0.016909
0.0,9,0.017171
0.0,7,0.017407
0.0,2,0.017514
0.0,13,0.01786
0.0,1,0.017946
0.0,13,0.018305
0.0,6,0.018491
0.0,12,0.01879
0.0,1,0.018869
0.0,3,0.018997
0.0,18,0.019434
0.0,11,0.019729
0.0,5,0.019893
0.0,7,0.020095
0.0,3,0.020215
0.0,12,0.020526
0.0,19,0.020977
0.0,6,0.02116
0.0,2,0.021276
0.0,8,0.021509
0.0,3,0.021637
0.0,20,0.022104
0.0,12,0.022428
0.0,2,0.022539
0.0,2,0.022647
0.0,3,0.022771
0.0,3,0.022892
0.0,5,0.023059
0.0,7,0.023272
0.0,15,0.023654
0.0,4,0.023802
0.0,17,0.024223
0.0,18,0.024668
0.0,11,0.024953
0.0,12,0.025283
0.0,1,0.025365
0.0,10,0.025633
0.0,17,0.026035
0.0,13,0.026375
0.0,7,0.026581
0.0,15,0.026951
0.0,8,0.027181
0.0,3,0.027322
0.0,16,0.027714
0.0,5,0.027886
0.0,2,0.027992
0.0,1,0.028071
0.0,6,0.028271
0.0,3,0.028395
0.0,17,0.028801
0.0,30,0.029509
0.0,1,0.029594
0.0,6,0.029785
0.0,15,0.030159
0.0,2,0.030271
0.0,15,0.030644
0.0,14,0.030999
0.0,43,0.031951
0.0,7,0.032159
0.0,4,0.032322
0.0,25,0.032904
0.0,6,0.033102
0.0,18,0.033543
0.0,12,0.033852
0.0,5,0.03402
0.0,4,0.03417
0.0,3,0.034307
0.0,1,0.034387
0.0,6,0.034579
0.0,4,0.034728
0.0,1,0.034805
0.0,3,0.034928
0.0,6,0.035125
0.0,5,0.035307
0.0,11,0.035602
0.0,7,0.035805
0.0,4,0.035946
0.0,6,0.036127
0.0,3,0.036247
0.0,11,0.03655
0.0,4,0.036692
0.0,6,0.036873
0.0,2,0.036978
0.0,18,0.037415
0.0,4,0.037568
0.0,5,0.037736
0.0,2,0.037841
0.0,5,0.038004
0.0,8,0.038228
0.0,3,0.038359
0.0,10,0.038635
0.0,13,0.038964
0.0,13,0.039301
0.0,2,0.039405
1.0,12,0.039717
0.0,15,0.040097
0.0,10,0.04038
0.0,7,0.040594
0.0,13,0.040934
0.0,8,0.041168
0.0,3,0.041302
0.0,12,0.041616
0.0,14,0.041972
0.0,5,0.04214
0.0,6,0.042351
0.0,1,0.042431
0.0,9,0.042677
0.0,9,0.042918
0.0,25,0.043503
0.0,18,0.043933
0.0,4,0.044074
0.0,3,0.044196
0.0,1,0.044284
0.0,10,0.044551
0.0,2,0.044656
0.0,4,0.044806
0.0,2,0.044907
0.0,12,0.045207
0.0,24,0.045775
0.0,6,0.045967
0.0,7,0.046177
0.0,5,0.046355
1.0,8,0.046592
0.0,6,0.046776
0.0,1,0.046853
0.0,3,0.046979
0.0,3,0.047117
0.0,5,0.047296
0.0,14,0.047639
0.0,16,0.04803
0.0,16,0.048443
0.0,10,0.048711
0.0,12,0.04901
1.0,19,0.049468
0.0,11,0.049751
0.0,12,0.050074
0.0,22,0.050594
0.0,4,0.050736
0.0,6,0.050917
0.0,5,0.051078
0.0,3,0.051203
1.0,16,0.051606
0.0,4,0.051749
0.0,8,0.051978
0.0,11,0.052272
0.0,4,0.052424
0.0,3,0.05255
0.0,5,0.052713
0.0,7,0.052917
0.0,31,0.05363
0.0,2,0.053742
0.0,7,0.053948
0.0,9,0.054198
0.0,7,0.054418
0.0,2,0.054519
0.0,1,0.054596
0.0,19,0.055052
0.0,14,0.055416
0.0,2,0.055519
0.0,17,0.055933
0.0,21,0.056444
0.0,3,0.05657
0.0,4,0.056717
0.0,8,0.056942
0.0,8,0.057173
0.0,1,0.057251
0.0,2,0.057369
0.0,9,0.05761
0.0,10,0.057877
0.0,16,0.058285
0.0,3,0.058415
0.0,2,0.058516
0.0,7,0.058723
0.0,4,0.058873
0.0,3,0.058994
0.0,2,0.059094
0.0,2,0.059198
0.0,4,0.059352
0.0,7,0.059557
0.0,4,0.059697
0.0,1,0.059774
0.0,5,0.059937
0.0,15,0.060322
0.0,1,0.060402
0.0,6,0.060585
0.0,17,0.060986
0.0,2,0.061086
0.0,5,0.061248
0.0,11,0.06155
0.0,25,0.062124
0.0,5,0.062308
0.0,1,0.062393
0.0,4,0.062544
0.0,11,0.062833
0.0,2,0.062938
0.0,14,0.063305
0.0,6,0.063496
0.0,12,0.063801
0.0,19,0.064266
0.0,11,0.064555
0.0,3,0.064676
0.0,4,0.06482
0.0,17,0.065232
0.0,5,0.065403
0.0,43,0.066332
0.0,3,0.06646
0.0,6,0.066648
0.0,18,0.067082
0.0,8,0.067321
0.0,4,0.067465
0.0,2,0.067569
0.0,12,0.067879
0.0,2,0.067979
0.0,12,0.06831
0.0,7,0.068529
0.0,5,0.068705
0.0,10,0.06898
0.0,4,0.069123
0.0,2,0.069224
0.0,3,0.069358
0.0,5,0.069527
0.0,5,0.06969
0.0,2,0.069795
0.0,7,0.070005
0.0,3,0.070136
0.0,7,0.070355
0.0,5,0.070523
0.0,8,0.070754
0.0,4,0.070902
0.0,23,0.071447
0.0,5,0.071621
0.0,1,0.071701
0.0,7,0.071911
0.0,18,0.072364
0.0,2,0.072473
0.0,36,0.073285
0.0,9,0.073538
0.0,7,0.073747
0.0,9,0.073988
0.0,14,0.074354
0.0,2,0.074461
0.0,1,0.07454
0.0,16,0.074935
0.0,34,0.07571
0.0,5,0.075881
0.0,5,0.076044
0.0,7,0.076253
0.0,2,0.076392
1.0,18,0.076821
0.0,24,0.077392
0.0,14,0.077741
0.0,9,0.077994
0.0,4,0.078144
0.0,6,0.078343
0.0,18,0.078784
0.0,11,0.079068
0.0,9,0.079332
0.0,10,0.07961
0.0,10,0.07988
0.0,15,0.080245
0.0,11,0.080565
0.0,20,0.081041
0.0,5,0.08121
0.0,4,0.081366
0.0,12,0.081683
0.0,3,0.081805
0.0,4,0.081947
0.0,9,0.082199
0.0,17,0.082628
0.0,6,0.082821
0.0,6,0.083015
0.0,4,0.083158
0.0,11,0.08346
0.0,1,0.08354
0.0,10,0.083812
0.0,3,0.083934
0.0,9,0.084181
0.0,5,0.084364
0.0,1,0.084449
1.0,11,0.084741
0.0,22,0.085265
0.0,5,0.085434
0.0,10,0.085697
0.0,24,0.086245
0.0,14,0.086616
0.0,1,0.086698
1.0,22,0.087218
0.0,10,0.087502
0.0,7,0.087719
0.0,3,0.087852
0.0,5,0.088016
0.0,2,0.08812
0.0,19,0.088589
0.0,3,0.088714
0.0,6,0.088897
0.0,33,0.089635
0.0,14,0.09
0.0,19,0.090474
0.0,18,0.090918
0.0,9,0.091163
0.0,14,0.091537
0.0,5,0.091707
0.0,9,0.091958
0.0,14,0.092313
0.0,5,0.092478
0.0,4,0.092626
0.0,7,0.09283
0.0,4,0.092972
0.0,9,0.093227
0.0,11,0.093525
0.0,2,0.093627
0.0,6,0.093816
0.0,4,0.093958
0.0,4,0.094106
0.0,3,0.094227
0.0,3,0.094359
0.0,3,0.094483
0.0,9,0.094736
0.0,7,0.094944
0.0,29,0.095623
0.0,5,0.095795
0.0,5,0.095959
0.0,8,0.096187
0.0,7,0.096403
0.0,2,0.096506
0.0,9,0.096761
0.0,5,0.096922
0.0,5,0.097088
0.0,8,0.097328
0.0,1,0.097408
0.0,3,0.097535
0.0,21,0.098026
1.0,9,0.098289
0.0,11,0.098576
0.0,5,0.098737
0.0,9,0.098979
0.0,8,0.0992
0.0,26,0.099819
0.0,4,0.099963
0.0,11,0.100253
0.0,2,0.100367
0.0,4,0.100508
0.0,12,0.100812
0.0,6,0.100994
0.0,4,0.101136
0.0,8,0.101379
0.0,7,0.101583
0.0,6,0.10177
0.0,1,0.101848
0.0,3,0.101971
0.0,8,0.102199
0.0,1,0.10229
0.0,7,0.102498
0.0,16,0.102898
0.0,4,0.103042
0.0,3,0.103163
0.0,3,0.103297
0.0,7,0.103501
0.0,6,0.103687
0.0,4,0.103838
0.0,1,0.103915
0.0,6,0.104107
0.0,5,0.104285
0.0,6,0.104475
0.0,6,0.104666
0.0,4,0.104817
0.0,6,0.105
0.0,5,0.105163
0.0,6,0.10536
0.0,19,0.105805
0.0,23,0.106353
0.0,1,0.106438
0.0,13,0.106774
0.0,7,0.106985
0.0,18,0.107431
0.0,11,0.10773
0.0,5,0.107893
0.0,7,0.108111
0.0,3,0.108235
0.0,3,0.108368
0.0,11,0.10867
1.0,9,0.10892
0.0,7,0.109123
0.0,2,0.109222
0.0,7,0.109443
0.0,45,0.110458
0.0,4,0.110604
0.0,12,0.110919
0.0,9,0.111163
0.0,9,0.111429
0.0,12,0.111746
0.0,15,0.112107
0.0,27,0.112717
0.0,2,0.112825
1.0,20,0.113309
0.0,10,0.113574
0.0,6,0.113764
0.0,3,0.113886
0.0,10,0.114153
0.0,18,0.1146
0.0,5,0.11477
0.0,10,0.115049
0.0,15,0.115433
0.0,17,0.115864
0.0,3,0.115987
0.0,5,0.116153
0.0,4,0.116308
0.0,6,0.116493
0.0,12,0.116804
0.0,5,0.117043
0.0,2,0.117148
0.0,20,0.117638
0.0,27,0.118253
0.0,14,0.118614
0.0,40,0.119501
0.0,5,0.119665
0.0,18,0.120087
0.0,6,0.120283
0.0,7,0.120487
0.0,3,0.120613
0.0,1,0.120691
0.0,2,0.120792
0.0,3,0.120912
0.0,20,0.121402
0.0,7,0.121614
0.0,2,0.12172
0.0,9,0.121962
0.0,2,0.122061
1.0,10,0.122337
0.0,2,0.122439
0.0,2,0.122538
0.0,6,0.122726
0.0,9,0.122976
0.0,21,0.123485
0.0,13,0.123814
1.0,19,0.124276
0.0,16,0.124662
0.0,3,0.124789
0.0,3,0.124921
0.0,17,0.125346
0.0,3,0.125469
0.0,6,0.125652
0.0,5,0.125813
0.0,5,0.12598
0.0,5,0.126143
0.0,11,0.126448
0.0,7,0.126654
0.0,8,0.126888
0.0,10,0.127165
0.0,7,0.12739
0.0,13,0.127724
0.0,18,0.128154
0.0,8,0.128392
0.0,5,0.128555
0.0,18,0.128987
0.0,31,0.129678
0.0,8,0.129903
1.0,11,0.13019
0.0,4,0.130343
