#{"t_start": 1522149031.9724846, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.006864
0.0,2,0.007
0.0,2,0.007116
0.0,5,0.007311
0.0,9,0.007602
0.0,9,0.007877
0.0,7,0.008111
0.0,3,0.008243
0.0,5,0.00843
0.0,3,0.008566
0.0,5,0.008741
0.0,8,0.008981
0.0,7,0.009198
0.0,1,0.009279
0.0,3,0.00942
0.0,12,0.009759
1.0,13,0.010119
0.0,14,0.010516
0.0,5,0.010694
0.0,5,0.010874
0.0,4,0.011037
0.0,1,0.011122
0.0,9,0.011402
0.0,8,0.011655
0.0,1,0.011736
0.0,1,0.011817
0.0,11,0.012135
0.0,4,0.012287
0.0,18,0.012759
0.0,9,0.013024
0.0,13,0.013408
0.0,1,0.013494
0.0,15,0.0139
0.0,7,0.014125
0.0,7,0.014357
0.0,6,0.01456
0.0,2,0.014671
0.0,10,0.014966
0.0,4,0.015118
0.0,5,0.015298
0.0,30,0.016058
0.0,13,0.016432
0.0,5,0.016609
0.0,10,0.016902
0.0,6,0.017104
0.0,1,0.017184
0.0,32,0.017983
0.0,1,0.018071
0.0,23,0.018667
0.0,5,0.018847
0.0,3,0.018976
0.0,14,0.019372
0.0,7,0.019602
0.0,4,0.01976
0.0,2,0.019867
0.0,5,0.020042
0.0,5,0.020216
0.0,10,0.02052
0.0,8,0.020771
0.0,7,0.020992
0.0,1,0.021073
0.0,11,0.021403
0.0,10,0.021697
0.0,9,0.021968
0.0,15,0.022384
0.0,11,0.022702
0.0,9,0.022974
0.0,3,0.023103
0.0,6,0.023297
0.0,3,0.023436
0.0,6,0.023632
0.0,10,0.023925
0.0,3,0.024055
0.0,3,0.024194
0.0,3,0.024337
0.0,2,0.02445
0.0,5,0.024626
0.0,5,0.0248
0.0,1,0.024879
0.0,3,0.025009
0.0,12,0.025359
0.0,11,0.025671
0.0,8,0.025911
0.0,15,0.026325
0.0,18,0.026801
0.0,20,0.027323
0.0,2,0.027436
0.0,2,0.027546
0.0,2,0.027656
0.0,25,0.028291
0.0,5,0.028474
0.0,27,0.029146
0.0,15,0.029566
0.0,17,0.030014
0.0,7,0.030234
0.0,5,0.030434
0.0,6,0.030632
0.0,7,0.030859
0.0,15,0.03127
0.0,6,0.031478
0.0,17,0.031941
0.0,5,0.032121
0.0,3,0.03225
0.0,18,0.032734
0.0,25,0.033381
0.0,3,0.033517
0.0,16,0.033958
0.0,8,0.034201
0.0,5,0.034395
0.0,1,0.034477
0.0,7,0.034706
0.0,20,0.035238
0.0,1,0.035327
0.0,6,0.035528
0.0,4,0.035679
0.0,15,0.036085
0.0,2,0.036191
0.0,5,0.036385
0.0,14,0.036764
0.0,7,0.036983
0.0,20,0.037505
0.0,7,0.037723
0.0,3,0.037857
0.0,1,0.037942
0.0,31,0.038715
0.0,7,0.038944
0.0,7,0.039165
0.0,9,0.039453
0.0,9,0.039717
0.0,7,0.039941
