#{"t_start": 1522158011.0540826, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,30,0.013899
0.0,45,0.014974
0.0,4,0.015134
0.0,77,0.016903
0.0,88,0.018927
0.0,38,0.019833
0.0,3,0.019968
0.0,37,0.020854
0.0,57,0.022193
0.0,94,0.024313
0.0,42,0.025328
0.0,16,0.025757
0.0,34,0.026606
0.0,2,0.026717
0.0,51,0.027946
0.0,30,0.028687
0.0,27,0.029347
0.0,100,0.031646
0.0,9,0.031919
0.0,30,0.032651
0.0,28,0.033324
0.0,1,0.033403
0.0,3,0.033576
0.0,4,0.033725
0.0,2,0.033832
0.0,1,0.033909
0.0,6,0.034105
0.0,3,0.03423
0.0,2,0.034336
1.0,23,0.034925
1.0,19,0.035403
0.0,21,0.035948
0.0,6,0.03615
0.0,21,0.036717
0.0,14,0.037098
0.0,6,0.037295
1.0,26,0.037939
0.0,5,0.038117
0.0,4,0.038273
0.0,7,0.038499
0.0,6,0.03869
0.0,42,0.039698
0.0,1,0.039784
0.0,24,0.040371
0.0,34,0.041204
0.0,22,0.041768
0.0,9,0.042024
0.0,5,0.0422
0.0,8,0.042451
0.0,5,0.042636
0.0,3,0.04276
0.0,5,0.042926
0.0,2,0.043025
0.0,28,0.043708
0.0,9,0.04397
0.0,2,0.044073
0.0,3,0.044195
0.0,18,0.044663
0.0,3,0.04479
0.0,3,0.044916
0.0,11,0.045215
0.0,3,0.04534
0.0,14,0.045752
0.0,14,0.046113
0.0,7,0.046325
1.0,11,0.046635
0.0,23,0.047197
0.0,19,0.047697
0.0,3,0.047826
0.0,7,0.048042
0.0,11,0.048339
0.0,7,0.048613
0.0,10,0.048894
0.0,7,0.049109
0.0,8,0.04935
0.0,3,0.049492
1.0,25,0.050097
0.0,2,0.050206
1.0,22,0.050755
1.0,8,0.050997
0.0,1,0.051079
0.0,4,0.051237
1.0,37,0.052139
0.0,3,0.052265
0.0,34,0.053072
0.0,4,0.053229
0.0,5,0.053407
0.0,3,0.053541
0.0,17,0.053971
0.0,1,0.054058
0.0,11,0.054359
0.0,4,0.054536
0.0,1,0.054632
0.0,38,0.055533
0.0,18,0.056
0.0,11,0.056314
0.0,1,0.056393
0.0,18,0.056854
0.0,4,0.057012
0.0,5,0.057187
1.0,12,0.057532
1.0,15,0.05793
0.0,18,0.058382
0.0,4,0.058548
0.0,5,0.058718
0.0,40,0.059689
0.0,19,0.060169
1.0,25,0.060823
0.0,14,0.061212
0.0,23,0.061802
0.0,13,0.062155
0.0,12,0.062493
0.0,55,0.063795
1.0,8,0.06404
1.0,13,0.064391
0.0,1,0.064478
1.0,19,0.064949
0.0,5,0.06512
0.0,7,0.065339
0.0,28,0.066016
1.0,24,0.066648
0.0,15,0.067047
0.0,2,0.067151
0.0,11,0.067463
0.0,27,0.068123
0.0,10,0.068403
0.0,7,0.068634
0.0,20,0.069135
1.0,32,0.069932
1.0,21,0.070475
0.0,55,0.071735
0.0,1,0.071815
0.0,15,0.0722
1.0,27,0.072886
1.0,10,0.073161
0.0,4,0.073304
1.0,31,0.074058
1.0,24,0.074651
0.0,2,0.074756
1.0,27,0.075409
1.0,12,0.075744
0.0,1,0.075822
1.0,29,0.076534
0.0,11,0.076847
0.0,2,0.076955
0.0,47,0.078037
0.0,23,0.078612
0.0,13,0.078953
1.0,16,0.079354
0.0,25,0.079986
1.0,33,0.080781
0.0,4,0.080936
0.0,3,0.081069
1.0,23,0.081639
0.0,17,0.082072
0.0,45,0.083134
0.0,2,0.083246
0.0,8,0.083492
0.0,42,0.084468
1.0,30,0.085174
0.0,2,0.085281
0.0,10,0.085577
0.0,10,0.085863
0.0,25,0.086481
0.0,4,0.08663
1.0,33,0.087401
0.0,37,0.088273
0.0,19,0.088765
0.0,12,0.089089
0.0,9,0.08934
0.0,6,0.08954
0.0,11,0.08984
0.0,23,0.090399
0.0,4,0.090563
0.0,1,0.090645
0.0,100,0.092886
0.0,12,0.093221
0.0,31,0.09396
0.0,14,0.094342
0.0,10,0.094629
0.0,2,0.094732
0.0,14,0.095106
1.0,9,0.095358
0.0,15,0.095754
0.0,9,0.096016
1.0,35,0.096842
0.0,27,0.097506
1.0,29,0.098197
0.0,8,0.098448
0.0,11,0.098757
1.0,19,0.09924
1.0,35,0.100062
1.0,35,0.100917
0.0,9,0.101179
0.0,4,0.101331
0.0,5,0.101518
0.0,7,0.10173
0.0,8,0.101967
0.0,22,0.102525
0.0,24,0.103111
1.0,9,0.103364
1.0,42,0.104329
0.0,20,0.10484
0.0,11,0.105142
0.0,14,0.105531
0.0,1,0.105611
0.0,13,0.10596
1.0,36,0.106797
0.0,1,0.10688
1.0,18,0.107331
1.0,19,0.107817
0.0,62,0.109215
1.0,15,0.109609
0.0,10,0.109892
1.0,10,0.110182
0.0,36,0.111032
1.0,31,0.111771
1.0,31,0.112514
0.0,16,0.112928
0.0,21,0.113453
1.0,21,0.114028
1.0,13,0.114379
1.0,16,0.114791
0.0,11,0.115095
1.0,21,0.115618
0.0,7,0.115835
1.0,24,0.11644
0.0,4,0.116595
1.0,26,0.117223
1.0,21,0.117739
0.0,9,0.118007
0.0,41,0.118973
1.0,18,0.119418
0.0,12,0.119743
0.0,11,0.120062
0.0,9,0.120325
0.0,15,0.120724
0.0,4,0.120877
0.0,18,0.121335
0.0,8,0.121576
0.0,9,0.121843
0.0,4,0.12199
0.0,6,0.122183
0.0,17,0.12262
0.0,5,0.12279
0.0,8,0.123035
1.0,54,0.124268
0.0,8,0.124527
0.0,22,0.125068
0.0,3,0.125194
0.0,17,0.125642
1.0,7,0.125855
0.0,1,0.125935
1.0,28,0.126658
0.0,5,0.126827
1.0,28,0.127511
0.0,7,0.127748
0.0,9,0.128005
0.0,12,0.128322
1.0,9,0.128585
0.0,37,0.129463
0.0,5,0.129653
1.0,21,0.130173
0.0,14,0.13055
0.0,30,0.131259
1.0,44,0.132324
0.0,3,0.132473
0.0,26,0.133111
1.0,25,0.133721
0.0,8,0.133961
0.0,10,0.134245
0.0,3,0.134374
0.0,88,0.136353
0.0,4,0.136515
0.0,3,0.136641
0.0,18,0.137095
1.0,65,0.138569
0.0,18,0.139021
1.0,11,0.139322
1.0,23,0.139905
0.0,2,0.140008
0.0,24,0.1406
1.0,21,0.14112
0.0,1,0.141201
0.0,7,0.141422
1.0,20,0.141929
0.0,2,0.142035
0.0,8,0.142276
0.0,3,0.142405
0.0,9,0.142666
0.0,7,0.142884
0.0,1,0.142967
1.0,31,0.143713
0.0,12,0.144049
1.0,17,0.144495
0.0,17,0.144929
0.0,8,0.145166
1.0,21,0.145698
0.0,5,0.145867
0.0,6,0.146064
