#{"t_start": 1522150666.549159, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,36,0.011361
0.0,100,0.013815
0.0,11,0.014156
0.0,22,0.014763
0.0,23,0.015387
0.0,37,0.016328
0.0,22,0.016926
0.0,48,0.018137
1.0,41,0.019191
0.0,11,0.019536
0.0,19,0.020067
0.0,100,0.022563
0.0,7,0.022803
0.0,38,0.023775
0.0,17,0.024239
0.0,10,0.024564
0.0,9,0.024848
0.0,1,0.024937
0.0,12,0.025285
0.0,7,0.025528
0.0,9,0.025809
0.0,4,0.02597
0.0,11,0.026297
0.0,45,0.027455
0.0,27,0.028158
0.0,28,0.028914
0.0,15,0.029343
0.0,12,0.029711
0.0,37,0.030669
0.0,11,0.031004
0.0,24,0.031658
0.0,10,0.031968
0.0,20,0.032521
1.0,30,0.033285
0.0,2,0.033414
0.0,15,0.033845
0.0,29,0.034616
0.0,29,0.035387
0.0,11,0.035714
0.0,14,0.036121
0.0,16,0.036595
0.0,10,0.036901
0.0,6,0.037106
1.0,9,0.03739
1.0,16,0.037841
0.0,31,0.038656
0.0,12,0.03901
0.0,10,0.039315
0.0,4,0.039484
0.0,17,0.039963
1.0,19,0.040483
0.0,20,0.041016
0.0,24,0.041668
0.0,9,0.041959
0.0,29,0.042731
0.0,22,0.043323
0.0,28,0.044056
0.0,16,0.044522
0.0,6,0.044737
0.0,30,0.045532
0.0,1,0.045622
0.0,8,0.045882
0.0,14,0.046277
0.0,7,0.046526
0.0,5,0.046715
0.0,24,0.047355
0.0,2,0.047503
0.0,18,0.047994
0.0,10,0.048304
0.0,1,0.048401
0.0,30,0.049176
0.0,14,0.049584
0.0,5,0.049768
0.0,67,0.051424
1.0,21,0.051984
0.0,24,0.05262
0.0,31,0.053446
0.0,43,0.054551
0.0,6,0.05476
0.0,33,0.055634
1.0,55,0.057008
1.0,63,0.058556
0.0,55,0.059929
0.0,4,0.060097
0.0,17,0.060575
0.0,48,0.061796
0.0,6,0.062014
0.0,12,0.062376
0.0,4,0.062544
0.0,19,0.063069
0.0,36,0.064005
0.0,10,0.064318
0.0,39,0.065331
0.0,38,0.066322
0.0,19,0.066853
1.0,24,0.067511
0.0,17,0.067986
0.0,29,0.068758
0.0,67,0.070409
0.0,38,0.071386
0.0,16,0.071835
0.0,13,0.072213
0.0,17,0.072698
0.0,16,0.073149
1.0,9,0.073445
0.0,6,0.073654
0.0,40,0.074682
0.0,20,0.075232
0.0,16,0.075697
0.0,12,0.07608
0.0,10,0.076414
1.0,11,0.076755
0.0,71,0.078533
0.0,10,0.078851
0.0,11,0.079184
0.0,7,0.079426
0.0,49,0.080667
0.0,14,0.081076
0.0,8,0.081336
0.0,1,0.081432
0.0,1,0.081521
1.0,46,0.082682
0.0,18,0.083184
0.0,19,0.083716
0.0,77,0.085621
1.0,26,0.086314
0.0,7,0.086562
0.0,3,0.086707
0.0,3,0.086847
0.0,15,0.087274
0.0,15,0.087707
0.0,32,0.088551
1.0,18,0.089041
0.0,17,0.089529
0.0,14,0.089926
