#{"t_start": 1522157789.1413646, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,100,0.018855
0.0,2,0.018975
0.0,2,0.019081
0.0,2,0.019182
0.0,89,0.021158
0.0,32,0.021867
0.0,7,0.022066
0.0,11,0.022339
0.0,9,0.022588
0.0,34,0.023393
0.0,65,0.024847
0.0,16,0.025279
0.0,12,0.02558
0.0,4,0.025719
0.0,7,0.025968
0.0,10,0.026292
0.0,3,0.026412
0.0,42,0.02739
0.0,46,0.028391
0.0,5,0.028554
0.0,7,0.028778
0.0,36,0.0296
0.0,31,0.03033
0.0,34,0.031099
0.0,28,0.031729
0.0,17,0.032201
0.0,28,0.032881
0.0,28,0.033547
0.0,42,0.034466
0.0,49,0.035561
0.0,36,0.036417
0.0,100,0.038541
0.0,27,0.039213
0.0,14,0.039564
0.0,9,0.039819
0.0,2,0.03992
0.0,6,0.040101
0.0,14,0.040446
0.0,16,0.040874
0.0,10,0.041169
0.0,12,0.041472
0.0,10,0.041744
0.0,8,0.042013
0.0,9,0.042279
0.0,2,0.042381
0.0,100,0.044638
0.0,1,0.044717
0.0,2,0.044849
0.0,4,0.045008
0.0,2,0.045128
0.0,1,0.045201
0.0,100,0.047431
0.0,14,0.047806
0.0,22,0.048337
0.0,4,0.048486
0.0,29,0.049127
0.0,30,0.049825
0.0,6,0.050014
0.0,9,0.050279
0.0,16,0.05067
0.0,18,0.051154
0.0,9,0.051392
0.0,6,0.051577
0.0,6,0.05177
0.0,5,0.051931
0.0,7,0.052165
0.0,18,0.052603
0.0,4,0.052746
0.0,11,0.053103
0.0,9,0.05335
1.0,16,0.053725
0.0,16,0.054173
0.0,2,0.054271
0.0,12,0.054584
0.0,1,0.054659
0.0,13,0.054988
1.0,29,0.055641
0.0,45,0.056674
0.0,100,0.058817
0.0,13,0.059173
0.0,48,0.060251
0.0,11,0.060531
0.0,15,0.060904
0.0,41,0.061806
0.0,21,0.062323
0.0,16,0.062705
0.0,9,0.062989
0.0,19,0.063447
0.0,23,0.06399
0.0,1,0.06407
0.0,3,0.064196
0.0,8,0.064426
0.0,6,0.064602
0.0,7,0.064831
0.0,13,0.065176
0.0,47,0.066226
0.0,18,0.066652
0.0,5,0.06682
0.0,18,0.067248
0.0,26,0.067846
0.0,19,0.06831
0.0,23,0.068861
0.0,57,0.070096
0.0,4,0.070238
0.0,14,0.07058
0.0,16,0.071008
0.0,11,0.071319
0.0,9,0.071559
0.0,9,0.071833
0.0,12,0.07217
0.0,4,0.072314
0.0,3,0.072438
0.0,4,0.072577
0.0,11,0.072865
0.0,8,0.073107
0.0,1,0.073189
0.0,24,0.07378
0.0,5,0.073957
0.0,15,0.074361
0.0,19,0.074846
0.0,6,0.075036
0.0,3,0.075168
0.0,4,0.075311
0.0,1,0.075386
0.0,68,0.076851
0.0,6,0.077043
0.0,4,0.077203
1.0,17,0.077605
0.0,10,0.077901
0.0,15,0.078286
0.0,2,0.078387
0.0,16,0.078809
0.0,10,0.079102
0.0,5,0.079285
0.0,1,0.079361
0.0,2,0.079476
0.0,7,0.079674
0.0,18,0.080202
0.0,7,0.080414
0.0,11,0.080733
0.0,4,0.080912
0.0,4,0.081098
0.0,6,0.08128
0.0,6,0.081462
0.0,1,0.081537
0.0,2,0.081641
0.0,10,0.081918
0.0,30,0.082589
0.0,7,0.082823
0.0,7,0.083037
0.0,26,0.083688
0.0,5,0.083883
1.0,22,0.084438
0.0,3,0.084556
0.0,9,0.084819
0.0,12,0.085129
0.0,2,0.085231
0.0,8,0.085458
0.0,12,0.085795
0.0,11,0.086124
0.0,5,0.08629
0.0,12,0.086624
0.0,18,0.087136
0.0,42,0.088074
0.0,4,0.088213
1.0,17,0.08862
0.0,3,0.088739
0.0,7,0.088974
0.0,3,0.089131
0.0,33,0.089911
0.0,22,0.090435
0.0,4,0.090579
0.0,10,0.09086
0.0,1,0.09094
0.0,1,0.091019
0.0,22,0.091521
0.0,24,0.092124
0.0,3,0.092247
0.0,50,0.093369
0.0,1,0.093449
0.0,8,0.093677
0.0,1,0.093757
0.0,16,0.094147
0.0,21,0.09463
0.0,34,0.095383
0.0,13,0.095701
0.0,22,0.096242
0.0,16,0.096632
0.0,17,0.097049
0.0,5,0.097213
0.0,23,0.097744
0.0,23,0.098289
0.0,29,0.098947
0.0,4,0.099086
0.0,40,0.099967
0.0,12,0.100279
0.0,7,0.100489
0.0,4,0.100629
0.0,20,0.101106
0.0,17,0.101511
0.0,45,0.102469
0.0,12,0.102793
0.0,27,0.103397
0.0,19,0.103851
0.0,4,0.103991
0.0,1,0.104069
0.0,11,0.104359
0.0,40,0.105243
0.0,7,0.105451
0.0,14,0.105805
0.0,37,0.106614
0.0,16,0.107033
0.0,20,0.107522
0.0,11,0.107837
0.0,1,0.107918
0.0,30,0.1086
0.0,12,0.108921
0.0,16,0.109311
0.0,15,0.109679
0.0,5,0.109848
0.0,56,0.111039
0.0,9,0.111282
0.0,11,0.111571
0.0,20,0.112049
0.0,63,0.113385
0.0,2,0.113485
0.0,4,0.113625
0.0,6,0.11384
0.0,5,0.11403
0.0,13,0.114391
0.0,46,0.115389
0.0,9,0.115629
0.0,18,0.116064
0.0,52,0.117237
0.0,6,0.117518
0.0,8,0.117783
0.0,5,0.117961
0.0,4,0.118119
0.0,10,0.118378
0.0,37,0.1192
0.0,5,0.119362
0.0,32,0.120085
0.0,28,0.120718
0.0,21,0.121221
0.0,13,0.121549
0.0,8,0.121789
0.0,11,0.122073
0.0,16,0.122458
0.0,14,0.122808
0.0,15,0.123182
0.0,15,0.123547
0.0,15,0.123923
0.0,30,0.124591
0.0,13,0.124928
0.0,2,0.125026
0.0,12,0.125331
0.0,24,0.125902
0.0,6,0.126119
0.0,20,0.126579
0.0,16,0.126993
0.0,1,0.12709
0.0,12,0.127397
0.0,4,0.12754
0.0,25,0.128204
0.0,27,0.128839
0.0,79,0.130535
0.0,17,0.130985
0.0,41,0.131977
0.0,1,0.13208
0.0,5,0.132241
0.0,44,0.133204
0.0,7,0.133431
0.0,6,0.133636
0.0,1,0.133725
0.0,19,0.134259
0.0,5,0.134425
0.0,41,0.135421
0.0,52,0.136595
0.0,18,0.137084
0.0,16,0.137471
0.0,21,0.138003
0.0,12,0.138356
0.0,15,0.138718
0.0,8,0.138981
0.0,6,0.13918
0.0,22,0.139688
0.0,10,0.139964
0.0,2,0.140064
0.0,30,0.140726
0.0,2,0.140837
0.0,19,0.141289
1.0,25,0.141861
0.0,1,0.14194
1.0,15,0.142311
0.0,3,0.142435
0.0,7,0.142635
0.0,20,0.143111
0.0,1,0.143192
0.0,12,0.143497
0.0,26,0.144104
0.0,39,0.14497
0.0,10,0.145242
0.0,4,0.145381
0.0,9,0.145625
0.0,6,0.145821
0.0,8,0.146055
0.0,4,0.146202
0.0,13,0.146531
0.0,7,0.146737
0.0,3,0.146866
0.0,9,0.147118
0.0,11,0.147403
0.0,17,0.147829
1.0,14,0.148176
0.0,7,0.148379
0.0,4,0.148523
0.0,13,0.148871
0.0,17,0.149283
0.0,24,0.149838
0.0,7,0.150039
0.0,16,0.150431
0.0,12,0.150744
0.0,2,0.150856
1.0,38,0.151707
0.0,1,0.151789
0.0,10,0.152063
0.0,8,0.15229
0.0,2,0.152388
0.0,67,0.153811
0.0,26,0.154395
0.0,30,0.155087
0.0,20,0.155555
0.0,1,0.155634
0.0,28,0.156281
0.0,13,0.156611
0.0,26,0.157197
0.0,9,0.157447
0.0,12,0.157758
0.0,7,0.157962
0.0,27,0.158581
0.0,14,0.158939
0.0,2,0.159043
0.0,11,0.159335
0.0,10,0.159595
0.0,8,0.159831
0.0,4,0.159975
0.0,10,0.160248
0.0,10,0.160514
0.0,7,0.160713
0.0,14,0.161111
0.0,3,0.161284
0.0,39,0.162272
0.0,7,0.162481
0.0,11,0.162793
0.0,8,0.16302
0.0,19,0.163475
0.0,8,0.163696
0.0,19,0.164155
0.0,8,0.164384
0.0,3,0.164505
0.0,1,0.164579
0.0,3,0.164698
0.0,31,0.165403
0.0,18,0.165843
0.0,30,0.166512
0.0,1,0.166588
0.0,1,0.166663
0.0,30,0.167347
0.0,11,0.167629
0.0,20,0.168111
0.0,8,0.168339
0.0,3,0.168457
0.0,1,0.168535
0.0,7,0.168738
0.0,24,0.169299
0.0,24,0.169866
0.0,39,0.170745
0.0,65,0.172129
0.0,33,0.172872
0.0,68,0.174305
0.0,12,0.174606
0.0,10,0.174883
0.0,12,0.175231
0.0,4,0.175375
0.0,4,0.175521
0.0,13,0.175898
0.0,13,0.176277
0.0,21,0.176799
0.0,2,0.176905
0.0,6,0.177111
0.0,29,0.177759
0.0,10,0.178029
0.0,11,0.178307
0.0,22,0.178819
0.0,41,0.179713
0.0,2,0.179821
0.0,1,0.1799
0.0,7,0.180111
0.0,10,0.180378
0.0,62,0.181704
0.0,3,0.181833
0.0,9,0.182088
0.0,16,0.182478
0.0,3,0.182597
0.0,27,0.183216
0.0,8,0.183436
0.0,42,0.184374
0.0,15,0.18474
0.0,12,0.185058
0.0,15,0.185433
0.0,21,0.18593
0.0,10,0.186189
0.0,3,0.186306
0.0,8,0.186525
0.0,15,0.186899
0.0,5,0.187068
0.0,5,0.187237
0.0,8,0.187466
0.0,1,0.187546
0.0,26,0.188146
0.0,6,0.188332
0.0,23,0.188865
0.0,6,0.189046
0.0,7,0.189253
0.0,4,0.189397
0.0,1,0.189473
1.0,21,0.18997
1.0,7,0.190169
0.0,12,0.19047
0.0,1,0.190545
0.0,27,0.191183
0.0,11,0.191476
0.0,26,0.192081
0.0,59,0.193358
0.0,4,0.1935
0.0,3,0.193618
0.0,1,0.193695
0.0,23,0.194238
0.0,10,0.194509
1.0,21,0.195015
0.0,15,0.195374
0.0,11,0.19565
0.0,32,0.196376
0.0,10,0.196644
0.0,60,0.197988
0.0,11,0.198294
0.0,1,0.19837
0.0,13,0.198697
0.0,6,0.198891
0.0,20,0.199368
0.0,45,0.20038
0.0,3,0.200505
0.0,35,0.201334
0.0,8,0.201552
0.0,20,0.202026
0.0,3,0.202175
0.0,25,0.202787
0.0,29,0.203476
0.0,6,0.203664
0.0,13,0.203998
0.0,5,0.204158
0.0,4,0.204295
0.0,9,0.204535
0.0,13,0.204887
0.0,16,0.205268
0.0,1,0.205347
0.0,8,0.205578
0.0,16,0.205974
0.0,11,0.206262
0.0,8,0.206493
0.0,9,0.20673
0.0,6,0.206924
0.0,8,0.207184
0.0,12,0.20748
0.0,2,0.207577
0.0,1,0.207653
1.0,9,0.207906
0.0,15,0.208272
0.0,21,0.208789
0.0,23,0.20935
0.0,7,0.209552
0.0,32,0.210339
0.0,11,0.210617
0.0,11,0.210913
0.0,28,0.211547
0.0,46,0.212596
0.0,15,0.213006
0.0,5,0.213188
0.0,39,0.214059
0.0,4,0.214202
0.0,18,0.21462
0.0,21,0.215163
0.0,35,0.21594
