#{"t_start": 1522157960.7554026, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,21,0.056379
0.0,7,0.056973
0.0,7,0.057543
0.0,5,0.057975
0.0,10,0.058744
0.0,6,0.05924
0.0,8,0.059872
0.0,5,0.0603
0.0,13,0.061247
0.0,20,0.062676
0.0,9,0.06336
0.0,14,0.064377
0.0,9,0.064923
0.0,10,0.065434
0.0,16,0.066192
0.0,3,0.066389
0.0,19,0.06729
0.0,1,0.067409
0.0,3,0.067607
0.0,4,0.067848
0.0,10,0.068343
0.0,3,0.068549
0.0,8,0.068966
0.0,7,0.069334
0.0,15,0.07005
0.0,10,0.07056
0.0,27,0.0718
0.0,12,0.072388
0.0,13,0.073028
0.0,6,0.073358
0.0,2,0.073524
0.0,3,0.073725
0.0,22,0.074762
0.0,5,0.075049
0.0,14,0.075731
0.0,8,0.076146
0.0,3,0.076345
0.0,4,0.076598
0.0,8,0.077011
0.0,9,0.077481
0.0,3,0.077682
0.0,15,0.078407
0.0,6,0.078736
1.0,10,0.079232
0.0,6,0.079571
0.0,3,0.079772
0.0,11,0.08032
0.0,3,0.080534
0.0,2,0.080689
0.0,1,0.080798
0.0,6,0.081124
0.0,5,0.081423
0.0,11,0.081968
0.0,7,0.082342
0.0,9,0.082812
0.0,4,0.083055
0.0,7,0.083435
0.0,19,0.084323
0.0,13,0.08497
0.0,13,0.085618
0.0,10,0.08612
0.0,4,0.086363
0.0,2,0.086524
0.0,4,0.086766
0.0,6,0.087093
0.0,2,0.087248
0.0,3,0.087457
0.0,9,0.087922
0.0,1,0.088032
0.0,3,0.088229
0.0,15,0.088954
0.0,31,0.090385
0.0,7,0.090766
0.0,15,0.0915
0.0,23,0.092579
0.0,4,0.092824
0.0,12,0.093421
0.0,13,0.094054
0.0,3,0.094254
0.0,2,0.094424
0.0,4,0.094667
0.0,9,0.095125
0.0,1,0.095237
0.0,8,0.095659
0.0,10,0.096162
0.0,13,0.096808
0.0,17,0.097626
0.0,8,0.098043
0.0,5,0.09833
0.0,5,0.098626
0.0,24,0.099749
0.0,5,0.100037
0.0,2,0.100194
0.0,9,0.100661
0.0,5,0.100951
0.0,4,0.101191
0.0,2,0.101348
0.0,5,0.101642
0.0,11,0.102186
0.0,7,0.102568
0.0,3,0.102771
0.0,4,0.103012
0.0,3,0.103212
0.0,7,0.103594
0.0,5,0.103881
0.0,10,0.104385
0.0,7,0.104773
0.0,3,0.104974
0.0,21,0.10596
0.0,22,0.106998
0.0,5,0.107285
0.0,9,0.107755
0.0,10,0.108255
1.0,12,0.108854
0.0,7,0.109227
0.0,4,0.109483
0.0,10,0.109985
0.0,3,0.110185
0.0,15,0.110912
0.0,8,0.111328
0.0,5,0.111621
0.0,6,0.111953
0.0,32,0.113422
0.0,3,0.113621
0.0,22,0.11465
0.0,4,0.114896
0.0,1,0.115005
0.0,19,0.11591
0.0,16,0.116688
0.0,30,0.118066
0.0,7,0.118449
0.0,17,0.119255
1.0,9,0.119723
0.0,4,0.119968
0.0,4,0.120208
1.0,17,0.121024
0.0,26,0.122228
0.0,18,0.123087
0.0,2,0.123243
0.0,10,0.12376
0.0,12,0.124346
0.0,34,0.125912
0.0,13,0.12655
0.0,10,0.127055
0.0,6,0.127382
0.0,3,0.127593
0.0,2,0.127747
0.0,6,0.128077
0.0,8,0.128501
0.0,13,0.129138
0.0,11,0.129691
0.0,9,0.13015
0.0,28,0.131447
1.0,20,0.132383
0.0,3,0.132591
0.0,15,0.133312
0.0,9,0.133783
0.0,9,0.134244
0.0,8,0.134678
0.0,4,0.134923
0.0,34,0.136471
0.0,26,0.137677
0.0,3,0.137878
0.0,9,0.138337
0.0,5,0.138634
0.0,13,0.139267
0.0,3,0.139477
0.0,5,0.139765
0.0,1,0.139876
0.0,3,0.140073
0.0,7,0.140457
0.0,18,0.141304
0.0,11,0.141859
0.0,10,0.14236
0.0,15,0.143089
0.0,8,0.143515
0.0,20,0.144464
0.0,3,0.144663
0.0,8,0.145077
0.0,25,0.146239
0.0,7,0.146621
0.0,1,0.146731
0.0,1,0.14684
1.0,18,0.147701
0.0,6,0.148028
0.0,23,0.149099
0.0,5,0.149387
0.0,2,0.149554
0.0,7,0.149923
0.0,2,0.150076
0.0,6,0.150414
0.0,46,0.152479
0.0,22,0.153505
0.0,5,0.153794
0.0,3,0.153991
0.0,11,0.154554
0.0,4,0.154802
0.0,3,0.155061
0.0,7,0.155453
