#{"t_start": 1522156998.3497932, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,41,0.013504
0.0,8,0.013795
0.0,1,0.01388
0.0,9,0.014128
0.0,10,0.014424
0.0,22,0.014966
0.0,19,0.01542
0.0,28,0.016051
0.0,9,0.016298
0.0,26,0.016906
0.0,38,0.017847
0.0,6,0.018033
0.0,18,0.018496
0.0,13,0.018836
0.0,9,0.019084
0.0,11,0.01938
0.0,44,0.02036
0.0,52,0.021488
0.0,58,0.022737
0.0,14,0.023088
0.0,20,0.023577
0.0,46,0.024599
0.0,1,0.024681
0.0,43,0.025677
0.0,82,0.027402
0.0,15,0.027776
0.0,58,0.029035
0.0,3,0.029161
0.0,58,0.030427
0.0,18,0.030868
0.0,25,0.031487
0.0,23,0.032041
0.0,22,0.032597
0.0,91,0.034576
0.0,41,0.035518
0.0,12,0.035833
0.0,31,0.036552
0.0,34,0.037307
0.0,27,0.037936
0.0,30,0.038619
1.0,18,0.039052
1.0,35,0.039848
0.0,5,0.040014
0.0,11,0.040301
1.0,18,0.040741
0.0,28,0.041396
0.0,20,0.041891
0.0,12,0.042199
1.0,9,0.042462
0.0,4,0.042607
0.0,23,0.043139
1.0,44,0.044103
0.0,23,0.044635
0.0,13,0.04496
1.0,53,0.046109
0.0,24,0.046727
0.0,9,0.046981
1.0,15,0.047364
0.0,6,0.04755
0.0,8,0.047772
0.0,1,0.047845
0.0,1,0.047918
1.0,28,0.048574
0.0,5,0.048735
0.0,6,0.04892
0.0,7,0.049125
0.0,13,0.049466
1.0,39,0.050337
0.0,10,0.050606
1.0,23,0.051138
0.0,28,0.05178
0.0,11,0.052063
0.0,8,0.052287
0.0,28,0.052924
0.0,27,0.05355
1.0,21,0.054046
0.0,3,0.054169
0.0,29,0.05484
0.0,12,0.055156
0.0,12,0.0555
1.0,32,0.056236
0.0,16,0.056703
1.0,57,0.057924
0.0,44,0.058905
1.0,15,0.059279
0.0,20,0.059756
0.0,1,0.059831
0.0,6,0.060019
