#{"t_start": 1522157927.5468307, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.01143
0.0,5,0.011633
0.0,12,0.011993
0.0,4,0.012163
0.0,2,0.012273
0.0,5,0.012442
0.0,8,0.012677
0.0,12,0.013017
0.0,4,0.013172
0.0,4,0.013327
0.0,13,0.013659
0.0,9,0.013926
0.0,6,0.014148
0.0,13,0.014505
0.0,6,0.014692
0.0,4,0.014844
0.0,18,0.015339
0.0,8,0.015569
0.0,17,0.015997
0.0,11,0.016304
0.0,2,0.016412
0.0,36,0.017238
0.0,23,0.017797
0.0,31,0.018545
0.0,8,0.018774
0.0,1,0.018856
0.0,41,0.019816
0.0,3,0.019949
0.0,9,0.020244
0.0,5,0.020412
0.0,33,0.021198
0.0,5,0.021373
0.0,25,0.021958
0.0,5,0.022134
0.0,6,0.022328
0.0,13,0.022666
0.0,1,0.022744
0.0,32,0.023496
0.0,3,0.023622
0.0,25,0.024275
0.0,9,0.024524
0.0,2,0.024624
0.0,6,0.024826
0.0,5,0.025004
0.0,9,0.025256
0.0,13,0.025593
0.0,4,0.025746
0.0,2,0.025854
0.0,5,0.026039
0.0,7,0.026256
0.0,11,0.026555
0.0,1,0.026634
0.0,1,0.026715
0.0,23,0.027306
0.0,8,0.027544
0.0,9,0.027813
0.0,1,0.027891
0.0,8,0.02814
0.0,4,0.028286
0.0,17,0.028714
0.0,3,0.028837
0.0,49,0.029946
0.0,4,0.030128
0.0,4,0.030287
0.0,5,0.030476
0.0,2,0.030578
0.0,3,0.030706
0.0,3,0.030831
0.0,11,0.031135
0.0,36,0.031976
0.0,4,0.032125
0.0,3,0.032249
0.0,3,0.032372
0.0,24,0.032938
0.0,8,0.03321
0.0,12,0.033527
0.0,7,0.033749
0.0,8,0.03399
0.0,4,0.034137
0.0,15,0.034516
0.0,1,0.034594
0.0,1,0.034672
0.0,4,0.034823
0.0,35,0.035647
0.0,8,0.035884
0.0,9,0.03618
0.0,25,0.03676
0.0,10,0.037052
1.0,14,0.03741
0.0,8,0.037638
0.0,4,0.037779
0.0,1,0.037855
0.0,6,0.038059
0.0,5,0.038228
0.0,7,0.038445
0.0,6,0.038632
0.0,5,0.038801
0.0,3,0.038931
0.0,9,0.03923
0.0,3,0.039356
0.0,71,0.040892
0.0,16,0.041322
0.0,7,0.041549
0.0,6,0.041752
1.0,21,0.042309
0.0,19,0.042802
0.0,46,0.043826
0.0,22,0.044387
0.0,8,0.044624
0.0,13,0.04496
0.0,10,0.045277
0.0,6,0.045464
0.0,1,0.045541
0.0,3,0.045664
0.0,3,0.045793
0.0,7,0.046011
0.0,4,0.046156
0.0,3,0.046278
0.0,4,0.046428
1.0,8,0.046673
0.0,3,0.046796
0.0,4,0.04694
0.0,7,0.047153
0.0,1,0.047236
0.0,4,0.047381
0.0,4,0.04753
0.0,6,0.047729
0.0,6,0.047918
1.0,7,0.048164
0.0,11,0.048472
0.0,1,0.048551
0.0,3,0.048674
0.0,8,0.048906
0.0,9,0.049177
0.0,10,0.049447
0.0,6,0.049631
0.0,17,0.050069
0.0,3,0.050193
0.0,13,0.050535
0.0,5,0.050707
0.0,8,0.050946
0.0,20,0.051466
0.0,10,0.051739
0.0,11,0.052049
0.0,1,0.052132
0.0,1,0.052213
0.0,3,0.052357
0.0,7,0.052575
0.0,6,0.052765
0.0,3,0.052901
0.0,3,0.053043
0.0,2,0.053145
0.0,8,0.053379
0.0,3,0.0535
0.0,2,0.053601
0.0,8,0.053825
1.0,7,0.054078
0.0,6,0.054264
0.0,6,0.054456
0.0,5,0.05462
0.0,7,0.054823
0.0,10,0.055113
0.0,8,0.055349
0.0,8,0.055617
0.0,4,0.055768
0.0,8,0.05601
0.0,6,0.056196
0.0,3,0.056317
0.0,7,0.056531
0.0,4,0.056683
0.0,2,0.056785
0.0,1,0.056861
0.0,10,0.057168
0.0,3,0.057301
0.0,3,0.057427
0.0,1,0.057503
0.0,10,0.05777
0.0,4,0.057913
0.0,6,0.058107
0.0,2,0.058209
0.0,7,0.05842
0.0,3,0.058543
0.0,3,0.058666
0.0,1,0.058746
0.0,9,0.059014
0.0,7,0.059222
0.0,4,0.059364
0.0,15,0.059746
0.0,1,0.059827
0.0,5,0.060017
0.0,5,0.060198
0.0,5,0.060362
0.0,12,0.060678
0.0,4,0.060829
0.0,3,0.060952
0.0,4,0.061105
1.0,15,0.06149
0.0,2,0.061597
0.0,4,0.061748
0.0,2,0.061854
0.0,7,0.062082
1.0,6,0.062275
0.0,2,0.062382
0.0,6,0.062576
0.0,10,0.062856
0.0,10,0.063172
0.0,4,0.063318
0.0,5,0.063489
0.0,10,0.063765
0.0,16,0.064186
0.0,21,0.0647
0.0,1,0.064778
0.0,7,0.064995
0.0,3,0.065119
0.0,3,0.065241
0.0,3,0.065363
0.0,8,0.06559
0.0,4,0.065739
0.0,4,0.065895
0.0,10,0.06621
0.0,8,0.066442
0.0,6,0.066639
0.0,1,0.066716
0.0,4,0.066868
0.0,7,0.06709
0.0,7,0.0673
0.0,6,0.067495
0.0,10,0.067765
0.0,3,0.067892
0.0,8,0.068142
0.0,4,0.068295
0.0,1,0.068377
0.0,1,0.068456
0.0,7,0.068671
0.0,4,0.068817
0.0,25,0.069446
0.0,10,0.069727
0.0,9,0.069992
0.0,5,0.070161
0.0,12,0.070479
0.0,8,0.070713
0.0,3,0.070837
0.0,2,0.070938
0.0,5,0.07111
0.0,4,0.07126
0.0,15,0.071641
0.0,5,0.071805
0.0,3,0.071935
0.0,1,0.072033
0.0,2,0.072155
0.0,18,0.072613
0.0,3,0.072744
0.0,1,0.072822
0.0,20,0.073323
0.0,9,0.073587
0.0,1,0.073669
0.0,6,0.073894
0.0,6,0.07409
0.0,7,0.074298
0.0,2,0.074399
0.0,4,0.07455
0.0,14,0.074902
0.0,5,0.075106
0.0,6,0.075308
0.0,5,0.075473
0.0,2,0.075578
0.0,2,0.07568
0.0,5,0.075844
0.0,7,0.07607
0.0,10,0.076346
0.0,1,0.076427
0.0,2,0.076533
0.0,11,0.076831
0.0,15,0.077217
0.0,16,0.077609
0.0,1,0.077685
0.0,8,0.077947
0.0,6,0.078189
0.0,9,0.078438
0.0,7,0.078642
0.0,1,0.078719
0.0,3,0.078841
0.0,2,0.078946
0.0,2,0.079056
0.0,17,0.079488
0.0,1,0.079566
0.0,1,0.079643
0.0,1,0.079719
0.0,9,0.079975
0.0,4,0.080126
0.0,28,0.080797
0.0,10,0.081104
0.0,12,0.081425
0.0,5,0.081589
0.0,11,0.081886
0.0,7,0.082112
0.0,4,0.082262
0.0,11,0.082562
0.0,1,0.08264
0.0,10,0.082917
0.0,2,0.083032
0.0,10,0.083324
0.0,12,0.083646
0.0,4,0.08379
0.0,22,0.084356
0.0,5,0.084538
0.0,10,0.084807
0.0,18,0.085274
0.0,2,0.085377
0.0,12,0.085697
0.0,1,0.085783
0.0,18,0.086245
0.0,1,0.086324
0.0,15,0.086706
0.0,1,0.086784
0.0,10,0.087097
0.0,4,0.087244
0.0,8,0.08747
0.0,16,0.087876
0.0,6,0.088075
