#{"t_start": 1522158050.4842455, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,14,0.029359
0.0,10,0.02998
0.0,12,0.030658
0.0,4,0.030992
0.0,8,0.031484
0.0,10,0.032091
0.0,21,0.033186
0.0,58,0.036015
0.0,3,0.036279
0.0,14,0.037036
0.0,27,0.038394
0.0,58,0.041155
0.0,12,0.041857
0.0,9,0.042411
0.0,6,0.042821
0.0,20,0.043875
0.0,18,0.044784
0.0,29,0.046139
0.0,4,0.046432
0.0,25,0.047626
0.0,43,0.049607
0.0,26,0.050862
0.0,17,0.051686
0.0,5,0.052036
0.0,19,0.052985
0.0,40,0.054788
0.0,5,0.0551
0.0,19,0.055997
0.0,9,0.056463
0.0,11,0.057036
0.0,25,0.058162
0.0,17,0.058986
0.0,6,0.059343
0.0,20,0.060264
0.0,3,0.060502
0.0,33,0.061948
1.0,20,0.0629
0.0,22,0.063922
0.0,13,0.064525
0.0,18,0.065345
0.0,10,0.065854
0.0,6,0.066203
0.0,22,0.067186
0.0,4,0.067441
0.0,4,0.067693
0.0,5,0.067997
0.0,3,0.068213
0.0,6,0.068549
0.0,49,0.070562
0.0,8,0.071008
0.0,9,0.071469
0.0,5,0.071771
0.0,8,0.072181
0.0,10,0.072658
0.0,7,0.073052
0.0,20,0.07394
0.0,4,0.074207
0.0,9,0.074647
0.0,16,0.07534
0.0,16,0.076055
0.0,3,0.076262
0.0,5,0.076536
0.0,9,0.07699
0.0,9,0.077423
0.0,18,0.0782
0.0,12,0.078748
0.0,1,0.078889
0.0,11,0.079409
0.0,7,0.079787
0.0,17,0.080496
0.0,2,0.080666
0.0,5,0.080966
0.0,6,0.081292
0.0,8,0.081699
0.0,5,0.081999
0.0,3,0.082207
0.0,11,0.082709
0.0,10,0.083186
0.0,12,0.083748
0.0,12,0.08429
0.0,14,0.084888
0.0,13,0.085444
1.0,22,0.086308
0.0,19,0.087099
0.0,4,0.08733
0.0,32,0.088536
0.0,10,0.089007
0.0,15,0.089616
0.0,5,0.0899
0.0,8,0.090274
0.0,2,0.090429
0.0,25,0.091414
0.0,9,0.091842
1.0,14,0.092431
0.0,26,0.093433
0.0,22,0.094325
0.0,7,0.094654
0.0,5,0.09493
0.0,12,0.095422
0.0,10,0.095867
0.0,10,0.096301
0.0,20,0.097082
0.0,4,0.097313
0.0,7,0.097648
0.0,18,0.098365
0.0,1,0.09849
0.0,4,0.098713
0.0,16,0.099341
0.0,22,0.100183
0.0,35,0.10144
0.0,11,0.101921
0.0,24,0.102822
0.0,59,0.10485
0.0,30,0.105919
0.0,17,0.10655
0.0,13,0.107079
0.0,14,0.107624
0.0,28,0.108616
0.0,4,0.108863
0.0,17,0.109507
0.0,18,0.110184
0.0,14,0.110734
0.0,33,0.111918
0.0,6,0.112195
0.0,6,0.11247
0.0,17,0.113112
0.0,1,0.113225
1.0,22,0.114037
0.0,32,0.115121
0.0,4,0.115327
0.0,7,0.11562
0.0,2,0.11577
0.0,23,0.116582
0.0,6,0.11686
0.0,4,0.117066
0.0,3,0.117238
0.0,12,0.117702
0.0,8,0.118051
0.0,25,0.118905
0.0,4,0.119109
0.0,4,0.119311
0.0,7,0.119603
0.0,12,0.120062
0.0,4,0.120273
0.0,8,0.120606
0.0,15,0.12117
0.0,8,0.121511
0.0,50,0.123155
0.0,10,0.123559
0.0,31,0.124508
0.0,27,0.125268
0.0,4,0.125435
0.0,26,0.126157
0.0,2,0.126278
0.0,12,0.12664
0.0,7,0.126891
0.0,10,0.127202
0.0,67,0.128934
0.0,3,0.129143
0.0,20,0.12972
0.0,5,0.129924
0.0,6,0.130141
0.0,2,0.13026
0.0,14,0.130669
1.0,58,0.13218
0.0,8,0.13245
0.0,26,0.133171
0.0,14,0.133597
0.0,4,0.13377
0.0,21,0.134372
0.0,10,0.13469
0.0,3,0.13484
0.0,10,0.135161
0.0,16,0.135622
0.0,5,0.135828
0.0,18,0.136342
0.0,11,0.136689
0.0,7,0.136937
0.0,2,0.137052
0.0,10,0.137367
0.0,11,0.137703
0.0,27,0.138443
0.0,9,0.138738
0.0,1,0.138833
0.0,37,0.139824
1.0,15,0.14026
0.0,22,0.140874
0.0,7,0.141114
0.0,7,0.141362
0.0,8,0.141634
0.0,21,0.142223
0.0,25,0.142915
0.0,7,0.143168
0.0,11,0.143507
0.0,4,0.143672
0.0,6,0.143897
0.0,28,0.144664
0.0,14,0.145091
0.0,15,0.145528
0.0,4,0.14569
0.0,13,0.146091
0.0,14,0.146496
0.0,20,0.147078
0.0,2,0.147193
0.0,8,0.147452
0.0,7,0.147695
0.0,15,0.148142
0.0,9,0.148428
0.0,17,0.148924
0.0,7,0.149171
0.0,6,0.149383
0.0,1,0.149473
0.0,5,0.149664
0.0,7,0.149923
0.0,14,0.15034
0.0,15,0.150791
0.0,10,0.151114
0.0,6,0.151326
0.0,13,0.151725
0.0,9,0.152026
0.0,9,0.152321
0.0,6,0.152541
1.0,8,0.152815
0.0,3,0.152954
0.0,9,0.153241
0.0,5,0.153429
0.0,6,0.153648
0.0,11,0.154021
0.0,30,0.154849
0.0,8,0.155112
0.0,15,0.15555
0.0,1,0.155641
0.0,11,0.156024
0.0,31,0.156861
0.0,4,0.157034
0.0,3,0.157181
0.0,1,0.157267
0.0,19,0.157819
0.0,3,0.157965
0.0,25,0.158642
0.0,21,0.159245
0.0,15,0.159684
0.0,17,0.160198
0.0,22,0.160815
0.0,16,0.161277
0.0,13,0.161669
0.0,14,0.16213
0.0,12,0.162508
0.0,4,0.162672
0.0,1,0.162771
0.0,2,0.162895
0.0,6,0.163117
0.0,5,0.163309
0.0,18,0.163835
0.0,9,0.164133
1.0,22,0.164736
0.0,12,0.165113
0.0,2,0.16523
0.0,18,0.165739
0.0,16,0.166219
0.0,24,0.166893
0.0,17,0.167382
0.0,11,0.167729
0.0,9,0.168038
0.0,3,0.168181
0.0,1,0.168272
0.0,5,0.168465
0.0,8,0.168733
0.0,11,0.169083
0.0,21,0.169662
1.0,30,0.170467
0.0,56,0.17194
0.0,5,0.172131
0.0,15,0.172567
0.0,10,0.172909
0.0,8,0.173173
0.0,32,0.17404
0.0,18,0.174556
0.0,4,0.17472
0.0,1,0.174815
0.0,29,0.175605
0.0,1,0.175697
0.0,9,0.176001
0.0,9,0.176287
0.0,11,0.176638
0.0,6,0.176867
0.0,29,0.177645
0.0,10,0.17798
0.0,6,0.178203
0.0,15,0.178642
0.0,1,0.178733
0.0,17,0.179237
0.0,11,0.179588
0.0,26,0.180309
0.0,10,0.18062
0.0,23,0.181266
0.0,8,0.181526
0.0,9,0.181821
0.0,7,0.182059
0.0,47,0.183273
0.0,17,0.183771
0.0,16,0.184232
0.0,9,0.184521
1.0,12,0.18489
0.0,9,0.185175
0.0,19,0.185715
0.0,1,0.185817
0.0,6,0.186033
0.0,25,0.186722
0.0,31,0.187546
0.0,13,0.187956
0.0,9,0.188256
0.0,12,0.188619
0.0,18,0.18914
0.0,25,0.18986
0.0,1,0.18995
0.0,3,0.1901
0.0,3,0.190239
0.0,4,0.190403
0.0,9,0.190704
0.0,19,0.191257
0.0,4,0.191423
0.0,7,0.19167
0.0,1,0.191757
0.0,5,0.191966
0.0,13,0.19237
0.0,10,0.192682
0.0,13,0.193086
0.0,11,0.193421
0.0,17,0.193929
0.0,15,0.194378
0.0,8,0.194647
0.0,13,0.195042
0.0,3,0.195183
0.0,2,0.195295
0.0,30,0.196126
0.0,3,0.196277
0.0,18,0.196806
0.0,11,0.197154
0.0,22,0.197778
0.0,32,0.198631
0.0,10,0.198963
0.0,5,0.199163
0.0,13,0.19956
0.0,1,0.199647
1.0,12,0.200033
0.0,9,0.200334
0.0,7,0.200578
0.0,40,0.201645
0.0,2,0.201776
0.0,44,0.20295
0.0,36,0.203931
0.0,12,0.2043
0.0,20,0.204888
0.0,4,0.205055
0.0,7,0.205292
1.0,9,0.205577
0.0,1,0.205668
0.0,11,0.206026
0.0,14,0.206452
0.0,9,0.206737
0.0,6,0.206959
1.0,16,0.207422
0.0,3,0.207561
0.0,16,0.208031
0.0,11,0.208369
0.0,10,0.208678
0.0,7,0.208936
0.0,1,0.20903
0.0,23,0.209664
0.0,3,0.209819
0.0,4,0.209985
0.0,17,0.210487
0.0,12,0.210867
1.0,16,0.211323
0.0,27,0.212075
0.0,3,0.212215
0.0,22,0.212854
0.0,16,0.213321
0.0,7,0.213569
0.0,1,0.213656
0.0,18,0.21418
0.0,7,0.214424
0.0,9,0.214707
0.0,9,0.215012
0.0,22,0.215636
0.0,5,0.215852
0.0,22,0.216452
0.0,19,0.216996
0.0,16,0.217452
0.0,32,0.218309
0.0,27,0.219053
0.0,13,0.219446
0.0,7,0.219688
0.0,30,0.220511
0.0,15,0.220972
0.0,59,0.222515
0.0,1,0.222606
0.0,10,0.22293
0.0,12,0.223296
0.0,3,0.223434
0.0,35,0.224352
0.0,33,0.225262
0.0,10,0.225573
0.0,11,0.225919
1.0,25,0.226616
0.0,15,0.227075
0.0,16,0.22754
0.0,19,0.228086
0.0,9,0.228378
0.0,5,0.228572
1.0,19,0.229113
0.0,17,0.229671
0.0,3,0.229828
0.0,6,0.230042
0.0,4,0.230217
0.0,12,0.230577
0.0,23,0.23123
0.0,44,0.232389
0.0,31,0.233237
0.0,5,0.233433
0.0,14,0.233864
0.0,3,0.234013
0.0,12,0.234382
1.0,21,0.234965
0.0,11,0.235311
0.0,16,0.23579
0.0,3,0.235931
0.0,17,0.236419
0.0,26,0.237139
0.0,24,0.237799
0.0,3,0.237945
0.0,17,0.238424
0.0,4,0.238597
0.0,44,0.239757
1.0,19,0.240302
0.0,7,0.240541
0.0,16,0.241011
0.0,1,0.241104
0.0,10,0.24142
0.0,5,0.241618
1.0,21,0.242218
0.0,1,0.242309
0.0,5,0.242506
0.0,1,0.242596
0.0,12,0.242969
0.0,12,0.243331
0.0,5,0.243516
0.0,7,0.243749
0.0,5,0.243957
0.0,29,0.244727
0.0,7,0.244976
0.0,5,0.245164
0.0,40,0.246234
0.0,1,0.246323
0.0,35,0.247257
0.0,16,0.247715
0.0,9,0.248008
0.0,10,0.248321
0.0,7,0.248561
0.0,9,0.248861
0.0,3,0.249007
0.0,4,0.249172
0.0,27,0.249925
0.0,11,0.250269
0.0,4,0.250437
0.0,32,0.251294
0.0,18,0.251813
0.0,3,0.251954
0.0,31,0.252792
0.0,14,0.2532
0.0,8,0.253464
0.0,30,0.254287
0.0,8,0.254558
0.0,38,0.25556
0.0,6,0.255785
1.0,14,0.256187
0.0,6,0.256396
0.0,10,0.256708
0.0,18,0.257235
0.0,12,0.257595
0.0,24,0.258258
0.0,6,0.258476
0.0,1,0.25856
0.0,4,0.258723
0.0,15,0.259172
0.0,11,0.25952
0.0,8,0.259804
0.0,5,0.260003
0.0,3,0.260145
0.0,15,0.260586
1.0,9,0.260897
0.0,10,0.261218
0.0,5,0.261417
0.0,21,0.262024
0.0,26,0.262728
0.0,5,0.26293
0.0,1,0.263018
0.0,38,0.264043
0.0,6,0.264264
0.0,10,0.264571
0.0,6,0.264791
0.0,20,0.265342
0.0,8,0.2656
0.0,5,0.265795
0.0,21,0.266378
0.0,1,0.266468
0.0,4,0.266632
0.0,12,0.267019
0.0,12,0.267378
0.0,11,0.267725
0.0,1,0.267819
0.0,3,0.267958
0.0,8,0.268224
0.0,17,0.268705
0.0,6,0.268932
0.0,21,0.269513
0.0,14,0.269928
0.0,22,0.270539
0.0,12,0.270908
0.0,14,0.271321
0.0,4,0.271484
1.0,27,0.272215
0.0,13,0.272596
0.0,13,0.272998
0.0,3,0.273139
0.0,6,0.27336
0.0,23,0.274012
0.0,13,0.274393
0.0,14,0.274821
0.0,4,0.274993
0.0,9,0.275278
0.0,14,0.275687
0.0,24,0.276371
1.0,8,0.276633
0.0,12,0.277019
0.0,15,0.277463
0.0,17,0.277978
0.0,8,0.278247
0.0,12,0.278615
0.0,12,0.278998
0.0,14,0.279419
0.0,1,0.279505
0.0,6,0.279727
0.0,6,0.27996
0.0,2,0.280086
0.0,34,0.281008
0.0,17,0.281514
0.0,3,0.281655
0.0,16,0.28213
0.0,25,0.282821
1.0,23,0.283459
0.0,7,0.283694
0.0,4,0.283869
0.0,7,0.284104
1.0,8,0.284363
0.0,12,0.284734
0.0,3,0.284889
1.0,10,0.285203
0.0,15,0.28563
0.0,17,0.286115
0.0,9,0.286406
0.0,7,0.286643
0.0,6,0.286864
0.0,8,0.28713
0.0,4,0.2873
0.0,14,0.287709
0.0,3,0.287861
0.0,10,0.288172
0.0,11,0.288512
0.0,11,0.288872
0.0,6,0.289093
0.0,7,0.28933
0.0,3,0.289474
0.0,24,0.290137
0.0,17,0.290626
0.0,7,0.290873
0.0,23,0.291497
0.0,1,0.291588
0.0,3,0.291728
0.0,16,0.2922
0.0,10,0.292509
0.0,4,0.292672
