#{"t_start": 1522157516.414367, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.058856
0.0,14,0.05993
0.0,58,0.063361
0.0,9,0.063821
0.0,3,0.064019
0.0,45,0.06605
0.0,8,0.066477
0.0,12,0.067066
0.0,13,0.067709
0.0,37,0.069392
0.0,16,0.07015
0.0,29,0.071485
0.0,10,0.071982
0.0,6,0.072333
0.0,46,0.0744
0.0,20,0.075343
0.0,11,0.075889
0.0,4,0.07613
0.0,7,0.076513
0.0,12,0.077101
0.0,3,0.077312
0.0,1,0.077423
0.0,8,0.077833
0.0,18,0.078691
0.0,8,0.079104
0.0,2,0.079272
0.0,9,0.079731
0.0,23,0.080806
0.0,9,0.081275
0.0,3,0.081477
0.0,10,0.081976
0.0,1,0.082085
0.0,9,0.082564
0.0,21,0.083549
0.0,31,0.084963
0.0,9,0.085436
0.0,16,0.0862
0.0,9,0.086662
0.0,5,0.086947
0.0,5,0.087244
0.0,1,0.087354
0.0,2,0.087509
0.0,12,0.088095
0.0,17,0.088906
0.0,5,0.089199
0.0,1,0.089313
0.0,16,0.090067
1.0,9,0.090536
0.0,9,0.090993
0.0,70,0.094115
0.0,8,0.094544
0.0,3,0.094743
0.0,100,0.099164
0.0,2,0.099332
0.0,3,0.09953
0.0,1,0.099639
0.0,18,0.100491
0.0,24,0.101603
0.0,48,0.103768
0.0,22,0.104803
0.0,20,0.105752
0.0,32,0.107217
0.0,4,0.107463
0.0,4,0.107706
0.0,12,0.108301
0.0,35,0.109882
0.0,29,0.111222
0.0,7,0.111594
0.0,13,0.112243
0.0,2,0.1124
0.0,4,0.112643
0.0,12,0.113239
0.0,11,0.11378
0.0,15,0.114511
1.0,15,0.115243
0.0,1,0.115353
0.0,16,0.116115
0.0,9,0.116584
0.0,19,0.117488
0.0,31,0.118907
0.0,2,0.119066
0.0,17,0.119878
0.0,31,0.121295
0.0,30,0.122671
0.0,9,0.123127
0.0,26,0.124331
0.0,13,0.124965
1.0,15,0.125692
0.0,7,0.126064
0.0,1,0.126177
0.0,15,0.126903
1.0,8,0.12733
0.0,3,0.127528
0.0,35,0.129107
1.0,22,0.130133
0.0,13,0.130778
0.0,3,0.130977
0.0,20,0.131916
0.0,1,0.13203
0.0,6,0.132377
0.0,3,0.132578
0.0,12,0.133163
1.0,24,0.134292
0.0,61,0.136998
0.0,12,0.137597
0.0,9,0.138056
0.0,23,0.139127
0.0,5,0.139428
0.0,45,0.141455
0.0,2,0.141611
0.0,32,0.143074
0.0,9,0.143545
0.0,10,0.144044
0.0,19,0.144941
0.0,14,0.145622
0.0,13,0.14627
1.0,24,0.147383
0.0,2,0.14754
0.0,1,0.147649
0.0,24,0.148756
1.0,18,0.149614
1.0,16,0.150381
0.0,6,0.150711
0.0,13,0.151349
0.0,12,0.151935
0.0,21,0.152935
0.0,1,0.153046
0.0,6,0.153389
0.0,58,0.155985
0.0,23,0.157058
0.0,1,0.15717
0.0,7,0.157553
0.0,53,0.159918
0.0,18,0.160844
0.0,1,0.160958
0.0,1,0.161067
1.0,13,0.161708
0.0,6,0.162035
0.0,16,0.162804
0.0,22,0.163829
0.0,32,0.165298
0.0,3,0.165496
0.0,3,0.165695
0.0,17,0.166507
0.0,5,0.166795
0.0,15,0.167517
0.0,19,0.168412
0.0,8,0.168828
0.0,5,0.16911
0.0,12,0.169708
0.0,3,0.169906
0.0,1,0.170017
0.0,30,0.171389
0.0,6,0.171718
0.0,24,0.172837
0.0,20,0.173781
0.0,7,0.174149
0.0,7,0.174526
0.0,3,0.174725
0.0,16,0.17549
0.0,13,0.176112
0.0,19,0.177003
0.0,7,0.177385
0.0,8,0.177797
0.0,18,0.178648
0.0,25,0.179803
0.0,10,0.180309
0.0,11,0.180852
0.0,13,0.181492
0.0,27,0.182737
0.0,34,0.184277
0.0,11,0.184821
0.0,12,0.185418
0.0,6,0.185751
0.0,12,0.186345
0.0,2,0.186501
0.0,13,0.187125
0.0,9,0.187595
1.0,17,0.188404
0.0,1,0.188516
0.0,14,0.189185
1.0,10,0.189697
0.0,7,0.190065
0.0,4,0.19032
0.0,7,0.190695
0.0,1,0.190804
0.0,65,0.193688
0.0,1,0.1938
0.0,31,0.195211
0.0,16,0.195964
0.0,6,0.196301
0.0,8,0.196715
1.0,38,0.198431
0.0,25,0.199584
0.0,8,0.2
0.0,10,0.200507
0.0,25,0.201658
0.0,15,0.202387
0.0,9,0.20284
0.0,20,0.203777
0.0,3,0.203975
0.0,3,0.204171
1.0,6,0.204509
0.0,6,0.204836
0.0,1,0.204945
0.0,21,0.205922
