#{"t_start": 1522150795.2857037, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,10,0.011369
0.0,7,0.011618
0.0,6,0.01183
0.0,6,0.012107
0.0,5,0.012316
0.0,5,0.012501
0.0,15,0.012943
0.0,9,0.013237
0.0,3,0.013381
0.0,8,0.013645
0.0,19,0.014179
0.0,24,0.014806
0.0,26,0.015507
0.0,7,0.015743
0.0,15,0.016163
0.0,4,0.016329
0.0,16,0.016788
0.0,7,0.017037
0.0,17,0.01749
0.0,8,0.017743
0.0,4,0.017914
0.0,7,0.018152
0.0,7,0.018387
0.0,8,0.018634
0.0,1,0.018717
0.0,1,0.018801
0.0,1,0.018899
0.0,17,0.019357
0.0,11,0.01968
0.0,14,0.020084
0.0,35,0.020977
0.0,7,0.021221
0.0,1,0.021313
0.0,6,0.021529
0.0,7,0.021765
0.0,17,0.022281
0.0,7,0.022511
0.0,7,0.022752
0.0,52,0.024082
0.0,36,0.024945
0.0,19,0.025426
0.0,15,0.025816
0.0,8,0.026103
0.0,2,0.026212
0.0,16,0.026643
0.0,11,0.026982
0.0,9,0.027266
0.0,15,0.027665
0.0,2,0.027771
0.0,13,0.028171
0.0,5,0.028347
0.0,35,0.029209
0.0,16,0.02963
0.0,37,0.030545
0.0,5,0.030725
0.0,1,0.030807
0.0,27,0.031495
0.0,11,0.031817
0.0,3,0.031963
0.0,11,0.032285
0.0,12,0.032606
0.0,9,0.032881
0.0,38,0.033772
0.0,33,0.034563
0.0,14,0.034959
0.0,4,0.035121
0.0,1,0.035207
0.0,13,0.035565
0.0,6,0.03576
0.0,1,0.035845
0.0,2,0.035964
0.0,5,0.036145
0.0,13,0.036487
0.0,8,0.036736
0.0,8,0.036986
0.0,29,0.037684
0.0,4,0.037847
0.0,1,0.03794
0.0,1,0.038027
0.0,13,0.03838
0.0,16,0.038795
0.0,23,0.039404
0.0,23,0.040006
0.0,41,0.040987
0.0,4,0.041142
0.0,16,0.041559
0.0,5,0.041744
0.0,12,0.042097
0.0,10,0.042426
0.0,5,0.042603
0.0,2,0.042718
0.0,8,0.042997
0.0,13,0.043339
0.0,9,0.043604
1.0,8,0.043841
0.0,9,0.044109
0.0,7,0.04433
0.0,34,0.045146
0.0,6,0.045347
0.0,15,0.04575
0.0,34,0.046603
0.0,4,0.046758
0.0,16,0.047197
0.0,2,0.047307
0.0,8,0.047554
0.0,3,0.047682
0.0,5,0.047862
0.0,6,0.048088
0.0,14,0.048472
0.0,10,0.048763
0.0,5,0.04896
0.0,13,0.049318
0.0,4,0.049474
0.0,17,0.049913
0.0,7,0.05014
0.0,11,0.05044
0.0,10,0.050754
0.0,15,0.051198
0.0,11,0.05151
0.0,2,0.051616
0.0,6,0.051815
0.0,2,0.051932
0.0,7,0.052147
0.0,2,0.052258
0.0,30,0.052971
0.0,22,0.053518
0.0,26,0.054164
0.0,20,0.054661
0.0,8,0.054915
0.0,3,0.055051
0.0,11,0.055377
0.0,16,0.055796
0.0,2,0.055912
0.0,4,0.056064
0.0,33,0.056854
0.0,17,0.057311
0.0,8,0.057558
0.0,2,0.057669
1.0,20,0.058187
0.0,11,0.058503
1.0,24,0.059108
0.0,12,0.059436
0.0,3,0.059572
0.0,47,0.060661
0.0,24,0.061258
1.0,36,0.06211
0.0,4,0.062262
0.0,16,0.062682
0.0,24,0.063282
0.0,14,0.063671
1.0,8,0.06392
0.0,9,0.064183
0.0,47,0.065248
0.0,8,0.065497
0.0,8,0.065743
0.0,2,0.065849
1.0,16,0.066279
0.0,19,0.06677
0.0,13,0.067139
0.0,5,0.067325
0.0,6,0.067525
0.0,15,0.067934
0.0,14,0.068313
0.0,4,0.068466
0.0,15,0.068868
0.0,13,0.069223
0.0,17,0.069667
0.0,45,0.070729
0.0,6,0.070942
0.0,12,0.07128
0.0,4,0.071443
0.0,13,0.071792
0.0,1,0.071878
0.0,9,0.072187
0.0,14,0.072563
0.0,4,0.072713
0.0,4,0.072861
0.0,20,0.073393
0.0,3,0.07353
0.0,10,0.073811
1.0,8,0.074059
0.0,3,0.074193
0.0,11,0.07451
0.0,17,0.074948
0.0,20,0.075441
0.0,6,0.075639
0.0,17,0.0761
0.0,8,0.076352
0.0,11,0.076663
0.0,1,0.076748
0.0,5,0.076934
0.0,3,0.077074
0.0,9,0.077337
0.0,12,0.077657
0.0,4,0.077807
