#{"t_start": 1522149945.3540316, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,14,0.033284
0.0,47,0.036554
0.0,13,0.037534
0.0,21,0.038888
0.0,100,0.043373
0.0,6,0.043712
0.0,2,0.04387
0.0,16,0.044647
0.0,33,0.046169
0.0,6,0.046512
0.0,12,0.047107
0.0,11,0.047669
0.0,5,0.047958
0.0,3,0.048162
0.0,5,0.048467
0.0,1,0.048578
0.0,29,0.049927
0.0,1,0.050042
0.0,25,0.051213
0.0,4,0.051471
0.0,1,0.051585
0.0,4,0.051827
0.0,6,0.052163
0.0,10,0.052685
0.0,1,0.052799
0.0,53,0.055212
0.0,15,0.055955
0.0,54,0.058418
0.0,39,0.060206
0.0,18,0.061072
0.0,35,0.06269
0.0,25,0.063861
0.0,57,0.066447
0.0,30,0.067841
0.0,8,0.068262
0.0,14,0.068962
0.0,42,0.070882
0.0,100,0.075349
0.0,6,0.075728
0.0,8,0.076161
0.0,2,0.076317
0.0,2,0.07648
0.0,11,0.077033
0.0,6,0.077379
0.0,30,0.078782
0.0,2,0.078943
0.0,13,0.079597
0.0,11,0.080153
0.0,18,0.08102
0.0,2,0.081181
0.0,12,0.081787
0.0,14,0.082482
0.0,49,0.084719
0.0,14,0.085415
0.0,59,0.088088
0.0,78,0.091651
0.0,6,0.091989
0.0,38,0.093742
0.0,100,0.098207
0.0,19,0.099129
0.0,17,0.099952
0.0,23,0.101039
0.0,7,0.101429
0.0,6,0.101764
0.0,25,0.102934
0.0,4,0.103179
0.0,3,0.103389
0.0,8,0.103814
0.0,1,0.103925
0.0,6,0.104255
0.0,4,0.104512
1.0,7,0.104893
0.0,2,0.10505
0.0,3,0.105255
0.0,8,0.105689
0.0,19,0.106604
0.0,29,0.107952
0.0,13,0.108612
0.0,14,0.109289
0.0,26,0.110512
0.0,1,0.110624
0.0,19,0.111533
0.0,28,0.11283
0.0,18,0.113702
0.0,2,0.113862
0.0,3,0.114062
0.0,32,0.115546
0.0,15,0.116275
0.0,81,0.119921
0.0,8,0.120347
0.0,8,0.120776
0.0,15,0.121517
0.0,53,0.123916
0.0,100,0.128387
0.0,12,0.128983
0.0,5,0.129269
0.0,1,0.129388
0.0,9,0.129857
0.0,5,0.130144
0.0,32,0.13163
0.0,18,0.132497
0.0,22,0.133603
0.0,2,0.133759
0.0,4,0.134001
0.0,13,0.134648
0.0,87,0.138554
0.0,13,0.139191
0.0,4,0.139452
0.0,47,0.141584
0.0,38,0.143319
0.0,34,0.144884
0.0,19,0.14579
0.0,22,0.146828
1.0,70,0.149984
1.0,15,0.15072
0.0,5,0.151006
0.0,4,0.15125
0.0,9,0.151724
0.0,16,0.152505
0.0,19,0.153411
0.0,38,0.155146
0.0,4,0.155405
1.0,19,0.156309
0.0,32,0.157794
0.0,3,0.157995
0.0,5,0.15828
0.0,9,0.158757
0.0,4,0.159002
0.0,7,0.159386
0.0,13,0.16002
1.0,10,0.160542
0.0,5,0.160831
0.0,29,0.162176
0.0,10,0.162697
0.0,6,0.163031
0.0,6,0.163374
1.0,14,0.164055
1.0,26,0.165274
0.0,1,0.165396
0.0,10,0.165903
0.0,10,0.166418
0.0,18,0.167273
1.0,15,0.16801
0.0,3,0.168211
0.0,2,0.168382
0.0,6,0.168718
0.0,13,0.169366
0.0,9,0.169833
0.0,23,0.170918
0.0,14,0.171613
0.0,29,0.172954
0.0,3,0.173155
0.0,41,0.175035
0.0,6,0.175377
0.0,1,0.175488
0.0,6,0.175821
0.0,24,0.176947
0.0,15,0.177681
0.0,85,0.181497
0.0,10,0.182008
0.0,1,0.182121
0.0,4,0.182375
0.0,2,0.182531
0.0,9,0.182995
0.0,6,0.18333
0.0,19,0.184235
0.0,1,0.184345
1.0,14,0.185037
0.0,1,0.185148
0.0,1,0.185261
0.0,31,0.186707
0.0,14,0.187407
0.0,18,0.18826
0.0,18,0.18913
0.0,4,0.189387
0.0,25,0.190562
0.0,27,0.191818
0.0,4,0.192067
0.0,4,0.192313
0.0,38,0.19406
0.0,20,0.195015
0.0,6,0.195346
0.0,3,0.195555
0.0,11,0.196106
0.0,8,0.196536
1.0,51,0.198857
0.0,9,0.199323
0.0,35,0.200928
0.0,11,0.201489
0.0,18,0.202348
0.0,11,0.202908
0.0,14,0.203599
0.0,34,0.205155
1.0,12,0.205764
0.0,3,0.205963
0.0,4,0.206206
0.0,21,0.207198
0.0,4,0.207453
0.0,4,0.207701
1.0,12,0.208295
0.0,10,0.208815
0.0,21,0.209821
0.0,7,0.2102
0.0,1,0.21031
0.0,7,0.210692
0.0,11,0.211242
0.0,33,0.212772
0.0,12,0.213375
0.0,10,0.213879
0.0,12,0.214481
0.0,24,0.215611
0.0,3,0.215814
0.0,26,0.217028
0.0,16,0.217815
0.0,23,0.218903
0.0,16,0.219687
0.0,9,0.220152
0.0,34,0.221723
0.0,41,0.223596
0.0,20,0.22455
0.0,10,0.225057
0.0,7,0.225444
0.0,16,0.226213
0.0,12,0.226818
0.0,16,0.227596
0.0,20,0.22855
0.0,17,0.229369
0.0,14,0.230049
0.0,5,0.230336
0.0,10,0.230851
0.0,83,0.23456
0.0,43,0.236588
1.0,16,0.237366
0.0,5,0.237658
0.0,17,0.238491
1.0,11,0.239043
0.0,8,0.239477
0.0,12,0.240071
0.0,18,0.24094
0.0,5,0.241228
0.0,5,0.241525
0.0,4,0.241769
0.0,10,0.242274
0.0,20,0.243227
0.0,3,0.243455
1.0,20,0.244407
0.0,16,0.245178
0.0,8,0.24561
0.0,9,0.246074
0.0,1,0.246183
0.0,4,0.246438
0.0,34,0.247999
0.0,4,0.248244
0.0,1,0.248352
0.0,29,0.249718
0.0,4,0.249963
0.0,7,0.250338
0.0,2,0.250507
0.0,8,0.250927
0.0,8,0.251346
0.0,4,0.251601
0.0,35,0.253205
0.0,23,0.25429
0.0,2,0.254459
0.0,17,0.255271
0.0,14,0.255959
0.0,8,0.256389
0.0,19,0.257286
0.0,1,0.257409
0.0,3,0.257609
0.0,7,0.257988
0.0,8,0.258423
0.0,4,0.258667
0.0,10,0.259175
0.0,14,0.259863
0.0,4,0.260109
0.0,34,0.261672
0.0,9,0.262135
0.0,6,0.262482
0.0,10,0.262987
1.0,13,0.263632
0.0,8,0.264051
0.0,16,0.264827
0.0,17,0.265656
0.0,37,0.267346
0.0,5,0.267644
0.0,3,0.267843
0.0,3,0.268041
0.0,37,0.269748
0.0,2,0.269906
0.0,3,0.270104
0.0,22,0.271152
0.0,26,0.272383
0.0,5,0.272674
0.0,1,0.272784
0.0,12,0.273385
0.0,9,0.273848
0.0,30,0.275242
0.0,5,0.275543
0.0,1,0.275656
0.0,24,0.276781
0.0,43,0.278756
0.0,10,0.279267
0.0,15,0.279999
0.0,6,0.280331
0.0,4,0.280586
0.0,2,0.280743
0.0,1,0.280856
0.0,1,0.280965
0.0,3,0.281163
0.0,4,0.281419
0.0,8,0.28184
0.0,4,0.282082
0.0,13,0.282733
0.0,1,0.282845
0.0,11,0.28341
0.0,13,0.284045
0.0,3,0.284249
0.0,8,0.284684
0.0,6,0.285019
0.0,4,0.285262
0.0,11,0.285826
0.0,100,0.290303
0.0,3,0.290519
0.0,23,0.291607
0.0,4,0.291854
0.0,1,0.291966
0.0,5,0.292255
0.0,6,0.292596
0.0,10,0.293104
0.0,18,0.29397
0.0,7,0.294346
0.0,38,0.296083
0.0,22,0.297125
0.0,41,0.299011
0.0,8,0.299442
0.0,4,0.29969
0.0,4,0.299937
0.0,11,0.300496
0.0,4,0.30074
0.0,7,0.301113
0.0,2,0.301268
0.0,28,0.302578
0.0,76,0.305996
0.0,6,0.306329
1.0,13,0.306974
0.0,27,0.308237
0.0,7,0.308634
0.0,22,0.309678
0.0,9,0.310141
0.0,26,0.311355
0.0,6,0.311701
0.0,3,0.311903
0.0,22,0.312949
0.0,2,0.313107
0.0,1,0.313219
0.0,19,0.314129
0.0,26,0.315346
0.0,15,0.31608
0.0,3,0.31628
1.0,9,0.316752
0.0,30,0.318138
0.0,9,0.318627
0.0,1,0.318739
0.0,7,0.319116
0.0,6,0.319458
1.0,25,0.320634
0.0,10,0.321137
0.0,8,0.321567
0.0,6,0.321901
0.0,5,0.322188
1.0,33,0.323721
1.0,21,0.324721
0.0,10,0.32523
1.0,20,0.326177
0.0,13,0.326825
0.0,13,0.327476
0.0,50,0.329757
0.0,2,0.329915
0.0,1,0.330028
0.0,20,0.330984
0.0,14,0.331678
0.0,18,0.332541
0.0,7,0.332921
0.0,8,0.333342
0.0,12,0.333944
0.0,7,0.334323
0.0,1,0.334444
0.0,8,0.33486
0.0,13,0.335569
0.0,9,0.336033
0.0,11,0.336592
0.0,3,0.336792
0.0,10,0.337295
1.0,14,0.337985
0.0,3,0.338183
0.0,7,0.338577
0.0,3,0.338777
0.0,14,0.33947
1.0,18,0.340322
0.0,2,0.340487
0.0,16,0.341255
0.0,19,0.342161
0.0,2,0.342319
1.0,8,0.342745
0.0,25,0.343912
0.0,20,0.344869
0.0,11,0.345434
0.0,12,0.346029
0.0,19,0.346937
0.0,26,0.348152
0.0,6,0.3485
0.0,54,0.350934
0.0,14,0.35163
0.0,18,0.352498
0.0,8,0.352917
1.0,11,0.353474
0.0,24,0.354603
0.0,19,0.355519
1.0,10,0.356024
0.0,5,0.356308
0.0,5,0.356604
0.0,28,0.357906
0.0,19,0.358825
0.0,1,0.358936
0.0,35,0.360555
0.0,5,0.360846
0.0,14,0.361536
0.0,4,0.36178
0.0,1,0.361889
0.0,5,0.362174
0.0,20,0.363123
1.0,12,0.363727
0.0,4,0.36397
0.0,22,0.365013
0.0,11,0.365573
0.0,18,0.366438
0.0,10,0.366941
1.0,13,0.367588
0.0,15,0.368307
0.0,7,0.368695
0.0,9,0.369161
0.0,59,0.371832
0.0,12,0.372434
0.0,19,0.373339
0.0,2,0.373505
0.0,1,0.373613
0.0,25,0.374786
0.0,1,0.374897
0.0,10,0.375417
0.0,4,0.375663
0.0,3,0.375864
0.0,13,0.376508
0.0,35,0.378115
0.0,5,0.378419
1.0,19,0.37932
0.0,6,0.379661
0.0,18,0.380528
0.0,12,0.381123
0.0,27,0.382385
0.0,1,0.382496
0.0,30,0.383888
0.0,1,0.384
0.0,2,0.384161
0.0,3,0.384368
0.0,12,0.384964
0.0,29,0.386312
0.0,3,0.386522
0.0,9,0.386985
0.0,13,0.387629
0.0,6,0.387959
0.0,26,0.389173
0.0,6,0.389515
0.0,32,0.390992
0.0,14,0.391686
0.0,7,0.392065
0.0,39,0.393857
0.0,5,0.394147
0.0,1,0.394257
0.0,3,0.39447
0.0,11,0.395024
0.0,6,0.395356
0.0,2,0.395524
0.0,17,0.396335
0.0,9,0.39681
0.0,14,0.397502
0.0,4,0.39775
0.0,4,0.397993
1.0,31,0.399442
1.0,23,0.400529
0.0,29,0.401862
0.0,22,0.402911
0.0,10,0.403432
0.0,8,0.403856
0.0,13,0.404524
0.0,4,0.404769
0.0,5,0.405058
0.0,3,0.405257
0.0,6,0.405604
0.0,14,0.40629
0.0,26,0.407514
0.0,6,0.40785
0.0,21,0.408851
0.0,8,0.40927
0.0,18,0.41014
0.0,1,0.410252
0.0,16,0.411026
0.0,1,0.41114
0.0,12,0.411744
0.0,5,0.412036
0.0,34,0.413599
0.0,20,0.414556
0.0,19,0.415468
0.0,19,0.416376
0.0,1,0.41649
0.0,5,0.416781
0.0,11,0.417333
0.0,26,0.418561
0.0,10,0.419068
0.0,9,0.419544
0.0,16,0.420317
0.0,7,0.420706
0.0,22,0.421753
1.0,8,0.422175
0.0,5,0.422475
0.0,11,0.423022
0.0,16,0.4238
1.0,9,0.424264
1.0,13,0.424913
0.0,5,0.425204
1.0,9,0.425676
0.0,23,0.426759
0.0,13,0.427409
0.0,12,0.428002
0.0,12,0.428612
0.0,9,0.429076
0.0,8,0.429503
0.0,17,0.430311
0.0,5,0.430611
0.0,5,0.430898
0.0,8,0.431317
0.0,12,0.431922
0.0,3,0.432123
0.0,23,0.433204
0.0,9,0.433677
0.0,27,0.434936
0.0,11,0.435561
0.0,7,0.43594
0.0,34,0.437524
0.0,30,0.438931
0.0,7,0.439308
0.0,16,0.44009
0.0,15,0.440836
0.0,34,0.44242
0.0,27,0.443688
0.0,57,0.446266
0.0,34,0.447851
0.0,6,0.448186
0.0,7,0.448582
0.0,7,0.448961
0.0,3,0.449162
0.0,4,0.449416
0.0,13,0.450053
0.0,25,0.451232
0.0,11,0.451798
0.0,26,0.45302
0.0,8,0.453455
0.0,15,0.454183
0.0,24,0.455312
0.0,34,0.456892
0.0,10,0.457413
0.0,16,0.458187
0.0,47,0.460339
0.0,31,0.461792
0.0,15,0.462534
0.0,7,0.462913
0.0,36,0.464579
0.0,1,0.464693
0.0,24,0.465833
0.0,11,0.466399
0.0,11,0.466955
0.0,15,0.467694
1.0,7,0.468069
0.0,8,0.468504
0.0,1,0.468617
0.0,17,0.469439
0.0,1,0.46955
0.0,10,0.470056
0.0,4,0.470303
0.0,2,0.470469
0.0,30,0.471856
0.0,7,0.472237
0.0,4,0.472491
0.0,25,0.473662
0.0,25,0.47484
0.0,11,0.475403
0.0,11,0.475954
0.0,40,0.477797
0.0,8,0.478219
0.0,11,0.478787
0.0,1,0.4789
0.0,11,0.479458
0.0,3,0.479661
0.0,7,0.480037
0.0,7,0.480425
0.0,11,0.480982
0.0,5,0.48127
0.0,12,0.481875
0.0,8,0.482296
0.0,1,0.482419
0.0,13,0.483052
0.0,18,0.483918
0.0,14,0.48461
0.0,16,0.485394
0.0,5,0.485687
0.0,41,0.487574
0.0,11,0.488125
0.0,13,0.488781
0.0,19,0.489699
0.0,10,0.49021
0.0,19,0.491124
0.0,2,0.491283
0.0,9,0.49176
0.0,2,0.491916
0.0,28,0.493224
0.0,25,0.494402
0.0,22,0.495444
0.0,17,0.496251
0.0,1,0.496371
0.0,1,0.496482
0.0,8,0.496903
0.0,5,0.49719
0.0,28,0.498513
0.0,6,0.498849
0.0,2,0.499004
0.0,15,0.499735
0.0,23,0.500819
0.0,3,0.501023
0.0,20,0.501977
1.0,8,0.502412
0.0,26,0.503628
0.0,7,0.504004
0.0,4,0.504249
0.0,1,0.504367
0.0,3,0.504569
0.0,1,0.504678
0.0,5,0.504964
0.0,3,0.505163
0.0,2,0.505318
0.0,3,0.505526
0.0,10,0.506033
0.0,21,0.507032
0.0,9,0.50751
0.0,16,0.50828
0.0,17,0.509109
0.0,6,0.509453
0.0,8,0.509874
0.0,8,0.510294
0.0,11,0.510854
0.0,12,0.511466
0.0,9,0.511932
0.0,1,0.512045
0.0,4,0.512292
0.0,11,0.512851
0.0,21,0.513855
0.0,3,0.514057
0.0,4,0.5143
0.0,14,0.514992
0.0,6,0.515325
0.0,11,0.515883
0.0,2,0.51604
0.0,18,0.516908
0.0,48,0.519093
0.0,6,0.51944
0.0,1,0.519554
0.0,41,0.521442
0.0,13,0.522078
0.0,30,0.523484
0.0,28,0.524793
0.0,19,0.525705
0.0,26,0.526926
0.0,3,0.527128
0.0,7,0.527518
1.0,13,0.528161
1.0,18,0.529032
0.0,4,0.529276
0.0,8,0.529707
0.0,13,0.53035
0.0,26,0.531583
0.0,1,0.531696
0.0,4,0.53194
0.0,8,0.532367
