#{"t_start": 1522158115.1628075, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,10,0.070919
0.0,1,0.071059
0.0,3,0.071259
0.0,3,0.071472
0.0,9,0.071934
0.0,3,0.072134
0.0,9,0.072601
0.0,11,0.07318
0.0,12,0.073783
0.0,9,0.074249
0.0,1,0.07436
0.0,4,0.074613
0.0,21,0.075603
0.0,8,0.076021
0.0,8,0.076443
0.0,19,0.077338
0.0,6,0.077678
0.0,4,0.07792
0.0,1,0.078028
0.0,3,0.078228
0.0,2,0.078381
0.0,4,0.078633
0.0,1,0.078745
0.0,16,0.079516
0.0,7,0.07989
0.0,4,0.080132
0.0,26,0.081344
0.0,21,0.082346
0.0,1,0.082467
0.0,24,0.083588
0.0,12,0.08418
0.0,3,0.084379
0.0,48,0.08658
0.0,17,0.087396
0.0,1,0.087515
0.0,3,0.087713
0.0,5,0.088001
0.0,4,0.088242
0.0,8,0.088674
0.0,26,0.089878
0.0,10,0.090385
0.0,12,0.090986
0.0,5,0.091272
0.0,6,0.091615
0.0,14,0.092291
0.0,4,0.092542
0.0,10,0.093047
0.0,4,0.093292
0.0,7,0.093677
0.0,2,0.093832
0.0,3,0.094033
0.0,5,0.09432
0.0,8,0.094744
0.0,18,0.095611
0.0,6,0.095943
0.0,8,0.096361
0.0,9,0.096833
1.0,20,0.097783
0.0,5,0.098068
0.0,4,0.098312
0.0,28,0.099614
0.0,10,0.100124
0.0,1,0.100234
1.0,8,0.100662
0.0,4,0.100904
0.0,13,0.101553
0.0,9,0.102013
0.0,17,0.102828
0.0,10,0.103335
0.0,2,0.103498
0.0,8,0.103914
0.0,18,0.104778
0.0,10,0.105281
0.0,16,0.106062
0.0,3,0.106261
0.0,8,0.106692
0.0,17,0.107511
0.0,10,0.108015
0.0,6,0.108344
0.0,3,0.10855
0.0,9,0.109012
0.0,4,0.109256
0.0,4,0.10951
0.0,7,0.109888
0.0,9,0.11035
1.0,7,0.110729
0.0,20,0.111686
0.0,4,0.111931
0.0,1,0.11204
0.0,4,0.112282
0.0,19,0.113181
0.0,11,0.113739
0.0,4,0.113989
0.0,5,0.114277
0.0,17,0.115096
0.0,7,0.115481
0.0,3,0.11568
0.0,5,0.115966
0.0,6,0.116295
0.0,10,0.116803
0.0,13,0.117443
0.0,8,0.117861
0.0,5,0.118147
0.0,4,0.118387
0.0,4,0.118637
0.0,2,0.118794
0.0,2,0.118948
0.0,7,0.11932
0.0,29,0.120671
0.0,18,0.121541
0.0,10,0.122046
0.0,4,0.122289
0.0,31,0.123746
0.0,14,0.124439
0.0,6,0.124768
0.0,7,0.12514
0.0,4,0.125381
0.0,5,0.125676
0.0,12,0.126268
0.0,21,0.12726
0.0,37,0.128951
0.0,18,0.129816
0.0,15,0.130551
1.0,11,0.131099
0.0,10,0.131616
0.0,8,0.132039
0.0,20,0.132988
0.0,9,0.133461
0.0,22,0.134497
0.0,6,0.134826
0.0,1,0.134936
0.0,2,0.135092
0.0,4,0.135334
0.0,4,0.135588
0.0,4,0.135832
0.0,2,0.135987
0.0,8,0.136406
0.0,23,0.137488
0.0,17,0.138291
0.0,18,0.139152
0.0,5,0.13945
0.0,3,0.139651
0.0,2,0.139804
0.0,3,0.140001
0.0,16,0.140776
0.0,7,0.141152
0.0,9,0.141631
0.0,21,0.142621
0.0,10,0.143122
0.0,23,0.144207
0.0,2,0.144363
0.0,3,0.144574
0.0,3,0.144772
0.0,11,0.145315
0.0,12,0.145915
0.0,8,0.146333
0.0,10,0.146844
0.0,2,0.147002
0.0,9,0.147472
0.0,19,0.148369
0.0,13,0.149012
0.0,5,0.149301
0.0,17,0.150116
0.0,16,0.150891
0.0,8,0.151307
0.0,12,0.151912
0.0,18,0.152767
0.0,6,0.153096
0.0,16,0.153872
0.0,11,0.15444
0.0,4,0.154699
0.0,23,0.155795
0.0,6,0.156127
0.0,8,0.156557
0.0,11,0.15711
0.0,43,0.159056
0.0,15,0.159786
0.0,13,0.160426
1.0,10,0.160936
0.0,1,0.161046
0.0,18,0.161924
0.0,11,0.162486
0.0,7,0.162861
0.0,7,0.163233
0.0,8,0.163659
0.0,5,0.163946
0.0,2,0.1641
0.0,4,0.164344
0.0,2,0.164505
0.0,7,0.164882
