#{"t_start": 1522148953.342368, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,6,0.007045
0.0,7,0.00739
0.0,2,0.007542
0.0,4,0.007736
0.0,3,0.007895
0.0,7,0.008195
0.0,4,0.008387
0.0,8,0.008706
0.0,1,0.008806
0.0,11,0.009227
0.0,5,0.00946
0.0,3,0.009625
0.0,7,0.009908
0.0,8,0.010251
0.0,9,0.010605
0.0,7,0.010902
0.0,5,0.011131
0.0,3,0.01129
0.0,34,0.01241
0.0,9,0.012753
0.0,7,0.013033
0.0,3,0.013211
0.0,3,0.013371
0.0,9,0.013723
0.0,5,0.013948
0.0,30,0.014929
0.0,33,0.016003
0.0,5,0.016245
0.0,1,0.016341
0.0,1,0.01644
0.0,25,0.0173
0.0,6,0.01757
0.0,15,0.018104
0.0,12,0.018558
0.0,24,0.019366
0.0,9,0.019727
0.0,4,0.019923
0.0,9,0.020279
0.0,17,0.020868
0.0,17,0.02147
0.0,4,0.021661
0.0,5,0.02188
0.0,6,0.02214
0.0,1,0.022241
0.0,6,0.022498
0.0,5,0.022725
0.0,12,0.02318
0.0,13,0.023653
0.0,4,0.023848
0.0,21,0.024581
0.0,10,0.024958
0.0,6,0.025224
0.0,1,0.02532
0.0,8,0.02563
0.0,18,0.026261
0.0,2,0.026395
0.0,10,0.026772
0.0,14,0.02728
0.0,4,0.027469
0.0,3,0.027628
0.0,1,0.027722
0.0,16,0.028288
0.0,16,0.028852
0.0,4,0.029041
0.0,1,0.029148
0.0,4,0.029339
0.0,2,0.029465
0.0,12,0.029914
0.0,6,0.030175
0.0,14,0.030677
0.0,4,0.030867
0.0,19,0.031532
0.0,21,0.032261
0.0,3,0.032425
0.0,8,0.032734
0.0,12,0.033191
0.0,14,0.033685
0.0,11,0.034092
0.0,8,0.03442
0.0,1,0.034515
0.0,11,0.03493
0.0,10,0.035318
1.0,17,0.035899
0.0,7,0.036186
0.0,10,0.036554
0.0,9,0.0369
0.0,9,0.037261
0.0,5,0.037481
0.0,14,0.03799
0.0,3,0.038161
0.0,4,0.03835
0.0,1,0.038443
0.0,4,0.038631
0.0,4,0.038818
0.0,16,0.039376
1.0,11,0.039776
0.0,5,0.039999
0.0,13,0.040472
0.0,10,0.040864
0.0,7,0.041153
0.0,11,0.04156
0.0,12,0.041995
0.0,3,0.042162
0.0,7,0.042459
0.0,1,0.042558
0.0,5,0.042787
0.0,9,0.04315
0.0,9,0.0435
0.0,5,0.043726
0.0,6,0.043976
0.0,1,0.044075
0.0,4,0.044274
0.0,6,0.044531
0.0,4,0.044726
0.0,4,0.04492
0.0,13,0.045406
0.0,7,0.045694
0.0,2,0.045827
0.0,13,0.04632
0.0,4,0.04651
0.0,19,0.047164
0.0,21,0.047879
0.0,1,0.047979
0.0,6,0.048247
0.0,3,0.048412
0.0,6,0.048663
0.0,3,0.048826
0.0,12,0.049282
0.0,1,0.049382
0.0,6,0.049639
0.0,9,0.049982
0.0,3,0.050156
0.0,2,0.050285
0.0,6,0.050551
0.0,7,0.050833
0.0,5,0.051054
0.0,8,0.051383
0.0,7,0.051665
0.0,11,0.052065
0.0,3,0.052238
0.0,13,0.052707
0.0,8,0.05303
1.0,11,0.053442
0.0,8,0.053763
0.0,2,0.053891
0.0,15,0.054491
0.0,5,0.054724
0.0,22,0.055463
0.0,6,0.055713
0.0,16,0.056319
0.0,10,0.056706
0.0,3,0.056865
0.0,4,0.05706
0.0,8,0.057386
0.0,4,0.057575
0.0,6,0.057826
0.0,1,0.057924
0.0,6,0.058207
0.0,17,0.058803
0.0,12,0.059259
0.0,9,0.0596
0.0,4,0.059788
0.0,6,0.060037
0.0,3,0.060211
0.0,6,0.060462
