#{"t_start": 1522157471.2251675, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,8,0.014017
0.0,3,0.014178
0.0,6,0.014386
0.0,7,0.014609
0.0,7,0.014868
0.0,11,0.01519
0.0,5,0.015375
0.0,5,0.015558
0.0,11,0.015892
0.0,52,0.017144
0.0,23,0.017769
0.0,5,0.017957
0.0,6,0.018166
0.0,10,0.018459
0.0,9,0.018749
0.0,2,0.018866
0.0,16,0.019299
0.0,22,0.019901
0.0,29,0.020622
0.0,7,0.02089
0.0,26,0.021537
0.0,14,0.021938
0.0,28,0.022629
0.0,6,0.022843
0.0,7,0.023069
0.0,40,0.02408
0.0,9,0.024353
0.0,20,0.024931
0.0,5,0.025116
0.0,10,0.025413
0.0,100,0.027757
0.0,3,0.027895
0.0,4,0.028057
0.0,8,0.028323
0.0,8,0.028579
0.0,1,0.028672
0.0,7,0.028907
0.0,31,0.02969
0.0,23,0.030282
0.0,5,0.030463
0.0,37,0.031403
0.0,12,0.031764
0.0,8,0.032012
0.0,19,0.032506
0.0,35,0.033371
0.0,50,0.034588
0.0,14,0.034976
0.0,4,0.035125
0.0,24,0.035717
0.0,11,0.036031
0.0,8,0.036272
0.0,16,0.03668
0.0,7,0.036897
0.0,7,0.03712
0.0,3,0.037251
0.0,1,0.037343
0.0,37,0.038226
0.0,3,0.038352
0.0,28,0.039036
0.0,2,0.039142
0.0,31,0.03987
0.0,5,0.040045
0.0,19,0.040501
0.0,34,0.041297
0.0,27,0.042061
0.0,2,0.042166
0.0,15,0.042538
0.0,17,0.042974
0.0,3,0.043101
0.0,63,0.044507
0.0,10,0.044827
0.0,8,0.045062
0.0,4,0.045216
0.0,11,0.045516
0.0,27,0.046172
0.0,15,0.046553
0.0,3,0.046692
0.0,2,0.046796
0.0,7,0.047001
0.0,9,0.04726
0.0,6,0.047455
0.0,4,0.0476
0.0,1,0.0477
0.0,10,0.047995
0.0,6,0.048183
0.0,12,0.048498
0.0,7,0.04873
0.0,14,0.049106
0.0,10,0.049378
1.0,7,0.0496
0.0,13,0.049948
0.0,14,0.050321
0.0,10,0.050592
0.0,4,0.050781
0.0,22,0.051345
0.0,9,0.051608
0.0,12,0.051935
0.0,33,0.052701
0.0,10,0.052989
0.0,7,0.053205
0.0,5,0.053371
0.0,9,0.053651
0.0,4,0.053825
0.0,2,0.053934
1.0,14,0.054308
0.0,19,0.054803
0.0,1,0.054885
0.0,13,0.055238
0.0,32,0.055988
0.0,9,0.05625
0.0,25,0.056883
0.0,6,0.057078
0.0,5,0.057251
0.0,33,0.05802
0.0,3,0.058146
0.0,14,0.05851
0.0,10,0.058797
0.0,10,0.059077
0.0,37,0.059963
0.0,8,0.060204
0.0,24,0.060794
0.0,4,0.060942
0.0,6,0.061136
0.0,12,0.061453
0.0,9,0.061724
0.0,3,0.06185
0.0,12,0.062165
0.0,10,0.062446
0.0,3,0.062577
0.0,3,0.062736
0.0,20,0.06324
0.0,11,0.063539
0.0,16,0.063949
0.0,7,0.06417
0.0,4,0.06432
0.0,5,0.064491
0.0,7,0.064718
0.0,44,0.065772
0.0,10,0.066047
0.0,25,0.066657
0.0,4,0.066814
0.0,14,0.067183
0.0,8,0.067421
0.0,9,0.067692
0.0,5,0.067866
0.0,10,0.068138
0.0,17,0.068566
0.0,5,0.068769
0.0,11,0.069072
0.0,4,0.069221
0.0,35,0.070029
0.0,15,0.070419
1.0,16,0.070833
0.0,2,0.070935
0.0,5,0.0711
0.0,6,0.071295
0.0,1,0.071373
0.0,5,0.071538
1.0,21,0.072099
0.0,7,0.072318
0.0,10,0.072589
0.0,10,0.07288
0.0,11,0.07317
0.0,17,0.073589
0.0,1,0.073679
0.0,5,0.073848
0.0,24,0.074428
0.0,39,0.075364
0.0,8,0.075616
0.0,15,0.076027
0.0,10,0.076314
1.0,32,0.077058
0.0,28,0.07774
0.0,44,0.078754
0.0,22,0.079294
0.0,1,0.079373
0.0,12,0.079702
0.0,12,0.08004
0.0,7,0.080258
0.0,2,0.080361
0.0,10,0.080668
0.0,3,0.080809
0.0,7,0.08102
0.0,10,0.081301
1.0,35,0.082154
0.0,3,0.082289
0.0,6,0.082491
0.0,2,0.0826
0.0,4,0.082754
0.0,7,0.082974
0.0,15,0.083361
0.0,7,0.083569
0.0,26,0.08422
0.0,7,0.08443
0.0,11,0.084734
0.0,22,0.085275
0.0,7,0.085485
0.0,4,0.085628
0.0,2,0.085747
0.0,16,0.086152
0.0,22,0.086705
1.0,8,0.086948
0.0,10,0.087228
0.0,3,0.087357
0.0,8,0.087591
0.0,11,0.087909
0.0,12,0.088226
0.0,13,0.088565
0.0,11,0.088877
0.0,15,0.089267
0.0,5,0.089441
0.0,6,0.089626
0.0,7,0.089875
0.0,6,0.090064
0.0,12,0.090379
0.0,17,0.090815
0.0,6,0.091014
0.0,7,0.091234
0.0,6,0.09142
0.0,29,0.092111
0.0,5,0.092278
0.0,39,0.093223
0.0,10,0.093494
0.0,21,0.094005
0.0,9,0.094257
0.0,10,0.094527
0.0,17,0.094951
0.0,21,0.095464
0.0,7,0.095703
0.0,33,0.096489
0.0,3,0.096622
0.0,5,0.096804
0.0,13,0.097155
0.0,9,0.097405
0.0,19,0.097886
0.0,22,0.098413
0.0,10,0.098713
0.0,17,0.09915
1.0,38,0.100025
0.0,1,0.100109
0.0,15,0.100496
0.0,4,0.100656
0.0,2,0.100761
0.0,3,0.10089
1.0,19,0.101382
0.0,11,0.101696
0.0,6,0.101903
0.0,16,0.102307
0.0,17,0.102752
0.0,11,0.103051
0.0,5,0.103223
0.0,4,0.103368
1.0,24,0.103956
0.0,9,0.104205
0.0,15,0.104584
0.0,6,0.104818
0.0,7,0.10503
0.0,4,0.105186
0.0,8,0.105411
0.0,3,0.10556
0.0,8,0.105807
0.0,14,0.106176
0.0,4,0.106328
0.0,10,0.106605
0.0,1,0.106692
0.0,3,0.106823
1.0,40,0.107804
0.0,12,0.108125
0.0,6,0.108318
0.0,14,0.108697
0.0,52,0.109856
0.0,13,0.11019
0.0,13,0.110528
0.0,35,0.111373
0.0,9,0.111646
0.0,12,0.111975
0.0,13,0.112327
0.0,21,0.112838
0.0,2,0.112942
0.0,1,0.113024
1.0,22,0.11356
0.0,3,0.113709
0.0,23,0.1144
0.0,28,0.11506
0.0,24,0.115622
1.0,54,0.11689
0.0,21,0.117391
0.0,27,0.118049
0.0,4,0.118196
0.0,39,0.119101
0.0,3,0.119228
1.0,10,0.119496
0.0,5,0.11969
0.0,4,0.119856
0.0,11,0.120152
0.0,20,0.120652
0.0,8,0.120887
0.0,20,0.121385
0.0,10,0.121679
0.0,1,0.121763
0.0,2,0.12187
0.0,56,0.123142
0.0,4,0.123293
0.0,23,0.123853
1.0,18,0.124287
0.0,3,0.124408
0.0,1,0.124489
0.0,3,0.124621
0.0,2,0.124735
0.0,2,0.12484
0.0,20,0.125334
0.0,5,0.1255
0.0,5,0.125697
0.0,14,0.126074
0.0,69,0.127589
0.0,8,0.127836
1.0,13,0.128182
0.0,10,0.128449
0.0,14,0.128844
0.0,3,0.128969
0.0,7,0.129183
0.0,1,0.129262
0.0,13,0.12961
0.0,9,0.129867
0.0,4,0.130012
0.0,13,0.130341
0.0,2,0.130446
