#{"t_start": 1523128192.097745, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.034884
0.0,2,0.035094
0.0,8,0.035522
0.0,9,0.035994
0.0,7,0.036366
0.0,15,0.037088
0.0,10,0.037587
0.0,30,0.038953
0.0,19,0.039855
0.0,65,0.042711
0.0,5,0.042996
0.0,46,0.045024
0.0,4,0.045267
0.0,97,0.049482
0.0,88,0.053344
0.0,100,0.057713
0.0,23,0.058772
0.0,11,0.059314
0.0,10,0.059827
0.0,2,0.059985
0.0,3,0.060181
1.0,46,0.062222
1.0,45,0.064234
0.0,13,0.064867
0.0,67,0.067819
1.0,83,0.071464
1.0,16,0.072229
0.0,43,0.074157
0.0,12,0.074749
0.0,5,0.075034
0.0,9,0.075488
0.0,22,0.076504
1.0,21,0.077478
0.0,31,0.078888
1.0,12,0.079468
1.0,8,0.079893
0.0,46,0.081937
1.0,30,0.083293
1.0,48,0.085418
0.0,100,0.089789
1.0,26,0.090977
1.0,87,0.094774
1.0,45,0.096766
0.0,53,0.099094
1.0,12,0.099691
1.0,48,0.101818
0.0,15,0.102529
1.0,17,0.103333
1.0,35,0.104908
0.0,25,0.106055
0.0,22,0.107071
0.0,12,0.107651
0.0,10,0.108159
1.0,19,0.109049
1.0,10,0.109545
0.0,13,0.11018
0.0,26,0.111376
1.0,18,0.112229
1.0,43,0.114148
0.0,10,0.114647
1.0,19,0.115533
1.0,41,0.117356
0.0,38,0.119057
0.0,17,0.119872
0.0,7,0.120243
1.0,15,0.120965
1.0,51,0.12321
1.0,16,0.12397
0.0,9,0.124421
0.0,45,0.126417
0.0,5,0.12671
1.0,82,0.130279
0.0,16,0.131047
0.0,5,0.131336
1.0,35,0.132919
1.0,65,0.135777
0.0,3,0.136039
1.0,6,0.136368
0.0,22,0.137384
0.0,50,0.139589
1.0,10,0.1401
1.0,19,0.140983
1.0,18,0.14182
0.0,5,0.1421
0.0,44,0.144044
0.0,29,0.145349
1.0,68,0.148313
1.0,19,0.149196
1.0,25,0.150333
0.0,20,0.151264
1.0,96,0.155407
1.0,38,0.157103
0.0,12,0.157688
1.0,33,0.159162
0.0,27,0.160386
1.0,46,0.162413
0.0,9,0.162874
0.0,44,0.164816
1.0,15,0.165522
1.0,23,0.166571
0.0,45,0.168565
1.0,24,0.169655
1.0,24,0.170765
1.0,18,0.171594
0.0,11,0.172135
0.0,44,0.174083
0.0,84,0.177739
0.0,6,0.17807
1.0,40,0.179853
1.0,33,0.181321
1.0,15,0.182033
1.0,43,0.183933
0.0,13,0.184548
0.0,38,0.186246
0.0,5,0.186531
1.0,39,0.188269
0.0,25,0.189397
1.0,32,0.190837
1.0,14,0.191503
1.0,47,0.193574
0.0,61,0.196256
0.0,19,0.197137
0.0,5,0.197418
1.0,10,0.19792
1.0,23,0.198971
1.0,85,0.202634
0.0,44,0.20457
0.0,17,0.205373
0.0,5,0.205655
0.0,37,0.207303
0.0,22,0.208311
1.0,25,0.209451
1.0,16,0.210213
0.0,68,0.213183
0.0,39,0.214911
1.0,83,0.218491
1.0,47,0.220572
0.0,11,0.221122
1.0,32,0.222556
0.0,10,0.223062
1.0,20,0.223984
1.0,9,0.224431
0.0,3,0.224628
0.0,7,0.225006
0.0,33,0.226473
0.0,11,0.227021
0.0,19,0.227914
1.0,32,0.229335
1.0,29,0.230648
0.0,43,0.232549
0.0,39,0.234289
0.0,34,0.235815
0.0,68,0.238878
0.0,32,0.240331
0.0,13,0.240966
0.0,11,0.241507
1.0,26,0.242706
1.0,8,0.243115
1.0,19,0.244003
1.0,28,0.245278
1.0,31,0.246681
1.0,7,0.247049
0.0,39,0.24879
1.0,86,0.252542
1.0,19,0.253426
1.0,13,0.25406
0.0,3,0.254257
0.0,11,0.254803
0.0,47,0.256883
1.0,40,0.258655
1.0,7,0.259031
1.0,67,0.261975
1.0,54,0.264357
0.0,29,0.265671
0.0,18,0.266521
0.0,23,0.267581
1.0,31,0.268984
0.0,12,0.269563
0.0,46,0.271605
0.0,2,0.27177
0.0,13,0.272392
1.0,23,0.273453
0.0,53,0.275809
0.0,19,0.276696
0.0,6,0.277022
0.0,67,0.279961
1.0,30,0.281318
0.0,34,0.282853
0.0,61,0.285527
1.0,25,0.286661
0.0,31,0.288066
1.0,44,0.290019
0.0,10,0.29051
1.0,32,0.291952
1.0,31,0.293346
0.0,61,0.296027
0.0,13,0.296649
0.0,58,0.29919
0.0,27,0.300417
0.0,7,0.300794
1.0,84,0.304442
0.0,16,0.305201
0.0,66,0.308089
0.0,2,0.308246
1.0,19,0.309139
1.0,14,0.309822
1.0,25,0.310969
1.0,37,0.312605
0.0,49,0.314781
0.0,14,0.315446
1.0,18,0.31629
0.0,25,0.317493
1.0,66,0.320395
0.0,4,0.320639
1.0,33,0.322129
1.0,24,0.323224
1.0,9,0.323684
0.0,28,0.324951
0.0,61,0.327623
0.0,65,0.330472
0.0,8,0.330893
0.0,27,0.332105
1.0,28,0.333369
