#{"t_start": 1523135998.5232239, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,100,0.087265
0.0,13,0.088237
0.0,27,0.089496
0.0,9,0.08997
0.0,9,0.090438
0.0,10,0.090955
0.0,21,0.091947
0.0,11,0.092496
0.0,45,0.094542
0.0,100,0.099054
0.0,6,0.099388
0.0,22,0.100431
0.0,7,0.10081
0.0,46,0.102915
0.0,12,0.10352
0.0,15,0.10426
0.0,29,0.105608
0.0,48,0.107791
0.0,60,0.110512
0.0,5,0.110803
1.0,91,0.114861
0.0,18,0.115726
0.0,11,0.116291
0.0,14,0.116984
0.0,21,0.117989
0.0,13,0.118625
0.0,21,0.119618
0.0,12,0.120224
0.0,100,0.124691
0.0,100,0.129193
0.0,19,0.130106
0.0,48,0.132291
0.0,100,0.136761
1.0,23,0.137847
0.0,32,0.139347
0.0,9,0.139812
0.0,18,0.140679
1.0,51,0.143006
0.0,14,0.143689
0.0,24,0.144813
0.0,14,0.145503
1.0,28,0.146805
0.0,29,0.148166
1.0,73,0.151445
1.0,43,0.153419
1.0,42,0.155353
0.0,100,0.159843
0.0,12,0.16045
0.0,16,0.161228
0.0,81,0.164851
0.0,98,0.169253
1.0,67,0.172282
0.0,41,0.174165
0.0,12,0.174757
0.0,13,0.175405
0.0,3,0.175606
0.0,9,0.17608
0.0,7,0.176461
0.0,48,0.178656
1.0,46,0.180761
0.0,55,0.183328
1.0,18,0.184197
0.0,8,0.184618
0.0,5,0.184904
0.0,6,0.185244
0.0,68,0.188306
0.0,50,0.190582
0.0,33,0.192114
0.0,32,0.193597
0.0,15,0.194335
0.0,13,0.194987
0.0,10,0.195495
0.0,11,0.196052
1.0,36,0.197704
0.0,14,0.198405
0.0,16,0.199187
1.0,9,0.199652
0.0,35,0.201274
0.0,19,0.202191
1.0,18,0.20306
0.0,53,0.205469
0.0,31,0.206909
0.0,13,0.207557
0.0,71,0.210764
0.0,25,0.211953
0.0,25,0.213122
1.0,79,0.216669
0.0,28,0.217985
0.0,100,0.22247
0.0,13,0.223127
0.0,13,0.22377
0.0,14,0.224464
0.0,31,0.225899
0.0,8,0.226325
1.0,44,0.228341
0.0,29,0.229686
0.0,16,0.230472
1.0,12,0.231081
1.0,23,0.232166
1.0,32,0.233643
0.0,17,0.234468
0.0,14,0.235161
0.0,63,0.238041
0.0,45,0.2401
0.0,17,0.240916
0.0,45,0.242987
0.0,62,0.24578
0.0,44,0.247799
0.0,25,0.249117
1.0,61,0.251887
0.0,65,0.254824
0.0,21,0.255828
0.0,59,0.258508
0.0,28,0.259808
0.0,23,0.260899
0.0,8,0.261328
1.0,67,0.264349
0.0,9,0.264816
1.0,57,0.267395
0.0,9,0.267861
0.0,31,0.269309
1.0,19,0.270218
1.0,23,0.271308
1.0,49,0.273532
1.0,48,0.275727
0.0,36,0.277396
1.0,46,0.279496
0.0,19,0.280413
1.0,33,0.281939
0.0,7,0.282383
1.0,13,0.283032
1.0,52,0.285389
0.0,14,0.286082
1.0,41,0.287968
1.0,18,0.288824
1.0,21,0.289819
1.0,10,0.29034
1.0,15,0.29108
0.0,13,0.291715
0.0,58,0.294334
0.0,5,0.294625
0.0,17,0.295448
0.0,12,0.296054
0.0,34,0.297615
0.0,8,0.298055
0.0,49,0.300278
0.0,11,0.300829
0.0,12,0.301437
1.0,43,0.303403
0.0,6,0.303736
0.0,16,0.30451
0.0,64,0.307393
0.0,37,0.309102
1.0,20,0.310066
0.0,96,0.314366
0.0,67,0.317382
0.0,14,0.318086
0.0,78,0.321575
0.0,20,0.322528
0.0,9,0.323003
1.0,59,0.325656
1.0,11,0.326215
0.0,13,0.326848
1.0,42,0.328769
0.0,60,0.331477
0.0,31,0.332907
0.0,22,0.33396
0.0,38,0.335691
0.0,11,0.336256
0.0,14,0.336967
1.0,20,0.33791
0.0,17,0.338739
0.0,22,0.339781
0.0,11,0.340341
1.0,18,0.341212
0.0,39,0.343007
0.0,33,0.344532
0.0,49,0.346754
0.0,11,0.347314
1.0,31,0.348751
0.0,5,0.34905
0.0,42,0.350976
0.0,65,0.35389
0.0,11,0.354456
0.0,22,0.355502
0.0,100,0.359998
0.0,26,0.361213
1.0,38,0.362964
0.0,22,0.364007
0.0,73,0.367295
0.0,15,0.368037
0.0,19,0.368954
0.0,5,0.369243
0.0,59,0.371921
0.0,35,0.373536
0.0,46,0.375647
0.0,12,0.376254
0.0,55,0.37876
1.0,57,0.381344
0.0,23,0.382428
0.0,50,0.384759
0.0,8,0.385188
1.0,27,0.38645
0.0,47,0.388588
0.0,15,0.389326
0.0,18,0.390194
1.0,16,0.390969
0.0,12,0.39156
1.0,14,0.392252
0.0,100,0.396711
1.0,84,0.400496
0.0,10,0.401016
0.0,31,0.402451
0.0,10,0.402972
1.0,20,0.403912
0.0,17,0.404736
0.0,37,0.406439
1.0,48,0.408634
0.0,46,0.410733
0.0,22,0.411775
1.0,80,0.415378
0.0,24,0.416508
0.0,23,0.417595
0.0,19,0.41851
1.0,18,0.419378
0.0,43,0.421343
0.0,84,0.425109
0.0,12,0.425704
0.0,7,0.426089
0.0,7,0.426468
0.0,25,0.427633
0.0,15,0.428375
0.0,4,0.42862
1.0,44,0.430624
0.0,47,0.432764
0.0,21,0.433761
0.0,30,0.435162
0.0,5,0.435451
1.0,57,0.43804
0.0,13,0.438682
0.0,10,0.439218
1.0,30,0.440608
1.0,56,0.443153
0.0,13,0.443791
0.0,34,0.445369
0.0,26,0.44659
0.0,13,0.447242
0.0,29,0.448595
1.0,21,0.449592
0.0,8,0.450022
0.0,32,0.451504
0.0,3,0.451706
1.0,18,0.452576
1.0,14,0.45327
0.0,8,0.453694
0.0,10,0.454217
0.0,11,0.45477
0.0,14,0.455463
0.0,6,0.4558
1.0,20,0.456754
0.0,12,0.457363
1.0,42,0.459296
0.0,9,0.45976
0.0,95,0.464025
0.0,5,0.464316
1.0,30,0.465705
0.0,4,0.465963
0.0,17,0.466781
1.0,16,0.467566
0.0,90,0.471586
0.0,33,0.473123
1.0,72,0.476355
1.0,53,0.478772
0.0,16,0.479558
1.0,89,0.483551
0.0,41,0.485502
0.0,15,0.486246
0.0,3,0.486449
1.0,21,0.487448
1.0,29,0.488801
1.0,15,0.489538
0.0,17,0.490363
0.0,36,0.492031
0.0,9,0.492496
0.0,18,0.493356
1.0,15,0.494089
0.0,64,0.496979
1.0,27,0.498243
1.0,14,0.498933
0.0,33,0.500456
0.0,59,0.503137
1.0,10,0.503646
0.0,14,0.50434
1.0,19,0.505254
1.0,15,0.505991
1.0,22,0.507031
0.0,22,0.508079
1.0,14,0.508762
0.0,27,0.510029
0.0,16,0.510797
0.0,11,0.511357
0.0,8,0.511778
0.0,100,0.516242
0.0,22,0.517282
0.0,13,0.517918
0.0,100,0.522397
0.0,61,0.525163
0.0,10,0.525672
0.0,48,0.527862
1.0,7,0.528254
0.0,7,0.528632
1.0,72,0.531865
0.0,86,0.53571
0.0,38,0.537453
0.0,33,0.538993
0.0,19,0.53989
0.0,22,0.540936
0.0,14,0.541616
1.0,25,0.542787
0.0,35,0.544409
0.0,61,0.547187
0.0,51,0.54951
0.0,15,0.550249
0.0,100,0.554729
1.0,31,0.556175
0.0,17,0.556999
1.0,9,0.557463
1.0,20,0.558425
0.0,21,0.559429
1.0,19,0.560344
1.0,28,0.56165
0.0,47,0.563794
1.0,19,0.564704
0.0,9,0.565184
0.0,8,0.565606
0.0,74,0.568954
0.0,40,0.570784
0.0,8,0.571218
0.0,7,0.571594
0.0,33,0.573128
1.0,13,0.573771
0.0,45,0.575825
0.0,33,0.577366
0.0,26,0.578593
0.0,26,0.579809
1.0,15,0.580548
0.0,20,0.5815
0.0,23,0.582582
0.0,18,0.583445
0.0,98,0.587818
