#{"t_start": 1523135835.7779627, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,8,0.00648
0.0,12,0.006829
0.0,6,0.007043
0.0,2,0.007151
0.0,5,0.007323
0.0,7,0.007544
0.0,25,0.008178
0.0,21,0.008692
0.0,55,0.010002
0.0,14,0.01037
0.0,17,0.010796
0.0,50,0.011989
0.0,17,0.012427
0.0,10,0.012718
0.0,12,0.013052
0.0,17,0.01349
0.0,30,0.014223
0.0,22,0.014773
0.0,4,0.014933
0.0,7,0.015157
0.0,8,0.015395
0.0,6,0.015586
0.0,6,0.015777
0.0,8,0.016021
1.0,48,0.017158
0.0,19,0.017657
0.0,37,0.018551
0.0,58,0.019933
0.0,41,0.020902
0.0,8,0.021145
0.0,43,0.02218
0.0,10,0.022472
0.0,100,0.024745
0.0,29,0.025463
0.0,2,0.025578
0.0,6,0.025773
0.0,10,0.026072
0.0,27,0.026727
0.0,14,0.027111
0.0,36,0.027977
0.0,100,0.030292
0.0,21,0.03082
0.0,8,0.031067
0.0,20,0.031559
0.0,18,0.032033
0.0,24,0.032629
0.0,65,0.034142
0.0,6,0.034352
0.0,49,0.035526
0.0,18,0.035985
0.0,15,0.036384
1.0,17,0.036812
0.0,27,0.037482
0.0,28,0.038183
1.0,12,0.038519
1.0,20,0.039028
0.0,15,0.039425
0.0,17,0.039875
0.0,7,0.040109
0.0,10,0.040399
0.0,9,0.040664
0.0,2,0.040769
0.0,24,0.041365
0.0,21,0.041912
0.0,7,0.042143
0.0,27,0.042815
0.0,45,0.04391
0.0,15,0.04433
0.0,37,0.045218
0.0,65,0.046726
0.0,24,0.047323
0.0,19,0.047808
0.0,24,0.048427
0.0,38,0.049351
0.0,26,0.050005
0.0,9,0.050282
0.0,50,0.051448
0.0,16,0.05187
0.0,4,0.05203
0.0,35,0.052899
0.0,15,0.053312
0.0,21,0.053862
0.0,6,0.054067
0.0,11,0.054384
0.0,2,0.054496
0.0,55,0.055789
0.0,22,0.056351
0.0,8,0.056588
0.0,45,0.05766
0.0,18,0.058124
0.0,29,0.058825
0.0,49,0.060012
0.0,82,0.061902
0.0,36,0.062769
0.0,10,0.06306
0.0,53,0.064299
0.0,57,0.065644
0.0,26,0.066293
1.0,44,0.067333
0.0,33,0.068163
0.0,37,0.069051
0.0,3,0.069185
1.0,12,0.069512
0.0,20,0.070024
0.0,7,0.070247
0.0,2,0.070358
0.0,72,0.072018
0.0,10,0.072315
0.0,45,0.073384
0.0,16,0.073812
0.0,4,0.073978
0.0,8,0.074222
0.0,5,0.074394
0.0,58,0.075765
0.0,13,0.07614
0.0,6,0.076334
0.0,15,0.076736
0.0,30,0.077482
0.0,22,0.078044
0.0,39,0.078979
0.0,19,0.07946
0.0,21,0.079993
0.0,10,0.080279
0.0,9,0.080535
1.0,11,0.080832
0.0,51,0.082045
0.0,6,0.082247
0.0,24,0.082848
0.0,11,0.083165
0.0,98,0.085415
0.0,17,0.085858
0.0,21,0.086393
0.0,44,0.087434
0.0,37,0.088321
0.0,8,0.088564
0.0,4,0.088713
0.0,13,0.089075
0.0,26,0.08972
0.0,11,0.09003
0.0,7,0.090252
0.0,13,0.090607
0.0,5,0.090785
0.0,53,0.092052
0.0,25,0.092669
0.0,27,0.093327
0.0,13,0.093677
0.0,11,0.093991
0.0,77,0.095741
0.0,32,0.096513
0.0,8,0.096759
0.0,16,0.097199
0.0,47,0.098329
0.0,54,0.099619
0.0,4,0.099777
0.0,16,0.100207
0.0,7,0.100434
0.0,15,0.100854
0.0,20,0.101384
0.0,12,0.101712
0.0,6,0.101915
0.0,17,0.102361
0.0,18,0.102821
0.0,39,0.103761
0.0,8,0.104009
0.0,10,0.104301
0.0,22,0.104861
0.0,39,0.105792
0.0,11,0.106123
0.0,22,0.106679
0.0,9,0.10702
0.0,7,0.107246
0.0,65,0.10878
0.0,18,0.109254
0.0,49,0.110414
0.0,4,0.110569
0.0,9,0.110832
0.0,4,0.111
0.0,23,0.111571
1.0,14,0.111956
0.0,15,0.112357
0.0,14,0.112727
0.0,47,0.113827
0.0,43,0.114855
0.0,17,0.115292
0.0,6,0.115485
0.0,11,0.115793
1.0,32,0.116564
0.0,18,0.117033
0.0,29,0.117734
0.0,64,0.119253
0.0,29,0.119996
0.0,12,0.120335
0.0,9,0.120605
0.0,11,0.120936
0.0,14,0.12131
0.0,6,0.121507
0.0,14,0.121898
0.0,11,0.122209
0.0,78,0.124041
0.0,37,0.124947
0.0,6,0.125141
0.0,22,0.125689
0.0,10,0.126008
0.0,12,0.126339
0.0,2,0.126449
0.0,21,0.126992
1.0,14,0.127373
0.0,35,0.128211
0.0,31,0.128957
0.0,14,0.129328
1.0,39,0.13026
0.0,6,0.130454
0.0,4,0.130602
0.0,34,0.131443
0.0,11,0.131742
0.0,33,0.132536
0.0,6,0.132736
0.0,5,0.132923
1.0,22,0.133468
0.0,4,0.133615
0.0,27,0.134288
1.0,13,0.134649
0.0,13,0.135016
0.0,58,0.136387
0.0,6,0.136581
0.0,4,0.136736
0.0,37,0.137624
0.0,12,0.137973
0.0,11,0.138283
0.0,4,0.138432
0.0,11,0.13874
0.0,12,0.139098
0.0,12,0.139441
0.0,87,0.141439
0.0,6,0.141653
0.0,81,0.143528
0.0,11,0.143854
0.0,27,0.144535
0.0,48,0.145655
0.0,7,0.145881
0.0,11,0.146189
0.0,14,0.146569
0.0,4,0.146735
0.0,12,0.147085
0.0,48,0.148223
0.0,5,0.148395
0.0,20,0.148913
0.0,4,0.149076
0.0,19,0.149571
0.0,47,0.150683
0.0,8,0.15094
0.0,17,0.151378
0.0,4,0.151539
0.0,43,0.152585
0.0,12,0.152919
0.0,10,0.153208
0.0,39,0.154141
0.0,15,0.154547
0.0,12,0.154902
0.0,12,0.155234
0.0,26,0.155893
0.0,8,0.156132
0.0,20,0.156651
0.0,10,0.156944
0.0,29,0.157647
0.0,6,0.157858
0.0,17,0.158299
0.0,41,0.159287
0.0,7,0.159518
0.0,40,0.16049
0.0,8,0.160732
0.0,32,0.161512
0.0,10,0.161822
0.0,53,0.163047
0.0,55,0.164334
0.0,5,0.164514
0.0,19,0.165021
0.0,84,0.166981
0.0,26,0.167625
0.0,26,0.16826
0.0,12,0.168582
0.0,10,0.168871
1.0,11,0.169171
0.0,8,0.169404
0.0,12,0.169748
1.0,7,0.169974
0.0,36,0.170828
0.0,81,0.172675
0.0,3,0.172817
0.0,35,0.173652
0.0,20,0.174174
0.0,20,0.174678
0.0,11,0.174997
1.0,10,0.175278
0.0,14,0.175656
0.0,50,0.176833
0.0,8,0.177087
0.0,24,0.177698
0.0,58,0.179084
0.0,5,0.179265
1.0,25,0.179906
0.0,7,0.180143
0.0,9,0.180409
0.0,21,0.180954
0.0,100,0.183247
0.0,27,0.18392
0.0,100,0.1862
0.0,31,0.186981
0.0,48,0.188106
0.0,7,0.188323
0.0,11,0.188635
0.0,25,0.189262
0.0,48,0.190386
0.0,20,0.190898
0.0,52,0.192121
0.0,9,0.192388
0.0,8,0.192623
0.0,15,0.193018
0.0,49,0.194157
0.0,67,0.195693
0.0,22,0.196266
0.0,50,0.197474
0.0,26,0.19814
0.0,21,0.198677
0.0,10,0.19898
0.0,24,0.199603
0.0,5,0.199775
0.0,7,0.199997
0.0,29,0.200726
0.0,7,0.200952
0.0,13,0.201306
0.0,12,0.201628
0.0,15,0.202039
0.0,87,0.204047
0.0,34,0.204896
0.0,55,0.206202
0.0,15,0.206601
0.0,14,0.206998
0.0,6,0.207266
0.0,27,0.207947
0.0,17,0.208383
0.0,6,0.208577
0.0,17,0.209026
0.0,32,0.209804
0.0,17,0.210297
0.0,7,0.210512
0.0,5,0.210682
0.0,12,0.211012
0.0,21,0.211546
0.0,40,0.212494
0.0,5,0.212666
0.0,12,0.213022
0.0,14,0.213407
0.0,6,0.213597
0.0,10,0.213885
1.0,40,0.214823
0.0,33,0.21562
0.0,18,0.216092
0.0,16,0.216497
0.0,46,0.217574
0.0,54,0.218848
0.0,28,0.219527
0.0,5,0.219712
0.0,22,0.220268
0.0,13,0.220625
0.0,30,0.221354
0.0,9,0.221619
0.0,18,0.222079
0.0,15,0.222481
0.0,23,0.223075
0.0,95,0.225264
0.0,8,0.225512
0.0,25,0.226132
0.0,5,0.226304
0.0,61,0.227734
0.0,16,0.228167
0.0,23,0.228743
0.0,10,0.229054
0.0,10,0.229345
0.0,4,0.229502
0.0,19,0.229998
0.0,14,0.230373
0.0,4,0.23052
0.0,15,0.230925
0.0,27,0.231584
0.0,4,0.231731
0.0,13,0.232094
0.0,11,0.232409
0.0,57,0.233731
0.0,10,0.234045
0.0,28,0.234732
0.0,6,0.234949
0.0,5,0.235126
0.0,34,0.235928
1.0,21,0.236456
0.0,28,0.237162
0.0,15,0.237568
0.0,9,0.237849
0.0,34,0.238652
0.0,29,0.23937
0.0,2,0.239475
0.0,39,0.24039
0.0,5,0.240561
0.0,28,0.24126
0.0,66,0.242771
0.0,69,0.244369
0.0,8,0.244618
0.0,100,0.246948
