#{"t_start": 1523123490.9776354, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,14,0.047297
0.0,4,0.047605
0.0,9,0.048062
0.0,19,0.04896
0.0,13,0.049595
0.0,17,0.050424
0.0,11,0.050994
0.0,6,0.051332
0.0,26,0.052518
0.0,11,0.053058
0.0,44,0.055012
1.0,93,0.068326
0.0,38,0.070144
0.0,30,0.071522
0.0,78,0.074932
0.0,72,0.088748
0.0,100,0.09392
0.0,32,0.095798
0.0,48,0.108674
0.0,31,0.110471
0.0,10,0.111189
0.0,22,0.112358
0.0,82,0.123827
0.0,82,0.128188
0.0,46,0.141246
0.0,7,0.141891
0.0,38,0.143872
0.0,55,0.146764
0.0,37,0.158454
0.0,28,0.160072
0.0,14,0.160939
0.0,12,0.161671
0.0,33,0.163383
0.0,20,0.164557
0.0,23,0.165827
0.0,16,0.177136
0.0,26,0.178743
0.0,19,0.179914
0.0,3,0.180259
0.0,9,0.180781
1.0,28,0.182237
0.0,11,0.182868
0.0,8,0.183338
0.0,18,0.184269
0.0,23,0.185428
0.0,25,0.196941
0.0,9,0.197595
0.0,20,0.198629
0.0,62,0.201568
0.0,27,0.202849
1.0,10,0.203366
0.0,11,0.203908
0.0,26,0.205094
0.0,24,0.216233
0.0,18,0.217427
0.0,13,0.218055
0.0,14,0.218741
1.0,8,0.219158
1.0,23,0.220234
0.0,9,0.220699
0.0,34,0.222245
0.0,100,0.236828
0.0,67,0.239947
1.0,9,0.240423
0.0,10,0.240922
0.0,40,0.242712
0.0,35,0.244298
0.0,17,0.245095
0.0,9,0.245567
0.0,15,0.256429
0.0,8,0.257101
0.0,12,0.25771
0.0,9,0.258167
0.0,11,0.258727
1.0,63,0.261513
0.0,5,0.261808
0.0,22,0.262824
0.0,37,0.264495
1.0,21,0.265471
0.0,30,0.276983
0.0,11,0.277655
0.0,31,0.279054
0.0,14,0.279751
0.0,17,0.28056
0.0,12,0.28114
0.0,65,0.283993
0.0,23,0.285063
0.0,16,0.285826
0.0,39,0.29775
0.0,14,0.298533
1.0,35,0.300117
0.0,19,0.301009
0.0,13,0.301646
0.0,66,0.30454
0.0,31,0.305939
0.0,30,0.31748
0.0,16,0.318345
0.0,17,0.319139
0.0,25,0.320307
0.0,26,0.3215
0.0,24,0.322608
0.0,17,0.323414
0.0,25,0.324556
0.0,8,0.324973
0.0,6,0.325314
0.0,17,0.326111
0.0,15,0.337311
0.0,47,0.339905
0.0,14,0.340871
0.0,8,0.341414
0.0,20,0.342509
0.0,13,0.343334
0.0,2,0.343563
0.0,45,0.345846
0.0,15,0.357089
1.0,9,0.357967
0.0,6,0.358387
0.0,17,0.359325
0.0,22,0.360518
0.0,34,0.3623
0.0,12,0.363064
0.0,34,0.364796
0.0,9,0.365433
0.0,11,0.36604
1.0,12,0.377098
0.0,21,0.378464
0.0,9,0.379078
0.0,14,0.379896
0.0,9,0.380453
0.0,11,0.381054
0.0,7,0.381519
1.0,29,0.382989
1.0,24,0.384356
0.0,12,0.385097
0.0,13,0.385846
0.0,46,0.392646
0.0,6,0.393244
0.0,13,0.393979
0.0,41,0.396118
