#{"t_start": 1523119666.6687672, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,62,0.036616
0.0,28,0.037923
0.0,10,0.038419
0.0,68,0.04139
0.0,100,0.045717
0.0,20,0.046646
1.0,49,0.0488
0.0,6,0.049124
1.0,29,0.050426
0.0,46,0.052456
0.0,31,0.053849
1.0,14,0.05452
1.0,31,0.055903
0.0,23,0.056957
0.0,14,0.057635
1.0,30,0.058979
1.0,13,0.05961
1.0,43,0.061505
0.0,71,0.064602
1.0,7,0.064971
0.0,4,0.065209
0.0,5,0.065491
0.0,24,0.066587
0.0,4,0.066828
0.0,37,0.068458
0.0,30,0.069821
0.0,53,0.072135
1.0,41,0.073948
0.0,14,0.074621
1.0,42,0.076471
0.0,23,0.077529
0.0,68,0.080483
0.0,22,0.081487
0.0,40,0.083266
1.0,22,0.084273
0.0,34,0.085801
0.0,22,0.086809
0.0,41,0.088642
0.0,10,0.089134
1.0,18,0.089984
0.0,6,0.090307
0.0,25,0.091439
0.0,30,0.092786
0.0,73,0.095973
0.0,8,0.096379
0.0,28,0.097651
0.0,19,0.09853
0.0,17,0.099315
1.0,12,0.099905
0.0,94,0.103968
0.0,12,0.104553
0.0,38,0.106222
0.0,8,0.10664
0.0,5,0.106919
0.0,7,0.107279
1.0,27,0.108491
0.0,52,0.110787
0.0,18,0.111631
1.0,58,0.114156
1.0,16,0.114915
0.0,37,0.116563
0.0,17,0.117346
0.0,11,0.117892
1.0,17,0.118687
0.0,15,0.119388
0.0,10,0.119903
0.0,12,0.120478
0.0,8,0.120896
0.0,10,0.121387
0.0,3,0.121593
1.0,13,0.122214
1.0,49,0.124364
1.0,21,0.125327
0.0,6,0.125663
0.0,3,0.125859
0.0,10,0.126353
0.0,16,0.127109
0.0,23,0.128166
0.0,7,0.128541
0.0,45,0.13054
1.0,18,0.131361
0.0,17,0.132164
1.0,55,0.134568
0.0,41,0.136438
1.0,47,0.138499
0.0,3,0.138707
0.0,68,0.141735
0.0,3,0.141932
0.0,3,0.142126
0.0,10,0.14263
1.0,24,0.143729
0.0,15,0.144428
0.0,3,0.144633
1.0,17,0.145416
0.0,32,0.146847
0.0,19,0.147725
0.0,20,0.14865
1.0,34,0.150164
1.0,21,0.151128
1.0,16,0.151887
0.0,22,0.152883
0.0,45,0.154871
0.0,54,0.157226
1.0,29,0.158536
0.0,12,0.159107
1.0,17,0.159925
1.0,9,0.160375
0.0,49,0.162535
0.0,24,0.163622
0.0,10,0.164112
0.0,91,0.168048
1.0,27,0.16927
0.0,8,0.169693
0.0,16,0.170436
0.0,33,0.171905
0.0,18,0.172744
0.0,14,0.173411
0.0,10,0.173911
