#{"t_start": 1523125949.163845, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,8,0.002258
0.0,16,0.003025
0.0,100,0.00739
0.0,13,0.008026
0.0,95,0.012161
0.0,48,0.014289
0.0,10,0.014785
0.0,56,0.017258
0.0,14,0.017926
0.0,3,0.018137
0.0,7,0.018506
0.0,53,0.020854
0.0,5,0.021152
0.0,4,0.021393
0.0,16,0.022166
0.0,29,0.023481
0.0,25,0.024625
0.0,14,0.025306
0.0,16,0.026065
0.0,35,0.02764
0.0,20,0.02857
1.0,18,0.02942
0.0,75,0.032695
1.0,53,0.035032
0.0,33,0.036562
1.0,73,0.039774
0.0,24,0.040883
0.0,17,0.04169
0.0,68,0.044693
0.0,7,0.045076
0.0,46,0.047126
0.0,41,0.048946
0.0,19,0.049832
0.0,25,0.050976
0.0,36,0.05261
1.0,38,0.054323
0.0,14,0.054991
0.0,40,0.056783
0.0,53,0.059137
0.0,12,0.059716
0.0,11,0.060262
0.0,9,0.06072
0.0,10,0.061229
0.0,5,0.061515
0.0,33,0.063001
1.0,13,0.063634
0.0,28,0.064902
0.0,10,0.065409
0.0,5,0.065696
0.0,23,0.066756
0.0,3,0.066955
1.0,21,0.06792
1.0,16,0.068678
0.0,16,0.069439
0.0,19,0.070335
0.0,40,0.072142
0.0,23,0.073204
0.0,85,0.076919
0.0,6,0.077261
0.0,29,0.078583
0.0,8,0.078994
0.0,3,0.079201
0.0,16,0.079952
0.0,26,0.081147
0.0,43,0.083066
0.0,40,0.084848
1.0,28,0.086135
0.0,7,0.086504
0.0,62,0.089233
1.0,9,0.089686
0.0,18,0.09053
0.0,24,0.091629
0.0,7,0.091999
0.0,12,0.0926
0.0,58,0.09516
0.0,25,0.096325
0.0,41,0.098168
0.0,4,0.098409
0.0,10,0.098904
0.0,46,0.100942
0.0,19,0.101831
0.0,22,0.10292
0.0,43,0.104843
0.0,53,0.107202
0.0,46,0.109257
0.0,3,0.109456
1.0,9,0.109908
0.0,20,0.110835
0.0,31,0.112254
0.0,37,0.113912
0.0,43,0.115828
0.0,7,0.116208
1.0,15,0.116921
0.0,25,0.11808
0.0,4,0.118321
0.0,16,0.119078
0.0,13,0.119699
0.0,24,0.120792
0.0,28,0.122083
1.0,19,0.122962
0.0,25,0.124122
0.0,18,0.124964
0.0,15,0.125685
0.0,3,0.125886
0.0,6,0.126225
0.0,74,0.129493
1.0,12,0.13009
0.0,40,0.131869
0.0,9,0.132345
0.0,76,0.135657
0.0,12,0.136254
0.0,14,0.136916
1.0,17,0.137725
0.0,6,0.138065
0.0,19,0.13895
0.0,22,0.139968
0.0,4,0.14022
1.0,58,0.142781
1.0,57,0.145305
0.0,10,0.145805
0.0,29,0.147136
0.0,21,0.148113
0.0,27,0.149349
0.0,38,0.151058
0.0,21,0.152044
0.0,14,0.152717
1.0,22,0.153739
0.0,60,0.156394
1.0,20,0.157328
0.0,7,0.157703
0.0,26,0.158894
0.0,11,0.15945
0.0,4,0.159694
0.0,45,0.161703
0.0,11,0.162267
0.0,100,0.166656
1.0,45,0.168667
0.0,28,0.169942
0.0,8,0.170367
0.0,9,0.170821
0.0,9,0.171286
0.0,7,0.171657
0.0,23,0.172725
0.0,23,0.173789
0.0,34,0.175337
0.0,33,0.17683
0.0,12,0.177426
0.0,12,0.178019
1.0,25,0.179163
1.0,43,0.181084
1.0,31,0.182486
0.0,15,0.183207
0.0,44,0.185181
0.0,12,0.185763
0.0,13,0.186398
0.0,24,0.187502
0.0,17,0.188308
1.0,13,0.188934
0.0,62,0.191663
0.0,25,0.19282
0.0,21,0.193801
0.0,17,0.194607
0.0,30,0.19597
0.0,14,0.196646
0.0,23,0.197705
0.0,15,0.198424
0.0,35,0.199997
1.0,12,0.200588
0.0,96,0.204783
0.0,7,0.205225
0.0,22,0.206243
0.0,15,0.206951
0.0,12,0.207543
0.0,21,0.208522
0.0,39,0.21028
0.0,5,0.210563
0.0,40,0.212358
0.0,53,0.214688
0.0,30,0.21605
0.0,8,0.21646
0.0,7,0.216825
0.0,30,0.218185
0.0,20,0.219113
0.0,48,0.221231
0.0,16,0.22198
0.0,33,0.22347
0.0,42,0.225331
0.0,41,0.22716
0.0,60,0.229784
0.0,20,0.230717
0.0,18,0.231561
0.0,20,0.232497
0.0,71,0.235615
0.0,3,0.235816
0.0,4,0.236067
0.0,15,0.236773
0.0,30,0.238135
0.0,12,0.238715
0.0,17,0.239516
0.0,30,0.240873
0.0,8,0.241296
0.0,24,0.242399
0.0,3,0.242602
0.0,21,0.243579
0.0,35,0.245153
1.0,19,0.246041
0.0,16,0.246793
1.0,26,0.247976
0.0,20,0.248903
0.0,7,0.249282
1.0,6,0.249611
0.0,4,0.249849
0.0,4,0.2501
0.0,10,0.250598
0.0,12,0.251192
0.0,34,0.252725
0.0,9,0.253188
1.0,20,0.254121
0.0,43,0.256027
0.0,35,0.257591
0.0,100,0.261925
0.0,47,0.264023
0.0,5,0.264309
0.0,11,0.264848
0.0,52,0.267151
0.0,3,0.26735
1.0,10,0.267846
0.0,18,0.268689
0.0,8,0.269117
1.0,46,0.271168
0.0,35,0.272751
0.0,6,0.273092
0.0,4,0.273334
0.0,7,0.273698
0.0,18,0.274548
0.0,27,0.275777
0.0,6,0.276115
0.0,26,0.277306
1.0,25,0.278447
0.0,8,0.278859
0.0,28,0.280138
1.0,12,0.280718
0.0,20,0.281667
1.0,22,0.282694
0.0,24,0.283799
0.0,47,0.285889
0.0,29,0.28721
0.0,37,0.288859
0.0,17,0.289662
0.0,35,0.291236
0.0,54,0.293622
0.0,6,0.293952
0.0,15,0.294668
0.0,12,0.295264
1.0,14,0.295929
0.0,14,0.296608
0.0,14,0.297287
0.0,37,0.298938
1.0,23,0.299996
0.0,4,0.300248
0.0,5,0.30053
0.0,33,0.302022
0.0,17,0.302818
0.0,15,0.303538
0.0,29,0.304852
0.0,70,0.307989
0.0,7,0.308371
0.0,7,0.308737
0.0,8,0.309164
0.0,24,0.310274
1.0,12,0.310861
0.0,38,0.312571
0.0,7,0.312942
0.0,44,0.314899
1.0,19,0.31579
0.0,26,0.316983
0.0,3,0.317189
0.0,72,0.320353
1.0,27,0.321581
0.0,6,0.321907
0.0,37,0.323577
1.0,23,0.324641
0.0,7,0.325016
1.0,39,0.32676
1.0,28,0.328048
0.0,45,0.330056
0.0,66,0.332973
1.0,14,0.333649
0.0,35,0.335236
0.0,6,0.335563
0.0,80,0.339078
1.0,53,0.341428
1.0,26,0.342627
0.0,26,0.343814
0.0,59,0.346427
0.0,21,0.347404
0.0,3,0.347603
0.0,61,0.350305
0.0,7,0.35068
0.0,4,0.35092
0.0,10,0.351428
1.0,36,0.353052
0.0,12,0.353638
0.0,4,0.353882
0.0,55,0.356324
0.0,12,0.35691
0.0,5,0.357203
0.0,13,0.357832
0.0,24,0.358943
0.0,24,0.360063
0.0,9,0.360522
0.0,28,0.361803
0.0,38,0.363519
1.0,83,0.367162
0.0,22,0.368181
0.0,13,0.368811
0.0,13,0.36945
