#{"t_start": 1523134897.4540834, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,9,0.006404
0.0,10,0.006728
0.0,24,0.007332
0.0,6,0.007547
0.0,9,0.007808
0.0,32,0.008597
0.0,6,0.008791
0.0,3,0.008917
0.0,16,0.00933
0.0,3,0.009469
0.0,26,0.010106
0.0,9,0.01037
0.0,10,0.010672
0.0,8,0.010918
0.0,4,0.011065
1.0,24,0.011654
1.0,15,0.012037
0.0,18,0.012492
0.0,19,0.01296
0.0,11,0.013274
0.0,100,0.015537
0.0,13,0.015884
0.0,7,0.016113
0.0,4,0.016261
0.0,2,0.016362
0.0,25,0.016983
0.0,58,0.018343
0.0,27,0.019022
0.0,17,0.019476
0.0,13,0.019828
0.0,27,0.020489
0.0,12,0.020816
0.0,30,0.021538
0.0,13,0.021887
0.0,23,0.022468
0.0,31,0.023206
0.0,10,0.023496
0.0,21,0.024041
0.0,2,0.024153
0.0,99,0.026421
0.0,4,0.026581
0.0,34,0.027393
0.0,7,0.027615
1.0,28,0.028303
0.0,13,0.028663
0.0,9,0.028919
0.0,7,0.029136
0.0,6,0.029326
0.0,15,0.029726
0.0,27,0.030392
0.0,11,0.030717
0.0,18,0.031189
0.0,9,0.03146
0.0,33,0.032248
0.0,27,0.032918
0.0,22,0.033478
1.0,14,0.033859
0.0,7,0.034081
1.0,9,0.034345
0.0,18,0.034823
0.0,7,0.035049
0.0,9,0.035306
0.0,13,0.035668
0.0,27,0.036334
0.0,21,0.036867
0.0,30,0.037596
0.0,10,0.037882
0.0,5,0.038058
0.0,14,0.038436
0.0,11,0.038745
0.0,7,0.038969
0.0,17,0.039415
0.0,15,0.039813
0.0,14,0.040192
0.0,15,0.040591
0.0,9,0.040854
0.0,36,0.041717
0.0,12,0.042047
0.0,3,0.042175
0.0,20,0.0427
0.0,8,0.042951
0.0,28,0.043639
0.0,6,0.043839
0.0,6,0.044035
0.0,10,0.044312
0.0,19,0.044804
0.0,16,0.045215
0.0,17,0.045669
0.0,5,0.045849
0.0,21,0.046374
0.0,6,0.046582
0.0,28,0.047278
0.0,4,0.047435
0.0,3,0.04757
0.0,3,0.047697
0.0,41,0.048669
0.0,15,0.049065
0.0,34,0.049876
0.0,7,0.050096
0.0,29,0.050804
0.0,17,0.051245
0.0,12,0.051581
1.0,38,0.052483
1.0,14,0.052852
0.0,10,0.053139
0.0,25,0.053755
0.0,3,0.053883
0.0,60,0.055281
0.0,12,0.055627
0.0,69,0.057189
0.0,19,0.057697
0.0,25,0.0583
0.0,13,0.058657
1.0,23,0.059224
0.0,10,0.059511
0.0,50,0.06068
0.0,16,0.061094
0.0,28,0.061782
0.0,8,0.062016
0.0,31,0.062778
0.0,4,0.062934
0.0,100,0.065187
1.0,25,0.065831
1.0,30,0.066562
0.0,20,0.067054
0.0,2,0.067155
0.0,8,0.067394
0.0,32,0.068164
0.0,7,0.068387
0.0,20,0.068908
1.0,50,0.070073
0.0,16,0.070491
0.0,25,0.071095
0.0,5,0.071265
0.0,53,0.072492
0.0,10,0.072778
0.0,13,0.073139
0.0,4,0.073289
1.0,32,0.074066
0.0,24,0.074657
1.0,28,0.075353
1.0,25,0.075973
0.0,7,0.076189
0.0,13,0.07654
0.0,4,0.076696
0.0,9,0.07697
0.0,46,0.078037
0.0,37,0.07893
0.0,13,0.079277
0.0,20,0.079799
0.0,17,0.080239
0.0,30,0.080979
0.0,19,0.08147
0.0,25,0.082078
0.0,4,0.082224
0.0,45,0.083273
0.0,29,0.08398
0.0,2,0.084086
0.0,17,0.084538
0.0,17,0.08497
0.0,8,0.085209
0.0,21,0.085749
0.0,26,0.086377
1.0,38,0.08728
0.0,10,0.087575
0.0,16,0.087994
0.0,23,0.088578
0.0,11,0.088876
0.0,6,0.089067
0.0,28,0.089752
0.0,16,0.09017
0.0,23,0.090755
0.0,25,0.091385
0.0,18,0.09186
1.0,17,0.0923
0.0,10,0.092595
0.0,10,0.09288
0.0,11,0.093188
0.0,9,0.093471
0.0,3,0.093606
0.0,14,0.09398
0.0,7,0.094192
0.0,17,0.094648
0.0,5,0.094818
0.0,7,0.095028
0.0,12,0.095365
0.0,6,0.095572
0.0,22,0.096128
0.0,10,0.096413
0.0,7,0.096643
0.0,6,0.09684
1.0,35,0.097673
0.0,6,0.097873
0.0,15,0.098279
0.0,8,0.098532
0.0,11,0.098848
0.0,6,0.099041
