#{"t_start": 1523122726.6423502, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,12,0.002314
0.0,8,0.002964
0.0,21,0.004431
0.0,13,0.005406
0.0,12,0.006297
0.0,21,0.007776
0.0,12,0.008668
0.0,25,0.010396
1.0,10,0.011155
0.0,20,0.012574
0.0,98,0.017737
0.0,100,0.022161
0.0,52,0.024495
0.0,46,0.026564
0.0,26,0.027756
0.0,19,0.028651
0.0,28,0.029944
0.0,11,0.030485
0.0,14,0.031171
0.0,23,0.032246
0.0,5,0.032533
0.0,36,0.034173
0.0,15,0.034881
0.0,6,0.035221
0.0,16,0.035979
0.0,29,0.037299
1.0,69,0.040346
0.0,26,0.041537
1.0,9,0.042012
0.0,42,0.043886
0.0,18,0.044737
0.0,11,0.045299
0.0,14,0.045989
0.0,30,0.047356
0.0,17,0.04817
0.0,85,0.051888
1.0,10,0.052398
1.0,14,0.053079
0.0,9,0.053537
0.0,37,0.055213
0.0,27,0.056454
0.0,8,0.05687
0.0,10,0.057378
0.0,6,0.057707
0.0,6,0.058046
0.0,28,0.059339
0.0,59,0.061955
0.0,19,0.062849
0.0,40,0.064655
0.0,63,0.067445
0.0,78,0.070884
0.0,19,0.071779
1.0,9,0.072245
0.0,21,0.073226
0.0,19,0.074118
0.0,11,0.074661
0.0,57,0.077207
0.0,43,0.079129
0.0,13,0.079764
0.0,64,0.082615
0.0,51,0.084899
0.0,4,0.085156
0.0,38,0.086859
0.0,7,0.087242
0.0,14,0.087922
0.0,41,0.089756
0.0,12,0.090357
1.0,39,0.092107
0.0,54,0.094518
0.0,51,0.096794
0.0,24,0.09791
0.0,22,0.098932
0.0,43,0.100855
0.0,39,0.102618
0.0,6,0.103025
0.0,16,0.103779
0.0,31,0.105207
0.0,11,0.105751
0.0,18,0.106605
0.0,17,0.107422
0.0,24,0.108534
0.0,12,0.109135
0.0,20,0.110075
0.0,11,0.110612
0.0,14,0.111293
1.0,64,0.114139
1.0,10,0.114638
0.0,20,0.115571
0.0,10,0.116081
0.0,41,0.117934
0.0,17,0.118732
0.0,15,0.119469
0.0,27,0.120701
0.0,44,0.122663
0.0,40,0.124467
0.0,56,0.12695
0.0,30,0.128317
0.0,20,0.129256
1.0,36,0.130879
0.0,16,0.131635
0.0,20,0.132571
0.0,13,0.133212
0.0,11,0.13376
0.0,14,0.134439
0.0,18,0.135301
0.0,4,0.135543
0.0,5,0.135824
0.0,3,0.136034
0.0,29,0.137361
1.0,31,0.138774
1.0,41,0.140623
0.0,12,0.141218
0.0,15,0.141942
0.0,13,0.14257
0.0,15,0.143291
0.0,44,0.145269
0.0,13,0.145893
0.0,25,0.147063
0.0,23,0.14813
0.0,47,0.150244
1.0,28,0.151517
0.0,7,0.151884
0.0,17,0.152685
0.0,12,0.153281
0.0,19,0.154174
0.0,4,0.154417
0.0,32,0.155871
0.0,10,0.156379
0.0,6,0.156705
0.0,6,0.157045
0.0,9,0.157497
0.0,40,0.159302
0.0,21,0.160282
0.0,6,0.160608
0.0,19,0.161503
0.0,10,0.162015
0.0,86,0.165805
0.0,16,0.166572
0.0,9,0.167035
0.0,15,0.167744
0.0,7,0.168127
0.0,8,0.168541
0.0,39,0.170299
0.0,23,0.171362
1.0,21,0.172345
0.0,18,0.173195
0.0,22,0.174221
0.0,8,0.174633
0.0,5,0.174933
1.0,13,0.175566
0.0,12,0.176166
0.0,26,0.177355
0.0,14,0.178033
0.0,7,0.178406
0.0,12,0.178997
0.0,30,0.180358
0.0,43,0.182286
1.0,32,0.183728
0.0,9,0.184196
0.0,7,0.184568
