#{"t_start": 1523128486.6675236, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,100,0.009578
0.0,59,0.011265
0.0,4,0.011452
0.0,24,0.012202
0.0,7,0.012472
0.0,5,0.012679
0.0,20,0.013304
0.0,5,0.013519
0.0,17,0.014049
0.0,3,0.014203
0.0,20,0.014804
0.0,46,0.016145
0.0,44,0.017416
0.0,36,0.018474
0.0,24,0.019225
0.0,10,0.019585
0.0,25,0.020357
0.0,100,0.023136
0.0,22,0.023834
0.0,100,0.02659
0.0,18,0.027191
0.0,99,0.029919
0.0,6,0.03018
0.0,48,0.031539
0.0,70,0.033484
0.0,15,0.033967
0.0,20,0.034587
0.0,34,0.035612
0.0,91,0.038181
0.0,14,0.038628
0.0,24,0.039359
0.0,47,0.040708
0.0,24,0.041439
0.0,100,0.044197
0.0,22,0.044871
0.0,6,0.04513
0.0,23,0.045831
0.0,74,0.047916
0.0,24,0.04865
0.0,13,0.049088
0.0,41,0.050295
0.0,23,0.050993
0.0,14,0.051455
1.0,22,0.052147
0.0,38,0.053243
1.0,25,0.053981
0.0,33,0.054945
1.0,33,0.055907
0.0,10,0.056268
1.0,55,0.057817
0.0,20,0.058443
0.0,33,0.059407
0.0,36,0.060462
1.0,14,0.060913
1.0,28,0.061743
0.0,77,0.06389
0.0,22,0.064595
0.0,45,0.065889
0.0,20,0.066521
0.0,6,0.066767
0.0,5,0.066987
0.0,26,0.067783
1.0,36,0.068824
0.0,10,0.069186
1.0,12,0.06958
0.0,18,0.070162
1.0,23,0.070872
0.0,40,0.072053
0.0,43,0.07329
0.0,22,0.073961
1.0,14,0.074426
0.0,3,0.074583
0.0,38,0.075692
0.0,6,0.075932
1.0,14,0.076388
1.0,15,0.076867
0.0,38,0.077992
0.0,30,0.078895
0.0,48,0.080297
0.0,27,0.081111
0.0,47,0.08247
0.0,16,0.082994
1.0,70,0.084954
0.0,32,0.085921
1.0,16,0.086491
0.0,39,0.087606
0.0,12,0.088028
1.0,28,0.088856
0.0,20,0.089485
0.0,7,0.089757
1.0,29,0.090631
0.0,15,0.091143
0.0,35,0.092175
0.0,18,0.092729
1.0,32,0.093679
0.0,42,0.094881
1.0,24,0.0956
1.0,11,0.095962
0.0,35,0.096969
0.0,76,0.099115
0.0,4,0.099297
0.0,24,0.100018
0.0,33,0.100986
0.0,8,0.101295
1.0,12,0.101696
0.0,3,0.101852
0.0,18,0.102431
0.0,23,0.103129
0.0,19,0.103716
0.0,29,0.104583
0.0,21,0.105242
0.0,36,0.106307
1.0,30,0.107202
1.0,40,0.108455
1.0,27,0.109325
1.0,27,0.110151
1.0,24,0.110867
0.0,26,0.111671
1.0,52,0.11318
0.0,12,0.113576
0.0,58,0.115258
0.0,12,0.115655
0.0,35,0.11666
0.0,44,0.11794
0.0,27,0.118778
1.0,11,0.119167
0.0,6,0.119399
0.0,6,0.119632
0.0,17,0.120195
0.0,11,0.120569
0.0,69,0.122547
0.0,8,0.122833
0.0,19,0.123426
0.0,17,0.123956
1.0,16,0.124482
1.0,8,0.124766
0.0,63,0.126568
1.0,32,0.127533
0.0,16,0.12806
0.0,17,0.128611
1.0,64,0.130507
0.0,7,0.130786
1.0,76,0.132975
0.0,21,0.133636
0.0,24,0.134385
0.0,24,0.135138
0.0,17,0.135724
0.0,11,0.136151
1.0,14,0.136597
0.0,58,0.138284
0.0,14,0.138743
0.0,9,0.139066
0.0,28,0.139903
1.0,13,0.140342
0.0,7,0.140609
0.0,17,0.141166
0.0,14,0.14162
1.0,64,0.143423
0.0,33,0.144396
0.0,10,0.144733
0.0,44,0.14602
0.0,20,0.146636
0.0,20,0.147265
1.0,20,0.147873
1.0,48,0.149243
0.0,9,0.149564
0.0,11,0.14993
1.0,18,0.150513
0.0,19,0.151117
1.0,58,0.152758
1.0,28,0.15361
0.0,27,0.154413
0.0,24,0.155146
0.0,18,0.155712
0.0,20,0.156348
0.0,21,0.15699
1.0,42,0.158217
0.0,16,0.158723
1.0,26,0.159531
0.0,33,0.160515
0.0,8,0.160804
0.0,53,0.162305
0.0,82,0.164589
1.0,13,0.165017
0.0,3,0.165169
1.0,52,0.166655
0.0,13,0.167095
0.0,27,0.167913
0.0,13,0.168356
0.0,14,0.168807
0.0,6,0.169054
0.0,3,0.169214
0.0,25,0.169971
0.0,24,0.170696
1.0,9,0.171033
0.0,43,0.172265
0.0,34,0.173266
1.0,52,0.174747
0.0,11,0.175127
0.0,11,0.175509
0.0,17,0.176055
0.0,100,0.178829
0.0,34,0.179837
0.0,3,0.179991
1.0,95,0.18267
0.0,16,0.1832
0.0,3,0.183359
0.0,3,0.18351
0.0,31,0.18443
0.0,25,0.185196
0.0,29,0.18614
0.0,19,0.186732
1.0,22,0.187413
0.0,10,0.187763
1.0,55,0.189306
1.0,23,0.190032
0.0,24,0.190784
0.0,7,0.191071
0.0,28,0.191892
0.0,20,0.192538
1.0,20,0.193168
0.0,5,0.193378
0.0,13,0.193806
1.0,11,0.194196
1.0,14,0.194649
0.0,16,0.195153
0.0,11,0.195532
1.0,16,0.196067
0.0,9,0.196393
0.0,9,0.196712
0.0,6,0.19695
0.0,78,0.199165
1.0,20,0.199788
0.0,57,0.20141
0.0,49,0.202821
0.0,13,0.203266
0.0,7,0.203525
0.0,23,0.204244
0.0,7,0.204504
0.0,14,0.204954
