#{"t_start": 1523136308.8600667, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,5,0.006256
0.0,5,0.006448
0.0,4,0.006615
0.0,5,0.006789
0.0,10,0.007078
0.0,4,0.00723
0.0,7,0.007441
0.0,7,0.007677
0.0,10,0.007969
0.0,28,0.008667
0.0,7,0.008891
0.0,6,0.009083
0.0,27,0.009752
0.0,44,0.01079
0.0,17,0.011237
0.0,10,0.01153
0.0,7,0.01175
0.0,7,0.011973
0.0,5,0.012168
0.0,9,0.012453
0.0,33,0.013285
0.0,6,0.013501
0.0,70,0.015101
0.0,24,0.015746
1.0,42,0.016765
0.0,18,0.017226
1.0,37,0.018136
0.0,8,0.01837
0.0,60,0.019807
1.0,16,0.020211
1.0,25,0.020829
0.0,25,0.02144
0.0,13,0.021803
0.0,13,0.022151
0.0,14,0.022542
0.0,17,0.022978
0.0,25,0.023611
0.0,20,0.024111
0.0,45,0.025169
0.0,23,0.025741
1.0,17,0.026178
0.0,19,0.026687
0.0,4,0.026836
0.0,32,0.027633
0.0,26,0.028268
0.0,14,0.028646
0.0,3,0.02878
0.0,13,0.029143
0.0,23,0.029703
0.0,16,0.030119
0.0,2,0.030224
0.0,37,0.031113
0.0,20,0.031607
0.0,24,0.032188
0.0,8,0.032421
0.0,6,0.032619
1.0,32,0.033372
0.0,9,0.033634
1.0,16,0.034041
0.0,36,0.034904
0.0,20,0.03541
0.0,11,0.035735
0.0,5,0.035906
0.0,4,0.036059
1.0,18,0.036536
0.0,2,0.036644
0.0,23,0.037206
0.0,6,0.037402
0.0,100,0.03959
1.0,31,0.040314
0.0,18,0.040778
0.0,11,0.04108
0.0,5,0.041257
0.0,5,0.041435
0.0,27,0.04208
0.0,6,0.042271
0.0,6,0.042476
0.0,22,0.043033
0.0,59,0.044376
0.0,24,0.044996
0.0,2,0.045103
0.0,14,0.045479
0.0,3,0.045613
0.0,10,0.045889
0.0,26,0.046533
0.0,8,0.046771
0.0,4,0.046924
0.0,15,0.04731
1.0,46,0.048357
0.0,51,0.04953
1.0,23,0.050089
0.0,16,0.050505
0.0,19,0.050972
0.0,8,0.051208
0.0,8,0.051439
0.0,33,0.052219
0.0,20,0.052737
0.0,15,0.053134
0.0,57,0.054422
0.0,2,0.054537
0.0,9,0.054789
0.0,2,0.054891
0.0,7,0.055099
0.0,34,0.055893
0.0,22,0.056434
0.0,80,0.05823
0.0,27,0.058877
0.0,8,0.059114
0.0,24,0.059699
0.0,45,0.06075
0.0,9,0.061016
0.0,23,0.061587
0.0,21,0.062111
0.0,11,0.062412
0.0,6,0.06261
0.0,23,0.06318
0.0,13,0.063533
0.0,10,0.063816
0.0,4,0.063972
0.0,5,0.064141
0.0,37,0.065011
0.0,8,0.065246
0.0,34,0.066038
0.0,5,0.066209
0.0,5,0.066384
0.0,14,0.066765
0.0,19,0.067245
0.0,15,0.067651
0.0,3,0.067784
0.0,15,0.068175
0.0,10,0.068458
0.0,13,0.068844
0.0,5,0.069013
0.0,47,0.070111
0.0,35,0.070949
0.0,9,0.071203
