#{"t_start": 1523135727.0447848, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.033161
0.0,5,0.033612
0.0,2,0.033859
0.0,11,0.034698
0.0,5,0.035127
0.0,4,0.035486
0.0,8,0.036124
0.0,4,0.036485
0.0,12,0.03737
0.0,4,0.037745
0.0,14,0.038771
0.0,16,0.039925
0.0,9,0.040617
0.0,4,0.040998
0.0,9,0.041686
0.0,14,0.04271
0.0,12,0.043342
0.0,21,0.044315
1.0,34,0.045859
0.0,6,0.046187
1.0,32,0.047639
0.0,8,0.048054
1.0,39,0.049811
1.0,33,0.051301
0.0,12,0.051898
0.0,28,0.053183
0.0,8,0.053596
1.0,22,0.054624
0.0,57,0.057161
0.0,25,0.058316
0.0,28,0.059587
0.0,87,0.063408
0.0,43,0.065339
1.0,12,0.065931
0.0,13,0.066556
1.0,15,0.067273
0.0,100,0.071658
0.0,67,0.074603
1.0,21,0.075575
0.0,4,0.075825
0.0,15,0.076534
1.0,36,0.078161
0.0,2,0.07832
0.0,3,0.07852
0.0,3,0.078729
0.0,3,0.078926
0.0,11,0.079462
1.0,34,0.081003
1.0,19,0.081889
1.0,28,0.083197
0.0,36,0.084822
0.0,12,0.085406
0.0,31,0.086828
0.0,21,0.087807
1.0,20,0.088748
0.0,6,0.089076
0.0,2,0.08923
1.0,41,0.091067
0.0,27,0.092298
0.0,28,0.093583
0.0,17,0.094398
1.0,20,0.095334
1.0,19,0.096229
1.0,10,0.09674
1.0,41,0.098577
0.0,4,0.098827
0.0,3,0.099024
0.0,26,0.100208
0.0,5,0.100494
1.0,11,0.10106
0.0,5,0.101343
0.0,15,0.102069
1.0,22,0.1031
1.0,26,0.104292
0.0,15,0.10501
0.0,62,0.107759
0.0,6,0.108084
0.0,9,0.108541
0.0,32,0.109988
1.0,17,0.110798
0.0,6,0.111125
0.0,6,0.111453
1.0,8,0.111873
0.0,5,0.112159
0.0,7,0.112532
1.0,52,0.114852
0.0,22,0.115862
0.0,4,0.116105
1.0,14,0.116776
0.0,15,0.117494
1.0,7,0.117875
0.0,11,0.118418
0.0,6,0.11876
0.0,5,0.119046
0.0,21,0.120017
0.0,11,0.120559
0.0,14,0.121236
0.0,9,0.121704
1.0,36,0.123332
0.0,3,0.12353
1.0,42,0.125423
0.0,13,0.12606
0.0,6,0.126386
1.0,13,0.127017
0.0,31,0.128423
0.0,4,0.128677
0.0,2,0.128834
1.0,21,0.129807
1.0,24,0.130917
0.0,18,0.131775
1.0,26,0.132981
0.0,12,0.133643
0.0,9,0.134105
0.0,9,0.134563
0.0,4,0.134814
0.0,18,0.135672
0.0,2,0.135826
0.0,4,0.136069
1.0,48,0.138207
1.0,12,0.138799
1.0,18,0.139651
0.0,25,0.140809
1.0,20,0.141747
0.0,4,0.14199
0.0,2,0.142147
1.0,24,0.143262
0.0,4,0.143505
0.0,8,0.143935
1.0,12,0.144516
1.0,24,0.145625
1.0,15,0.146345
0.0,34,0.147892
0.0,2,0.148047
1.0,13,0.148686
0.0,22,0.149706
0.0,2,0.149864
0.0,30,0.151224
0.0,37,0.152908
1.0,52,0.155228
0.0,18,0.156086
1.0,33,0.157577
0.0,10,0.158085
0.0,17,0.158887
1.0,13,0.159514
0.0,8,0.15994
0.0,14,0.160612
1.0,12,0.161206
0.0,32,0.162667
0.0,20,0.163611
1.0,33,0.165112
0.0,11,0.165668
0.0,5,0.165957
0.0,10,0.166457
0.0,3,0.166665
1.0,22,0.167684
0.0,2,0.167843
0.0,12,0.168422
0.0,45,0.17043
0.0,24,0.171532
0.0,35,0.173125
1.0,14,0.173807
0.0,12,0.174387
1.0,23,0.175451
0.0,33,0.176954
1.0,32,0.178407
0.0,25,0.179559
0.0,2,0.179725
0.0,7,0.180093
0.0,32,0.181541
0.0,28,0.182837
1.0,46,0.184895
0.0,6,0.185225
0.0,8,0.18565
1.0,18,0.186493
1.0,13,0.187129
1.0,31,0.188539
0.0,19,0.189436
0.0,4,0.189691
0.0,35,0.191263
0.0,8,0.191687
0.0,19,0.192562
0.0,7,0.192952
0.0,7,0.19332
1.0,44,0.195289
0.0,7,0.195674
1.0,8,0.196089
0.0,2,0.196246
1.0,19,0.197141
0.0,3,0.19734
0.0,10,0.197845
0.0,2,0.198006
0.0,43,0.199937
0.0,29,0.201258
0.0,40,0.203073
0.0,12,0.203671
0.0,9,0.204125
1.0,16,0.204893
0.0,15,0.205607
0.0,18,0.206459
0.0,9,0.206934
0.0,7,0.207307
0.0,6,0.207643
1.0,26,0.208834
1.0,17,0.209644
1.0,10,0.210155
0.0,35,0.211741
1.0,34,0.213277
0.0,45,0.215287
0.0,35,0.216872
1.0,8,0.217283
1.0,18,0.218134
0.0,11,0.21869
0.0,20,0.219613
0.0,28,0.220901
0.0,4,0.221146
0.0,38,0.222876
0.0,5,0.223161
0.0,5,0.223442
1.0,22,0.224461
1.0,29,0.225801
0.0,25,0.226954
1.0,18,0.227802
1.0,15,0.228517
0.0,45,0.230531
0.0,13,0.231178
0.0,4,0.231419
0.0,22,0.232442
1.0,17,0.233261
1.0,33,0.234821
1.0,62,0.237546
1.0,12,0.238147
0.0,2,0.238304
0.0,2,0.238456
0.0,31,0.239877
0.0,14,0.240551
1.0,31,0.24197
1.0,11,0.242506
1.0,28,0.243797
0.0,25,0.244947
0.0,15,0.245669
1.0,19,0.246543
1.0,23,0.247604
1.0,11,0.248149
