#{"t_start": 1523135947.0572813, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,5,0.006181
0.0,4,0.006346
0.0,2,0.006453
0.0,6,0.006642
0.0,3,0.006775
0.0,5,0.006968
0.0,2,0.007071
0.0,17,0.00749
0.0,4,0.007634
0.0,3,0.007756
0.0,44,0.008781
0.0,19,0.009263
0.0,13,0.009609
0.0,9,0.009879
0.0,17,0.010308
0.0,12,0.010638
1.0,10,0.010925
0.0,4,0.011077
0.0,19,0.011552
1.0,19,0.012037
0.0,20,0.012543
1.0,28,0.013234
0.0,8,0.013482
0.0,18,0.013963
0.0,12,0.014295
0.0,16,0.014705
0.0,35,0.015531
1.0,63,0.016972
0.0,21,0.017497
0.0,4,0.017646
1.0,24,0.018232
0.0,20,0.018718
1.0,38,0.019608
0.0,25,0.020215
0.0,14,0.020581
0.0,32,0.021339
1.0,33,0.02213
0.0,10,0.022406
0.0,16,0.022834
0.0,17,0.023274
0.0,17,0.023714
0.0,24,0.024312
0.0,23,0.024894
0.0,18,0.025352
0.0,6,0.02554
0.0,11,0.025853
0.0,33,0.026635
1.0,15,0.02704
1.0,20,0.027561
0.0,15,0.02796
0.0,8,0.028193
0.0,17,0.028613
0.0,29,0.029306
0.0,6,0.029494
1.0,56,0.030757
1.0,17,0.031188
0.0,4,0.031331
0.0,29,0.03203
0.0,10,0.032305
0.0,13,0.032655
0.0,23,0.033243
1.0,48,0.034358
1.0,73,0.03605
0.0,14,0.03642
0.0,11,0.036719
1.0,26,0.037365
0.0,2,0.037473
1.0,48,0.038607
0.0,37,0.039498
1.0,25,0.040134
0.0,5,0.040304
1.0,12,0.040628
0.0,3,0.04075
1.0,18,0.041208
0.0,9,0.041471
1.0,14,0.041842
1.0,13,0.042178
1.0,9,0.042435
1.0,31,0.04319
1.0,9,0.043444
1.0,14,0.043819
0.0,41,0.04478
0.0,14,0.04515
0.0,23,0.045702
0.0,29,0.046399
0.0,18,0.046866
0.0,11,0.047171
0.0,2,0.047272
0.0,12,0.047595
0.0,21,0.048124
0.0,34,0.048938
0.0,32,0.049692
0.0,13,0.050044
0.0,17,0.050486
1.0,26,0.051131
0.0,22,0.051677
0.0,4,0.051834
0.0,28,0.052498
1.0,30,0.053223
1.0,8,0.053462
0.0,10,0.053741
1.0,41,0.054692
1.0,13,0.055042
0.0,9,0.055291
1.0,11,0.055592
1.0,11,0.055895
0.0,8,0.056128
1.0,24,0.056717
1.0,32,0.057478
1.0,17,0.057917
1.0,41,0.058891
0.0,17,0.059325
0.0,8,0.059564
0.0,6,0.059762
0.0,5,0.059937
0.0,22,0.060481
1.0,25,0.061086
0.0,57,0.062385
0.0,27,0.06305
0.0,9,0.063304
0.0,14,0.063669
0.0,13,0.06403
0.0,32,0.064803
0.0,13,0.065153
0.0,6,0.065346
0.0,31,0.066101
0.0,7,0.066316
1.0,42,0.067312
1.0,72,0.068962
0.0,9,0.069223
1.0,23,0.069787
1.0,15,0.070191
0.0,30,0.070922
0.0,2,0.071025
0.0,24,0.071606
1.0,16,0.072019
0.0,2,0.072123
0.0,100,0.074363
1.0,27,0.075023
0.0,36,0.075887
0.0,12,0.076214
0.0,15,0.076601
0.0,9,0.076869
0.0,32,0.077626
0.0,46,0.078706
0.0,7,0.07894
1.0,77,0.080678
0.0,27,0.081334
1.0,90,0.08335
0.0,18,0.083803
0.0,3,0.083935
0.0,18,0.084399
0.0,21,0.084933
1.0,68,0.086462
0.0,10,0.086736
0.0,2,0.086845
0.0,5,0.087012
0.0,2,0.087111
1.0,30,0.087832
0.0,29,0.088522
0.0,6,0.088719
1.0,25,0.089332
0.0,5,0.089505
0.0,6,0.089703
1.0,66,0.091231
0.0,16,0.091634
1.0,10,0.091921
1.0,18,0.092386
1.0,7,0.092599
0.0,18,0.093065
0.0,17,0.093501
1.0,9,0.093753
0.0,4,0.093904
1.0,33,0.094687
1.0,30,0.095413
0.0,2,0.095519
0.0,2,0.095621
0.0,7,0.095847
1.0,21,0.096375
1.0,26,0.097028
0.0,9,0.09729
0.0,8,0.097529
1.0,95,0.099689
0.0,9,0.099957
0.0,8,0.100197
0.0,34,0.101011
0.0,8,0.101249
0.0,30,0.101974
0.0,7,0.102192
0.0,2,0.102297
1.0,19,0.102772
0.0,70,0.104381
0.0,6,0.104573
0.0,38,0.105479
0.0,3,0.105608
0.0,28,0.106296
0.0,21,0.106895
1.0,16,0.107311
1.0,12,0.107625
0.0,20,0.108129
0.0,10,0.108413
0.0,3,0.108537
1.0,42,0.109508
1.0,27,0.110161
0.0,16,0.110574
1.0,56,0.111855
0.0,15,0.112244
0.0,14,0.112613
0.0,9,0.112884
0.0,3,0.113008
1.0,60,0.114378
0.0,10,0.114665
1.0,16,0.115088
0.0,19,0.115558
1.0,30,0.116275
0.0,4,0.116419
0.0,10,0.116695
0.0,23,0.117268
0.0,14,0.117633
0.0,9,0.117903
0.0,7,0.118124
0.0,10,0.118405
1.0,82,0.12024
1.0,33,0.121018
1.0,60,0.122376
0.0,24,0.122983
1.0,11,0.123288
1.0,69,0.124852
1.0,19,0.125327
1.0,17,0.125757
0.0,6,0.125963
0.0,4,0.126111
0.0,13,0.12646
0.0,9,0.126722
1.0,29,0.127423
0.0,34,0.12823
1.0,23,0.128799
0.0,33,0.129565
1.0,22,0.130122
1.0,29,0.130837
0.0,9,0.13109
0.0,4,0.131238
0.0,13,0.131585
0.0,28,0.132279
0.0,22,0.132832
0.0,2,0.132939
1.0,52,0.134146
1.0,23,0.134695
1.0,41,0.135655
0.0,8,0.135902
1.0,18,0.136353
0.0,2,0.136451
0.0,17,0.136885
1.0,32,0.137645
0.0,12,0.137975
0.0,4,0.138122
0.0,72,0.139756
1.0,23,0.140326
1.0,24,0.140931
0.0,72,0.142565
0.0,100,0.144823
1.0,19,0.145302
0.0,3,0.14543
1.0,23,0.145993
0.0,23,0.146563
0.0,5,0.146735
1.0,60,0.14812
1.0,28,0.148806
1.0,22,0.149353
0.0,75,0.151072
0.0,27,0.151726
0.0,21,0.152256
0.0,50,0.153422
0.0,7,0.15364
0.0,23,0.15423
1.0,9,0.154493
0.0,15,0.154893
1.0,6,0.155091
0.0,3,0.155214
0.0,7,0.155432
0.0,23,0.156018
1.0,12,0.156345
0.0,37,0.157224
0.0,4,0.157371
0.0,25,0.157997
1.0,24,0.158595
1.0,36,0.159452
0.0,13,0.159806
0.0,6,0.160002
