#{"t_start": 1522233506.7690935, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,9,0.025807
0.0,7,0.026376
0.0,4,0.026741
0.0,15,0.027561
0.0,14,0.028255
0.0,8,0.02868
0.0,11,0.029243
0.0,9,0.029707
0.0,18,0.030562
0.0,5,0.030865
0.0,2,0.031023
0.0,13,0.031661
0.0,21,0.032655
0.0,27,0.033921
0.0,18,0.034782
0.0,2,0.034943
0.0,14,0.035618
1.0,23,0.036687
0.0,29,0.038039
0.0,21,0.039029
0.0,13,0.039665
0.0,32,0.041152
0.0,16,0.04193
0.0,28,0.04323
0.0,9,0.043694
0.0,2,0.04386
0.0,12,0.044452
0.0,21,0.045444
0.0,28,0.046747
0.0,10,0.047267
0.0,5,0.047554
0.0,10,0.048071
1.0,22,0.049111
0.0,3,0.049314
0.0,20,0.050266
0.0,2,0.050426
1.0,14,0.051112
0.0,11,0.051659
0.0,16,0.052434
0.0,5,0.052725
0.0,9,0.053198
0.0,5,0.053486
0.0,39,0.055271
0.0,11,0.055832
0.0,2,0.05599
0.0,4,0.056232
0.0,32,0.057704
0.0,21,0.0587
0.0,7,0.05909
0.0,12,0.05968
0.0,12,0.06028
0.0,10,0.060797
0.0,10,0.061302
0.0,9,0.061769
0.0,41,0.063632
0.0,17,0.064457
0.0,13,0.065105
0.0,55,0.067588
0.0,7,0.067976
0.0,3,0.06818
0.0,27,0.069436
0.0,15,0.070175
0.0,5,0.070463
0.0,7,0.07085
0.0,10,0.071355
0.0,3,0.071555
0.0,16,0.072334
0.0,29,0.073663
0.0,31,0.075094
1.0,45,0.077144
0.0,8,0.077565
1.0,19,0.078469
0.0,4,0.078713
0.0,12,0.079321
0.0,4,0.079565
0.0,24,0.080689
0.0,12,0.081287
0.0,21,0.082288
0.0,3,0.082492
0.0,33,0.084003
0.0,36,0.085641
0.0,3,0.085856
0.0,18,0.086709
0.0,56,0.089225
0.0,22,0.090258
0.0,2,0.090416
0.0,23,0.091489
1.0,33,0.093007
0.0,17,0.093826
0.0,35,0.095426
0.0,50,0.097693
0.0,10,0.098213
0.0,23,0.099289
0.0,34,0.100847
0.0,16,0.101612
0.0,21,0.102597
0.0,3,0.102812
0.0,8,0.103233
0.0,5,0.103518
0.0,12,0.104121
0.0,15,0.104855
0.0,15,0.105573
0.0,25,0.106729
0.0,2,0.1069
0.0,7,0.107272
1.0,19,0.108183
1.0,8,0.108601
0.0,12,0.109204
0.0,6,0.109535
0.0,40,0.111358
0.0,14,0.112048
0.0,9,0.112509
0.0,5,0.112806
0.0,4,0.113051
