#{"t_start": 1523136567.9531767, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,95,0.062976
0.0,51,0.066049
0.0,16,0.066823
0.0,3,0.067027
0.0,24,0.068141
0.0,41,0.069961
0.0,20,0.070894
0.0,14,0.071578
0.0,2,0.071738
0.0,88,0.075607
0.0,100,0.079991
0.0,3,0.080206
0.0,13,0.080827
0.0,21,0.081798
0.0,2,0.081958
0.0,4,0.08221
0.0,6,0.082541
0.0,61,0.085255
0.0,42,0.087149
0.0,69,0.09019
0.0,24,0.091296
1.0,23,0.09236
0.0,11,0.092901
0.0,8,0.093326
0.0,19,0.094221
0.0,92,0.098257
0.0,90,0.102273
0.0,11,0.102818
0.0,20,0.103755
0.0,71,0.106942
0.0,5,0.107242
0.0,47,0.109337
0.0,44,0.111329
0.0,10,0.111828
0.0,7,0.11221
0.0,32,0.113658
0.0,4,0.113904
0.0,100,0.118305
0.0,28,0.119575
0.0,70,0.122647
1.0,45,0.124665
0.0,61,0.127371
0.0,59,0.129976
0.0,9,0.130442
0.0,17,0.131253
0.0,32,0.132718
0.0,18,0.133575
0.0,4,0.133821
0.0,27,0.135055
0.0,8,0.135488
1.0,14,0.136171
1.0,17,0.136966
0.0,18,0.137814
0.0,9,0.138279
0.0,3,0.138479
1.0,41,0.140325
1.0,35,0.141897
0.0,6,0.142239
0.0,13,0.142861
0.0,14,0.143544
1.0,7,0.143916
0.0,30,0.145302
1.0,16,0.146066
0.0,12,0.146658
0.0,46,0.148705
0.0,26,0.149902
0.0,2,0.150064
0.0,5,0.15036
0.0,25,0.151512
0.0,3,0.151713
0.0,4,0.151956
0.0,6,0.152294
0.0,29,0.153609
0.0,21,0.154587
0.0,23,0.15566
0.0,2,0.155817
0.0,59,0.158428
0.0,22,0.159511
0.0,32,0.160964
1.0,36,0.162585
0.0,100,0.166946
0.0,3,0.167156
0.0,63,0.169924
0.0,26,0.171124
1.0,15,0.171827
1.0,22,0.172845
0.0,8,0.17327
0.0,26,0.174467
1.0,57,0.17699
1.0,27,0.178226
1.0,21,0.179198
1.0,36,0.180808
0.0,8,0.181519
0.0,6,0.181854
1.0,32,0.183343
0.0,11,0.183885
0.0,2,0.184042
0.0,18,0.184903
0.0,10,0.185421
0.0,29,0.186739
0.0,19,0.187629
0.0,19,0.188523
0.0,7,0.188894
0.0,3,0.189092
0.0,17,0.1899
1.0,70,0.192972
0.0,14,0.193657
0.0,29,0.194983
0.0,7,0.195369
1.0,25,0.19651
0.0,11,0.197055
1.0,17,0.197869
1.0,59,0.2005
0.0,25,0.201652
0.0,13,0.202292
0.0,4,0.202537
1.0,46,0.204608
0.0,6,0.204939
0.0,3,0.205156
0.0,4,0.205399
0.0,75,0.208699
0.0,29,0.21002
0.0,15,0.210741
0.0,33,0.212245
1.0,33,0.21374
0.0,12,0.214333
1.0,35,0.21592
0.0,17,0.21673
0.0,3,0.21693
1.0,66,0.219831
0.0,22,0.220851
0.0,17,0.221663
0.0,49,0.223842
0.0,11,0.224391
0.0,31,0.225811
0.0,19,0.226701
0.0,8,0.227129
0.0,8,0.227544
0.0,6,0.227875
1.0,17,0.228679
1.0,32,0.230129
0.0,10,0.230629
0.0,15,0.231351
0.0,6,0.23168
1.0,10,0.232187
1.0,20,0.233108
0.0,85,0.236834
0.0,8,0.237266
0.0,8,0.237682
0.0,16,0.238452
0.0,65,0.241319
0.0,10,0.241815
0.0,73,0.245016
1.0,32,0.246481
1.0,77,0.249866
0.0,14,0.250549
0.0,37,0.252232
1.0,43,0.254147
0.0,13,0.254771
0.0,4,0.255012
0.0,19,0.255916
0.0,4,0.256169
0.0,14,0.256839
0.0,12,0.257429
0.0,9,0.25789
0.0,15,0.258616
0.0,5,0.25896
0.0,12,0.25955
0.0,15,0.260267
0.0,9,0.260721
0.0,12,0.261314
0.0,15,0.262028
0.0,42,0.263941
0.0,8,0.264371
0.0,22,0.265398
0.0,3,0.2656
0.0,6,0.26593
0.0,2,0.266086
0.0,2,0.266249
0.0,30,0.267608
0.0,42,0.269493
0.0,25,0.270648
0.0,20,0.271588
0.0,16,0.272352
0.0,6,0.272678
0.0,15,0.273399
