#{"t_start": 1523136267.4605513, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.006388
0.0,20,0.00691
0.0,18,0.007375
0.0,4,0.007527
0.0,6,0.007719
0.0,9,0.007993
0.0,2,0.008102
0.0,20,0.008592
0.0,51,0.009701
0.0,21,0.01022
0.0,21,0.010711
0.0,2,0.010821
0.0,20,0.011309
0.0,10,0.011581
0.0,3,0.011708
0.0,7,0.011915
0.0,27,0.01254
0.0,12,0.012843
0.0,26,0.013446
0.0,22,0.013964
0.0,19,0.014411
0.0,40,0.015291
0.0,68,0.016723
1.0,14,0.017101
0.0,3,0.017232
0.0,4,0.017375
0.0,25,0.017953
0.0,6,0.018137
0.0,10,0.018412
1.0,27,0.019037
0.0,100,0.021161
1.0,43,0.02213
0.0,32,0.022863
0.0,15,0.023302
0.0,48,0.024344
0.0,45,0.025309
0.0,24,0.025859
0.0,25,0.026451
0.0,2,0.026557
0.0,36,0.027366
0.0,19,0.02782
1.0,10,0.028103
0.0,2,0.028204
0.0,16,0.028593
1.0,26,0.029189
0.0,16,0.02957
0.0,24,0.030142
0.0,27,0.030767
0.0,16,0.031204
0.0,17,0.03163
0.0,9,0.031876
1.0,18,0.032326
0.0,31,0.033031
0.0,12,0.033348
1.0,35,0.034137
0.0,34,0.034903
0.0,76,0.036532
0.0,19,0.036989
0.0,6,0.037179
1.0,27,0.037797
0.0,2,0.037902
0.0,3,0.038044
0.0,28,0.03868
0.0,30,0.039355
0.0,22,0.039881
0.0,31,0.040574
0.0,3,0.040703
0.0,4,0.040846
0.0,19,0.041304
0.0,17,0.041723
0.0,10,0.041998
0.0,23,0.042525
0.0,3,0.042652
0.0,66,0.044083
1.0,27,0.04469
0.0,50,0.045785
0.0,13,0.046124
0.0,5,0.046292
0.0,9,0.046546
1.0,28,0.047197
0.0,56,0.048409
1.0,13,0.048733
0.0,10,0.049002
0.0,75,0.0506
0.0,28,0.051262
0.0,12,0.0516
0.0,8,0.051835
0.0,9,0.052121
0.0,2,0.052233
0.0,5,0.052423
0.0,36,0.053215
0.0,16,0.053601
1.0,36,0.054403
0.0,16,0.054785
1.0,21,0.055284
0.0,45,0.056268
0.0,8,0.056497
0.0,2,0.056597
0.0,19,0.05706
0.0,14,0.057401
0.0,4,0.057547
1.0,33,0.058308
0.0,8,0.058546
0.0,11,0.058827
0.0,40,0.059706
0.0,9,0.059965
0.0,8,0.060197
0.0,25,0.060771
0.0,23,0.061316
0.0,17,0.061725
0.0,46,0.062723
0.0,8,0.062956
0.0,4,0.063108
0.0,26,0.063704
0.0,14,0.064052
0.0,6,0.064233
1.0,25,0.064794
0.0,20,0.065292
1.0,26,0.065916
1.0,18,0.066353
0.0,22,0.066863
0.0,11,0.067148
0.0,9,0.067394
0.0,9,0.067634
0.0,3,0.067758
0.0,5,0.067924
1.0,17,0.068344
1.0,30,0.069042
0.0,8,0.069271
0.0,7,0.069474
1.0,14,0.069824
0.0,15,0.070217
0.0,14,0.070567
0.0,18,0.071012
0.0,27,0.071635
1.0,11,0.071923
0.0,39,0.072782
0.0,40,0.073669
0.0,4,0.073818
0.0,38,0.074677
0.0,27,0.075291
1.0,43,0.076224
0.0,12,0.076536
0.0,17,0.076952
0.0,10,0.077225
0.0,2,0.077326
0.0,6,0.077512
0.0,78,0.079168
0.0,42,0.080074
1.0,53,0.081224
1.0,35,0.082042
1.0,29,0.082683
0.0,41,0.083579
0.0,4,0.083724
0.0,28,0.084355
1.0,27,0.084983
1.0,32,0.085704
0.0,4,0.085846
0.0,20,0.086346
0.0,9,0.086593
0.0,4,0.086736
1.0,24,0.087293
0.0,14,0.087641
0.0,24,0.088187
0.0,23,0.088716
0.0,17,0.089136
0.0,9,0.089385
0.0,19,0.089836
0.0,21,0.090348
0.0,24,0.09091
0.0,6,0.091098
0.0,8,0.091318
0.0,14,0.091662
0.0,20,0.092144
0.0,13,0.09248
0.0,8,0.092705
1.0,13,0.093043
0.0,10,0.093314
0.0,4,0.093455
0.0,3,0.093576
0.0,13,0.093903
0.0,14,0.094265
0.0,7,0.094475
0.0,8,0.094703
0.0,20,0.095193
1.0,32,0.095901
0.0,5,0.096069
0.0,54,0.097235
0.0,28,0.097865
0.0,36,0.098676
0.0,4,0.098824
0.0,22,0.099388
0.0,14,0.099748
0.0,35,0.100591
1.0,16,0.100997
0.0,2,0.101104
0.0,17,0.101524
1.0,17,0.101945
0.0,9,0.102197
0.0,22,0.102726
0.0,6,0.102922
0.0,42,0.103836
0.0,13,0.104176
0.0,13,0.104512
0.0,15,0.10488
0.0,13,0.105219
0.0,6,0.105413
1.0,22,0.105942
0.0,9,0.106194
0.0,5,0.106361
0.0,3,0.106555
0.0,22,0.107101
0.0,10,0.107369
0.0,9,0.107616
0.0,4,0.107768
1.0,27,0.108404
1.0,31,0.109093
0.0,21,0.10959
1.0,10,0.109859
0.0,27,0.110479
0.0,20,0.110964
0.0,21,0.111467
0.0,13,0.111799
0.0,5,0.11197
0.0,8,0.1122
0.0,13,0.11252
1.0,25,0.113105
0.0,5,0.113274
0.0,11,0.11356
0.0,4,0.113699
0.0,20,0.114172
0.0,46,0.115179
0.0,47,0.116191
1.0,21,0.116678
0.0,32,0.117399
0.0,9,0.117651
1.0,20,0.118115
0.0,12,0.118433
0.0,77,0.120063
0.0,5,0.120227
0.0,4,0.120367
0.0,46,0.121364
1.0,25,0.12195
0.0,16,0.122353
0.0,13,0.12269
0.0,11,0.122991
0.0,6,0.123181
0.0,35,0.123964
0.0,11,0.124249
0.0,13,0.124588
0.0,7,0.1248
1.0,8,0.125041
1.0,19,0.125518
0.0,6,0.125718
1.0,9,0.126002
0.0,9,0.126277
0.0,16,0.126661
1.0,17,0.127085
0.0,5,0.127254
1.0,50,0.128339
0.0,35,0.129143
1.0,46,0.130155
0.0,17,0.130573
0.0,10,0.13084
0.0,10,0.131119
0.0,16,0.131515
0.0,11,0.131802
0.0,4,0.131955
0.0,40,0.132843
0.0,44,0.133825
0.0,11,0.134132
0.0,10,0.134411
0.0,22,0.134941
0.0,7,0.135157
0.0,31,0.135853
0.0,47,0.136882
0.0,14,0.137242
0.0,8,0.137468
0.0,3,0.137589
0.0,17,0.138004
0.0,10,0.138267
1.0,26,0.138859
0.0,80,0.14059
0.0,7,0.140798
0.0,3,0.14092
1.0,10,0.141195
0.0,22,0.141714
1.0,36,0.142512
1.0,15,0.142886
1.0,11,0.143185
1.0,12,0.143505
1.0,23,0.14404
0.0,23,0.144589
1.0,17,0.144998
0.0,14,0.145359
0.0,48,0.146397
0.0,52,0.147538
0.0,8,0.147764
0.0,44,0.148752
0.0,12,0.149117
1.0,9,0.149425
0.0,10,0.149695
0.0,68,0.151156
1.0,48,0.152183
0.0,4,0.152326
0.0,2,0.152431
1.0,12,0.152745
0.0,16,0.153152
1.0,28,0.153831
0.0,4,0.154011
0.0,8,0.154278
0.0,23,0.154825
0.0,6,0.155029
0.0,16,0.15542
1.0,19,0.155878
0.0,13,0.156222
0.0,42,0.157151
0.0,35,0.157926
0.0,31,0.158627
0.0,61,0.159979
0.0,35,0.160776
0.0,25,0.161363
0.0,7,0.161576
1.0,19,0.162029
0.0,15,0.162413
0.0,11,0.162697
0.0,30,0.163384
0.0,26,0.163989
0.0,19,0.164447
0.0,18,0.164872
0.0,6,0.165068
0.0,34,0.165818
0.0,7,0.166058
1.0,72,0.167621
0.0,38,0.168462
0.0,6,0.168652
0.0,10,0.168915
0.0,4,0.169071
0.0,19,0.169517
0.0,2,0.169622
0.0,34,0.170377
0.0,12,0.17069
0.0,8,0.170922
0.0,16,0.171321
0.0,75,0.172892
0.0,14,0.173297
1.0,48,0.174342
0.0,19,0.174806
1.0,15,0.175198
0.0,45,0.176279
1.0,10,0.17655
1.0,39,0.177418
1.0,28,0.178068
0.0,32,0.178784
1.0,20,0.179274
0.0,65,0.180682
0.0,17,0.181108
0.0,11,0.181412
0.0,8,0.181637
0.0,12,0.181957
0.0,24,0.182509
0.0,8,0.182742
1.0,19,0.18321
0.0,36,0.184033
0.0,18,0.184466
1.0,7,0.184684
1.0,21,0.185179
0.0,38,0.186017
0.0,29,0.186671
0.0,2,0.186772
0.0,10,0.187053
1.0,12,0.187375
0.0,33,0.188122
0.0,34,0.188883
0.0,4,0.189045
0.0,21,0.18955
0.0,8,0.189786
0.0,16,0.190184
0.0,12,0.1905
1.0,7,0.190712
0.0,2,0.190812
1.0,11,0.191122
0.0,13,0.191452
0.0,37,0.192286
0.0,9,0.192538
0.0,11,0.19283
0.0,23,0.193384
1.0,29,0.19406
1.0,36,0.194861
0.0,17,0.195289
0.0,26,0.195875
0.0,22,0.196398
1.0,8,0.196631
1.0,21,0.19714
0.0,2,0.197248
0.0,5,0.197418
0.0,14,0.197766
1.0,55,0.198961
1.0,29,0.19962
1.0,37,0.200458
0.0,16,0.200867
0.0,6,0.201067
0.0,19,0.201521
1.0,19,0.20198
1.0,35,0.202758
1.0,19,0.203233
0.0,20,0.203705
1.0,67,0.205143
1.0,92,0.207105
0.0,19,0.207635
0.0,19,0.208114
0.0,3,0.208243
0.0,6,0.208439
0.0,19,0.20889
1.0,10,0.209166
0.0,46,0.210178
0.0,2,0.210286
0.0,15,0.210652
0.0,28,0.211309
0.0,4,0.21146
0.0,19,0.211907
0.0,7,0.212126
0.0,5,0.212301
0.0,11,0.212599
1.0,29,0.213274
0.0,13,0.213605
0.0,16,0.214009
0.0,19,0.214485
0.0,11,0.214776
0.0,17,0.215205
0.0,11,0.215516
0.0,22,0.216076
0.0,42,0.21703
1.0,12,0.217344
0.0,93,0.219318
0.0,19,0.219768
1.0,20,0.220244
0.0,18,0.220674
1.0,27,0.221298
0.0,3,0.221425
0.0,12,0.221735
1.0,12,0.222049
0.0,100,0.224149
0.0,25,0.224717
0.0,3,0.224846
0.0,11,0.225147
0.0,7,0.225358
0.0,41,0.226265
0.0,25,0.226835
1.0,7,0.227057
0.0,2,0.227164
1.0,47,0.228201
0.0,42,0.229183
1.0,14,0.229549
0.0,18,0.229996
0.0,17,0.230405
0.0,15,0.230791
0.0,14,0.231159
0.0,8,0.231382
0.0,11,0.231678
0.0,2,0.231779
0.0,27,0.232412
1.0,37,0.233245
0.0,2,0.233351
0.0,11,0.233645
0.0,29,0.234302
0.0,14,0.234655
0.0,5,0.234819
0.0,39,0.235686
0.0,33,0.236436
1.0,39,0.237304
0.0,4,0.237447
1.0,12,0.237758
1.0,7,0.237974
0.0,11,0.238256
0.0,2,0.23836
0.0,13,0.238696
1.0,20,0.23918
0.0,2,0.239284
0.0,14,0.239634
0.0,14,0.240004
0.0,9,0.240252
1.0,45,0.241233
0.0,42,0.242166
1.0,32,0.242875
0.0,25,0.243439
0.0,17,0.24384
0.0,10,0.244121
0.0,75,0.245722
0.0,20,0.246226
0.0,10,0.246503
0.0,47,0.247533
0.0,27,0.248161
0.0,10,0.248455
0.0,25,0.249036
1.0,26,0.249628
0.0,23,0.250175
0.0,10,0.250447
1.0,11,0.250727
0.0,30,0.251416
0.0,5,0.251579
0.0,13,0.251907
0.0,4,0.252062
1.0,25,0.25264
0.0,22,0.253165
0.0,33,0.253897
0.0,37,0.254727
0.0,48,0.255797
0.0,7,0.256011
0.0,10,0.256273
