#{"t_start": 1523122289.9748693, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,38,0.037744
0.0,36,0.040231
0.0,28,0.042174
0.0,54,0.044725
0.0,2,0.044884
0.0,18,0.045733
0.0,83,0.04939
0.0,61,0.05209
0.0,4,0.052334
0.0,37,0.054011
0.0,3,0.054213
0.0,14,0.054898
0.0,91,0.058909
0.0,10,0.059424
0.0,7,0.059795
0.0,96,0.064007
0.0,100,0.068413
0.0,14,0.069082
0.0,9,0.069551
0.0,2,0.069706
0.0,33,0.071198
0.0,48,0.073355
0.0,4,0.073605
0.0,96,0.077828
0.0,23,0.078898
0.0,8,0.079311
0.0,16,0.080073
0.0,7,0.080456
0.0,5,0.080743
0.0,18,0.081591
0.0,34,0.083135
0.0,28,0.084429
0.0,11,0.084977
1.0,12,0.085575
0.0,39,0.087334
1.0,12,0.087932
0.0,13,0.088574
0.0,10,0.089079
0.0,11,0.089637
1.0,69,0.092698
0.0,14,0.093373
0.0,63,0.096177
0.0,8,0.096607
0.0,33,0.098099
1.0,16,0.098868
1.0,28,0.100147
0.0,4,0.100399
0.0,23,0.101463
0.0,32,0.10293
0.0,21,0.103912
1.0,9,0.104368
0.0,13,0.105005
0.0,33,0.106515
0.0,18,0.107356
1.0,13,0.107991
0.0,40,0.109793
0.0,55,0.112231
1.0,37,0.113908
1.0,24,0.115016
0.0,18,0.115872
1.0,16,0.116647
0.0,23,0.117713
0.0,15,0.118441
1.0,81,0.122004
0.0,19,0.12291
1.0,33,0.124415
0.0,24,0.125532
0.0,8,0.125947
1.0,20,0.126885
0.0,23,0.127952
0.0,50,0.130195
1.0,19,0.131093
0.0,2,0.131251
0.0,16,0.132025
0.0,12,0.132631
0.0,33,0.134129
1.0,26,0.135329
0.0,18,0.136257
1.0,22,0.137287
0.0,4,0.13754
0.0,39,0.139305
1.0,32,0.140767
1.0,30,0.142138
1.0,12,0.142739
0.0,8,0.143154
0.0,10,0.143668
0.0,17,0.144479
0.0,35,0.146057
1.0,36,0.147696
0.0,54,0.150102
0.0,19,0.151
0.0,31,0.152428
1.0,75,0.155751
0.0,55,0.158193
1.0,9,0.158661
0.0,13,0.159287
0.0,15,0.160008
0.0,8,0.160435
0.0,29,0.161757
0.0,100,0.166154
0.0,31,0.16757
1.0,12,0.168154
0.0,6,0.168492
0.0,16,0.169248
0.0,55,0.171695
1.0,23,0.172765
0.0,19,0.173661
0.0,14,0.174334
0.0,5,0.174629
0.0,27,0.175867
0.0,3,0.176068
1.0,45,0.178077
1.0,20,0.179018
1.0,85,0.182771
0.0,68,0.18577
0.0,48,0.187914
0.0,52,0.19023
0.0,17,0.191036
0.0,25,0.192184
0.0,44,0.194155
0.0,9,0.19462
0.0,4,0.19486
0.0,17,0.195673
1.0,35,0.197242
1.0,23,0.198309
0.0,11,0.198863
0.0,30,0.200224
1.0,29,0.201556
0.0,36,0.203183
0.0,29,0.204513
1.0,37,0.206172
