#{"t_start": 1522230098.0784023, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,11,0.014287
0.0,4,0.014677
0.0,13,0.015663
0.0,4,0.016027
0.0,2,0.016259
0.0,2,0.016513
0.0,4,0.016882
0.0,7,0.017456
0.0,6,0.017951
0.0,6,0.01846
0.0,3,0.018761
0.0,4,0.019127
1.0,13,0.020105
0.0,8,0.020753
0.0,6,0.02125
0.0,26,0.0226
0.0,2,0.022757
0.0,51,0.025056
0.0,100,0.029542
0.0,21,0.030539
0.0,15,0.031256
0.0,52,0.033619
1.0,23,0.034703
0.0,25,0.03591
0.0,31,0.037345
0.0,11,0.037914
0.0,25,0.039099
0.0,29,0.040465
1.0,14,0.041149
0.0,88,0.045124
0.0,8,0.045558
1.0,31,0.046996
0.0,52,0.049369
0.0,10,0.04989
0.0,6,0.050222
0.0,31,0.051683
0.0,2,0.051842
1.0,27,0.053102
1.0,29,0.054459
0.0,25,0.055629
0.0,3,0.055832
0.0,37,0.05754
0.0,14,0.058218
0.0,62,0.061036
0.0,41,0.062925
0.0,2,0.063082
0.0,21,0.064078
0.0,5,0.064371
0.0,12,0.064978
0.0,7,0.065354
0.0,5,0.065654
0.0,14,0.066334
0.0,30,0.067744
0.0,3,0.067947
0.0,10,0.068466
0.0,36,0.070117
0.0,48,0.072315
1.0,15,0.073053
0.0,9,0.073533
0.0,9,0.074001
1.0,95,0.078264
0.0,55,0.080764
0.0,3,0.080965
0.0,7,0.081342
0.0,14,0.082045
0.0,10,0.082564
0.0,18,0.083435
0.0,7,0.08381
0.0,28,0.085108
1.0,17,0.085935
1.0,33,0.087455
0.0,12,0.088047
1.0,12,0.088653
0.0,5,0.088944
0.0,13,0.089591
1.0,36,0.091235
1.0,11,0.091809
0.0,17,0.092641
0.0,26,0.093859
0.0,36,0.095522
0.0,45,0.097579
0.0,29,0.098923
0.0,2,0.09908
0.0,6,0.099418
0.0,31,0.100852
1.0,14,0.10155
1.0,18,0.102425
0.0,11,0.102973
1.0,16,0.103757
0.0,2,0.103915
1.0,30,0.105306
0.0,10,0.105829
1.0,34,0.10739
0.0,10,0.107902
0.0,6,0.108235
0.0,5,0.108536
0.0,12,0.10913
0.0,22,0.11017
0.0,11,0.110736
0.0,38,0.112493
0.0,32,0.113973
0.0,4,0.11428
0.0,57,0.116873
1.0,11,0.117434
0.0,6,0.117762
0.0,8,0.118178
0.0,37,0.119885
0.0,8,0.120309
0.0,2,0.120479
1.0,12,0.121071
0.0,25,0.12225
0.0,5,0.122554
0.0,12,0.12315
0.0,35,0.124772
0.0,36,0.126433
1.0,56,0.128966
0.0,17,0.129791
0.0,33,0.131311
1.0,14,0.132014
0.0,9,0.132492
0.0,20,0.133435
1.0,33,0.134951
0.0,9,0.135422
1.0,14,0.136099
0.0,9,0.136568
1.0,21,0.137567
0.0,4,0.137811
0.0,8,0.138234
1.0,49,0.140462
0.0,11,0.141011
0.0,15,0.141749
1.0,23,0.14283
0.0,41,0.144719
0.0,12,0.145312
0.0,3,0.145526
0.0,6,0.145855
1.0,36,0.147508
1.0,25,0.148675
1.0,17,0.149493
0.0,2,0.149651
1.0,24,0.150775
1.0,38,0.152527
0.0,28,0.153826
0.0,37,0.155514
0.0,13,0.15615
0.0,7,0.156535
0.0,6,0.156863
0.0,56,0.159391
0.0,4,0.159644
0.0,17,0.160464
0.0,8,0.160883
0.0,5,0.161169
0.0,15,0.161917
0.0,66,0.164876
0.0,13,0.165524
0.0,17,0.16633
0.0,4,0.166586
0.0,4,0.16683
0.0,7,0.167204
0.0,7,0.16759
0.0,21,0.168591
0.0,2,0.168747
1.0,13,0.169378
0.0,50,0.171657
0.0,18,0.172524
0.0,3,0.172727
0.0,4,0.172971
1.0,35,0.174578
0.0,7,0.174954
0.0,6,0.175285
1.0,16,0.17606
0.0,4,0.176305
1.0,32,0.177794
1.0,20,0.178752
0.0,44,0.180757
1.0,17,0.181586
0.0,8,0.182004
1.0,15,0.182743
0.0,21,0.183754
0.0,7,0.184131
0.0,39,0.185922
0.0,2,0.186078
