#{"t_start": 1522228580.5572882, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,14,0.004897
0.0,3,0.005212
0.0,7,0.005708
0.0,6,0.006102
0.0,5,0.006428
0.0,13,0.007116
0.0,2,0.007331
0.0,2,0.007545
0.0,3,0.007797
0.0,3,0.008048
0.0,2,0.008241
0.0,11,0.008827
0.0,2,0.009023
0.0,4,0.009313
0.0,42,0.01121
0.0,3,0.011471
0.0,57,0.014053
0.0,16,0.01488
0.0,17,0.015745
0.0,53,0.018004
1.0,14,0.018687
0.0,9,0.019146
0.0,8,0.019596
0.0,4,0.019879
0.0,13,0.020522
0.0,23,0.021559
0.0,20,0.022476
0.0,22,0.02346
0.0,35,0.024981
0.0,9,0.025443
0.0,32,0.026836
0.0,10,0.027339
0.0,27,0.028542
1.0,41,0.030313
0.0,32,0.031743
0.0,12,0.032335
0.0,24,0.033396
0.0,7,0.033791
0.0,24,0.034906
0.0,5,0.03522
0.0,21,0.036167
0.0,14,0.036798
0.0,2,0.036974
0.0,8,0.037368
0.0,20,0.038246
0.0,28,0.039423
0.0,49,0.041377
0.0,5,0.041681
0.0,19,0.042522
0.0,17,0.043287
0.0,8,0.04371
0.0,3,0.043932
0.0,13,0.044531
1.0,44,0.046283
0.0,12,0.046822
0.0,20,0.047647
0.0,23,0.04856
0.0,34,0.04986
0.0,30,0.051026
0.0,16,0.051692
0.0,28,0.052779
0.0,21,0.053653
0.0,22,0.054554
0.0,36,0.055912
1.0,11,0.056371
0.0,48,0.058067
0.0,21,0.058884
0.0,3,0.059082
0.0,13,0.059615
0.0,9,0.06
0.0,11,0.060466
0.0,26,0.061434
1.0,37,0.062766
1.0,20,0.06354
0.0,38,0.064883
0.0,3,0.065073
0.0,26,0.066044
0.0,2,0.066193
0.0,3,0.066372
0.0,35,0.067578
0.0,2,0.067735
0.0,35,0.068926
0.0,9,0.069306
1.0,44,0.070794
0.0,49,0.072433
0.0,3,0.072623
0.0,23,0.073412
1.0,13,0.073916
0.0,28,0.074894
0.0,7,0.075216
0.0,39,0.076507
0.0,6,0.076783
0.0,22,0.077532
0.0,3,0.077715
0.0,24,0.078532
0.0,3,0.078712
1.0,37,0.079911
1.0,17,0.080503
0.0,9,0.080881
1.0,43,0.082266
0.0,15,0.082823
0.0,7,0.083114
0.0,11,0.083537
1.0,34,0.084661
0.0,5,0.0849
1.0,18,0.08554
0.0,39,0.086761
0.0,6,0.087019
0.0,36,0.088146
0.0,12,0.088581
1.0,28,0.089454
0.0,21,0.090147
0.0,46,0.091553
0.0,5,0.091791
0.0,15,0.092297
0.0,13,0.092767
0.0,12,0.093198
0.0,14,0.093698
0.0,12,0.094124
0.0,14,0.094623
0.0,6,0.094881
1.0,9,0.095217
0.0,28,0.096116
0.0,11,0.096491
0.0,8,0.096799
0.0,13,0.097241
0.0,12,0.097663
0.0,55,0.099256
0.0,42,0.100488
1.0,15,0.100985
1.0,11,0.101369
0.0,16,0.1019
1.0,30,0.102792
1.0,31,0.10373
0.0,13,0.104169
0.0,33,0.105265
0.0,7,0.105559
0.0,6,0.105807
0.0,3,0.105973
0.0,9,0.106304
0.0,9,0.106636
0.0,32,0.107555
0.0,20,0.108164
1.0,17,0.108699
0.0,27,0.109478
0.0,3,0.109643
1.0,11,0.110007
0.0,54,0.111475
0.0,2,0.111608
0.0,8,0.111892
1.0,21,0.112518
0.0,8,0.112799
0.0,52,0.114228
0.0,36,0.115267
0.0,4,0.115444
0.0,15,0.115932
1.0,21,0.116555
1.0,13,0.116948
0.0,8,0.117224
1.0,33,0.118129
0.0,17,0.118634
0.0,22,0.119261
0.0,35,0.120211
0.0,15,0.120668
0.0,38,0.12172
1.0,13,0.122123
0.0,6,0.122349
0.0,2,0.122472
0.0,18,0.12301
0.0,7,0.123255
0.0,2,0.123372
0.0,24,0.124053
0.0,27,0.124819
0.0,5,0.125016
0.0,4,0.125188
1.0,41,0.126161
0.0,13,0.126487
0.0,6,0.126679
0.0,3,0.126806
0.0,5,0.126967
