#{"t_start": 1523136178.4798229, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.006263
0.0,6,0.00653
0.0,1,0.006628
0.0,1,0.006724
0.0,3,0.006894
0.0,16,0.007421
0.0,7,0.007685
0.0,6,0.007977
0.0,17,0.00852
0.0,10,0.008934
0.0,1,0.009036
0.0,8,0.009338
0.0,42,0.010589
0.0,20,0.01127
0.0,30,0.012205
0.0,13,0.012646
0.0,18,0.013221
0.0,1,0.01332
0.0,9,0.013662
1.0,39,0.014854
0.0,22,0.015532
0.0,9,0.015862
0.0,42,0.017126
0.0,14,0.017581
1.0,33,0.018574
0.0,16,0.019105
0.0,40,0.020307
0.0,1,0.020402
0.0,24,0.021169
0.0,3,0.021326
0.0,21,0.021992
1.0,29,0.022873
1.0,25,0.02366
0.0,7,0.023937
0.0,31,0.024908
0.0,25,0.025686
1.0,25,0.026477
0.0,26,0.027302
0.0,11,0.027694
0.0,5,0.027915
0.0,7,0.02818
1.0,12,0.028581
0.0,25,0.029364
0.0,32,0.03034
0.0,20,0.030992
0.0,4,0.031182
0.0,6,0.03143
0.0,3,0.031591
1.0,19,0.032212
0.0,4,0.032393
0.0,4,0.032584
0.0,1,0.032681
0.0,13,0.03313
0.0,4,0.033319
0.0,34,0.034366
0.0,4,0.034554
0.0,4,0.034741
0.0,23,0.035463
1.0,10,0.035825
1.0,24,0.036568
0.0,31,0.037541
0.0,10,0.037904
0.0,28,0.038756
0.0,15,0.039249
0.0,36,0.040303
0.0,12,0.040704
1.0,12,0.04113
0.0,1,0.041224
0.0,69,0.043208
0.0,22,0.04391
0.0,10,0.044276
0.0,48,0.045711
0.0,3,0.045875
0.0,16,0.046398
0.0,10,0.046751
0.0,6,0.047007
0.0,15,0.047497
0.0,43,0.048784
0.0,21,0.049437
0.0,4,0.049627
1.0,16,0.050166
1.0,25,0.050945
1.0,28,0.051799
0.0,30,0.052701
0.0,29,0.053589
0.0,16,0.054111
0.0,31,0.055041
0.0,13,0.05547
0.0,12,0.055891
0.0,27,0.056734
0.0,5,0.056961
0.0,4,0.057154
1.0,25,0.057932
1.0,19,0.058528
1.0,37,0.059652
1.0,46,0.061024
0.0,7,0.061298
1.0,50,0.062768
0.0,22,0.063476
0.0,4,0.063656
1.0,33,0.064649
0.0,4,0.064849
0.0,4,0.065033
0.0,47,0.066403
0.0,5,0.066631
0.0,5,0.066861
0.0,15,0.067355
0.0,6,0.067601
1.0,40,0.068806
0.0,6,0.069053
0.0,6,0.069294
0.0,1,0.069386
0.0,44,0.070706
0.0,13,0.071157
0.0,52,0.072694
0.0,32,0.073681
1.0,42,0.074945
0.0,15,0.075442
1.0,61,0.077251
0.0,30,0.078167
0.0,1,0.078268
0.0,15,0.078776
0.0,32,0.079746
0.0,15,0.080241
0.0,6,0.080487
0.0,30,0.081429
0.0,35,0.082493
0.0,41,0.083734
1.0,12,0.084146
1.0,26,0.084976
0.0,40,0.086191
1.0,25,0.08699
0.0,6,0.087231
0.0,41,0.088438
0.0,66,0.090375
0.0,2,0.090502
0.0,7,0.090783
0.0,23,0.091503
0.0,3,0.091662
0.0,23,0.09238
1.0,19,0.093014
0.0,4,0.093197
0.0,5,0.093411
1.0,16,0.09394
1.0,29,0.094829
0.0,2,0.094954
0.0,5,0.095161
1.0,12,0.095571
1.0,12,0.095981
0.0,6,0.096227
1.0,30,0.097154
0.0,28,0.098023
0.0,1,0.098123
0.0,9,0.098453
1.0,44,0.099766
0.0,71,0.101822
0.0,3,0.101979
0.0,18,0.102553
0.0,8,0.102859
1.0,42,0.1041
0.0,6,0.104343
0.0,6,0.104579
0.0,4,0.104759
1.0,13,0.10521
0.0,93,0.107872
1.0,44,0.109256
0.0,6,0.109511
0.0,39,0.110708
0.0,7,0.11099
0.0,6,0.111237
0.0,8,0.111541
0.0,38,0.112697
0.0,7,0.112982
0.0,28,0.113843
