#{"t_start": 1522231734.4036393, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,5,0.00533
0.0,7,0.005574
0.0,13,0.005933
0.0,1,0.006026
0.0,1,0.006107
0.0,24,0.00669
0.0,11,0.007007
0.0,11,0.007312
0.0,3,0.007438
0.0,7,0.007652
0.0,11,0.007951
0.0,9,0.00823
0.0,1,0.008316
0.0,9,0.008575
0.0,28,0.009256
1.0,47,0.010357
0.0,9,0.010611
0.0,24,0.011217
0.0,42,0.012212
0.0,27,0.012865
0.0,24,0.013463
0.0,14,0.013839
0.0,5,0.014028
0.0,44,0.015071
0.0,15,0.015477
0.0,78,0.017272
0.0,27,0.017922
0.0,6,0.018146
0.0,8,0.018389
0.0,5,0.01857
0.0,43,0.019578
0.0,17,0.020033
0.0,6,0.020233
0.0,8,0.020482
1.0,55,0.021764
0.0,4,0.021919
1.0,56,0.023223
1.0,47,0.024319
0.0,16,0.024734
0.0,85,0.026665
1.0,30,0.027398
0.0,33,0.028189
0.0,3,0.028344
1.0,10,0.028633
0.0,13,0.029
0.0,8,0.02925
0.0,12,0.029569
0.0,31,0.030328
0.0,22,0.030889
0.0,12,0.031235
1.0,30,0.031973
0.0,1,0.032059
0.0,5,0.032238
0.0,22,0.032794
0.0,56,0.034086
0.0,29,0.034787
0.0,50,0.035981
0.0,19,0.036484
0.0,22,0.037083
0.0,48,0.038215
0.0,19,0.038705
0.0,22,0.039265
0.0,5,0.039439
0.0,10,0.039715
0.0,6,0.039916
0.0,13,0.040267
0.0,19,0.040738
0.0,2,0.040848
0.0,71,0.042493
1.0,8,0.042732
0.0,21,0.043261
0.0,8,0.043498
0.0,17,0.043935
0.0,10,0.044245
0.0,7,0.044461
0.0,4,0.044617
0.0,1,0.044701
0.0,10,0.044996
0.0,11,0.045305
1.0,15,0.045695
0.0,14,0.046075
0.0,55,0.047349
0.0,31,0.048105
0.0,5,0.048279
0.0,2,0.048383
0.0,4,0.048537
0.0,24,0.049147
0.0,100,0.051435
0.0,6,0.051652
0.0,19,0.052162
0.0,3,0.052303
0.0,40,0.053267
0.0,27,0.053934
0.0,18,0.054416
0.0,2,0.054526
0.0,12,0.054861
0.0,9,0.055139
0.0,36,0.056008
0.0,23,0.056577
0.0,26,0.057248
0.0,32,0.058042
0.0,43,0.059052
0.0,8,0.059296
0.0,13,0.059642
0.0,28,0.060337
0.0,23,0.060911
0.0,6,0.061122
0.0,20,0.061634
0.0,2,0.061745
1.0,8,0.062
0.0,16,0.06242
0.0,100,0.064707
0.0,47,0.065824
0.0,25,0.066446
0.0,7,0.066662
0.0,26,0.067307
0.0,55,0.06859
0.0,18,0.069068
0.0,7,0.069292
0.0,17,0.069747
0.0,26,0.070393
1.0,7,0.070613
0.0,10,0.070904
0.0,14,0.071287
0.0,1,0.071368
0.0,11,0.071674
0.0,30,0.072423
0.0,42,0.073447
0.0,31,0.074197
0.0,28,0.074867
0.0,18,0.075351
0.0,11,0.075661
0.0,54,0.076929
0.0,29,0.077665
0.0,24,0.078282
0.0,37,0.079164
0.0,26,0.079796
0.0,18,0.080274
0.0,20,0.080773
0.0,10,0.081062
0.0,29,0.081761
0.0,8,0.082023
1.0,12,0.082353
1.0,19,0.082833
0.0,34,0.083649
0.0,56,0.084939
0.0,9,0.085215
0.0,1,0.085299
0.0,39,0.086218
0.0,3,0.086352
0.0,26,0.086997
0.0,2,0.087105
0.0,23,0.087675
0.0,24,0.088263
0.0,20,0.088754
0.0,38,0.089748
0.0,63,0.091342
0.0,12,0.091663
0.0,12,0.092028
0.0,22,0.092597
0.0,17,0.093077
0.0,4,0.093234
0.0,7,0.093446
0.0,57,0.094788
1.0,16,0.095243
1.0,12,0.095584
0.0,48,0.096742
0.0,3,0.096876
1.0,16,0.097314
0.0,2,0.097418
0.0,5,0.097595
1.0,20,0.098146
0.0,5,0.098333
0.0,10,0.098621
0.0,2,0.098728
0.0,6,0.09892
0.0,4,0.099106
0.0,42,0.100131
0.0,5,0.100312
0.0,3,0.100446
0.0,2,0.100554
0.0,9,0.100811
0.0,33,0.1016
0.0,5,0.101778
1.0,21,0.102301
1.0,15,0.102693
0.0,49,0.10381
0.0,8,0.104065
0.0,10,0.10436
0.0,80,0.106179
0.0,64,0.107753
0.0,25,0.108388
0.0,4,0.108545
0.0,17,0.108995
0.0,30,0.109722
0.0,65,0.111299
0.0,3,0.111429
0.0,15,0.11184
0.0,2,0.111945
0.0,15,0.112349
0.0,43,0.113382
0.0,4,0.113531
0.0,15,0.11393
0.0,16,0.11437
1.0,15,0.114779
0.0,21,0.115326
0.0,1,0.115412
0.0,4,0.115561
0.0,7,0.115774
0.0,35,0.116617
0.0,20,0.117126
0.0,52,0.118352
0.0,29,0.119068
0.0,3,0.119203
0.0,27,0.119853
0.0,69,0.121411
0.0,29,0.122127
0.0,49,0.123252
0.0,5,0.123431
0.0,5,0.1236
0.0,24,0.124204
1.0,7,0.124429
0.0,26,0.125073
0.0,2,0.125183
0.0,32,0.12593
0.0,27,0.126606
0.0,42,0.127618
0.0,1,0.127699
0.0,26,0.128356
0.0,7,0.128578
1.0,29,0.129303
0.0,8,0.129545
0.0,11,0.129852
0.0,32,0.130636
0.0,8,0.13089
1.0,45,0.131951
0.0,13,0.132301
1.0,24,0.132892
1.0,17,0.133326
0.0,6,0.13353
0.0,8,0.133766
0.0,11,0.134089
0.0,23,0.134676
0.0,7,0.13489
1.0,9,0.135196
1.0,15,0.135582
0.0,9,0.135843
0.0,10,0.13616
0.0,13,0.136513
0.0,84,0.138439
1.0,13,0.1388
1.0,15,0.139228
0.0,3,0.139361
0.0,1,0.139444
1.0,14,0.13983
0.0,1,0.139907
0.0,16,0.140338
0.0,16,0.14075
0.0,49,0.141876
0.0,2,0.141998
0.0,6,0.142195
0.0,43,0.143203
0.0,1,0.143284
1.0,17,0.143733
0.0,46,0.144847
0.0,9,0.145138
1.0,25,0.145751
0.0,9,0.146024
0.0,1,0.146105
1.0,14,0.146474
1.0,70,0.148079
0.0,1,0.148165
0.0,13,0.148519
0.0,23,0.149104
1.0,24,0.149706
0.0,13,0.150067
0.0,19,0.150562
1.0,68,0.152112
0.0,3,0.152242
0.0,38,0.153136
0.0,3,0.153265
1.0,19,0.15374
0.0,12,0.154086
1.0,71,0.155749
0.0,12,0.156086
