#{"t_start": 1522233058.6689925, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,7,0.008416
0.0,1,0.008512
0.0,2,0.008623
0.0,36,0.009507
0.0,3,0.009641
0.0,14,0.010023
0.0,18,0.010495
0.0,21,0.011036
0.0,5,0.011225
0.0,6,0.011425
0.0,10,0.011711
0.0,14,0.012105
1.0,24,0.012694
0.0,31,0.013433
0.0,33,0.01422
0.0,20,0.014724
0.0,9,0.014986
0.0,19,0.015481
0.0,11,0.015785
1.0,36,0.016658
0.0,4,0.016808
0.0,17,0.017257
0.0,6,0.017451
0.0,100,0.019704
0.0,16,0.020141
0.0,3,0.020275
0.0,6,0.020471
0.0,70,0.022092
0.0,69,0.023674
0.0,9,0.023942
0.0,19,0.02445
0.0,13,0.024806
1.0,35,0.025656
0.0,9,0.02592
0.0,10,0.026215
1.0,29,0.026903
1.0,14,0.027295
0.0,7,0.027517
0.0,27,0.028193
0.0,14,0.028563
1.0,27,0.029251
0.0,12,0.029577
0.0,31,0.030338
1.0,51,0.031548
0.0,4,0.031697
1.0,25,0.032337
0.0,53,0.033593
0.0,18,0.034063
0.0,6,0.034265
1.0,16,0.034679
1.0,9,0.034944
0.0,5,0.035128
0.0,2,0.035232
1.0,28,0.035904
0.0,8,0.036153
0.0,5,0.036326
0.0,23,0.036909
1.0,44,0.037961
0.0,7,0.038187
0.0,18,0.038656
0.0,11,0.038963
0.0,4,0.039129
0.0,21,0.039661
0.0,18,0.040138
1.0,13,0.040482
0.0,1,0.040563
0.0,5,0.040735
0.0,13,0.041092
0.0,22,0.041644
0.0,49,0.042794
0.0,24,0.043401
0.0,8,0.043637
1.0,21,0.044178
0.0,14,0.044558
0.0,16,0.044974
0.0,12,0.045305
0.0,13,0.045661
0.0,24,0.046255
1.0,13,0.046602
0.0,28,0.047294
0.0,23,0.047863
0.0,19,0.048359
0.0,13,0.048709
0.0,18,0.04919
0.0,12,0.049525
0.0,4,0.049672
0.0,3,0.049797
0.0,45,0.05085
0.0,67,0.052405
0.0,28,0.053108
0.0,3,0.053242
0.0,57,0.054569
0.0,5,0.054765
0.0,20,0.055276
0.0,16,0.055694
0.0,25,0.056317
1.0,18,0.056767
1.0,32,0.057556
0.0,13,0.057914
0.0,16,0.058333
0.0,3,0.058468
0.0,9,0.058728
0.0,12,0.059054
0.0,9,0.059318
0.0,28,0.059996
0.0,27,0.060659
0.0,3,0.060791
0.0,58,0.062205
0.0,15,0.062603
0.0,28,0.063308
0.0,8,0.063545
0.0,28,0.064221
0.0,91,0.066297
0.0,17,0.066744
0.0,2,0.066853
0.0,5,0.067031
0.0,7,0.067264
0.0,38,0.068172
0.0,28,0.068853
0.0,27,0.069525
1.0,27,0.070202
0.0,21,0.070747
0.0,12,0.07109
0.0,74,0.072813
0.0,3,0.072942
0.0,7,0.073179
0.0,28,0.073878
0.0,26,0.074529
0.0,19,0.075017
0.0,38,0.075923
0.0,8,0.076181
0.0,20,0.076688
0.0,16,0.077115
1.0,44,0.078148
0.0,18,0.078618
0.0,20,0.079132
0.0,3,0.079259
0.0,9,0.079529
0.0,33,0.080331
0.0,1,0.080415
0.0,31,0.081167
0.0,11,0.081475
0.0,22,0.082021
0.0,30,0.082745
0.0,24,0.083342
0.0,32,0.084112
0.0,20,0.08462
0.0,29,0.085328
0.0,4,0.085477
0.0,10,0.085771
0.0,8,0.086017
0.0,16,0.08644
0.0,33,0.08725
1.0,27,0.087916
0.0,7,0.088144
0.0,6,0.088345
0.0,16,0.088764
0.0,25,0.089409
0.0,10,0.089689
0.0,7,0.0899
0.0,2,0.090007
0.0,30,0.090742
0.0,2,0.090847
0.0,14,0.091225
0.0,18,0.091689
