#{"t_start": 1522231113.7469418, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.01006
0.0,1,0.010184
0.0,1,0.010282
0.0,12,0.010727
0.0,7,0.010985
0.0,3,0.011139
0.0,7,0.011399
0.0,47,0.012751
0.0,22,0.013405
0.0,10,0.013757
0.0,11,0.014128
0.0,7,0.014384
0.0,11,0.014759
0.0,36,0.015774
0.0,16,0.016271
0.0,8,0.016562
0.0,21,0.017185
0.0,78,0.019322
0.0,30,0.020207
0.0,25,0.02095
0.0,5,0.021155
1.0,10,0.02149
1.0,20,0.022098
0.0,18,0.022662
0.0,22,0.023315
0.0,26,0.024093
0.0,60,0.025752
0.0,34,0.026728
0.0,29,0.027577
0.0,1,0.027672
0.0,39,0.028787
0.0,5,0.028987
1.0,30,0.029844
0.0,21,0.030465
0.0,16,0.031013
1.0,27,0.031812
1.0,15,0.032283
0.0,23,0.032959
0.0,13,0.033366
0.0,52,0.034808
0.0,29,0.035647
0.0,2,0.035768
0.0,4,0.035941
0.0,1,0.036033
0.0,23,0.036723
0.0,5,0.036924
0.0,4,0.037102
0.0,2,0.037229
0.0,2,0.037356
0.0,13,0.037785
0.0,21,0.038402
0.0,6,0.03864
0.0,23,0.039317
0.0,18,0.039878
0.0,22,0.040519
0.0,21,0.04115
0.0,9,0.041466
0.0,13,0.041891
0.0,8,0.042176
0.0,51,0.043603
0.0,29,0.044439
0.0,29,0.045326
0.0,36,0.046353
1.0,14,0.046804
0.0,1,0.046894
1.0,28,0.047714
0.0,11,0.048115
0.0,9,0.048433
0.0,42,0.049623
0.0,17,0.050144
0.0,40,0.05127
0.0,8,0.051558
0.0,16,0.052054
0.0,18,0.052616
0.0,31,0.053511
0.0,6,0.053745
0.0,12,0.054134
0.0,4,0.054305
0.0,7,0.054564
1.0,40,0.055692
0.0,3,0.055838
1.0,10,0.056166
1.0,22,0.05683
0.0,1,0.056919
0.0,3,0.057066
0.0,4,0.057242
0.0,3,0.057394
0.0,52,0.058854
0.0,1,0.058949
0.0,16,0.059453
0.0,3,0.059613
0.0,1,0.059703
0.0,23,0.060388
0.0,5,0.060604
0.0,15,0.061075
0.0,13,0.061497
0.0,26,0.062261
0.0,3,0.062408
0.0,33,0.063341
0.0,14,0.063797
1.0,18,0.06434
0.0,26,0.065102
0.0,5,0.065308
0.0,38,0.066378
0.0,45,0.067654
0.0,15,0.068121
0.0,24,0.06887
0.0,10,0.069215
0.0,17,0.069745
0.0,29,0.070598
0.0,22,0.071242
0.0,25,0.071971
1.0,33,0.072911
0.0,46,0.074281
1.0,24,0.074985
0.0,7,0.075241
0.0,3,0.075387
0.0,43,0.076605
0.0,12,0.076995
0.0,7,0.077283
0.0,28,0.078151
0.0,10,0.078487
0.0,28,0.079295
0.0,27,0.080089
0.0,11,0.080446
0.0,7,0.080703
0.0,7,0.080963
0.0,1,0.081059
1.0,13,0.081465
1.0,14,0.081904
0.0,4,0.082081
0.0,20,0.082683
0.0,18,0.083228
0.0,6,0.083457
0.0,1,0.083555
1.0,31,0.084427
0.0,13,0.084847
1.0,31,0.085736
1.0,14,0.086166
1.0,60,0.087808
1.0,71,0.089762
0.0,1,0.089852
0.0,3,0.089998
0.0,12,0.090377
1.0,29,0.091222
0.0,1,0.091315
1.0,6,0.091551
0.0,17,0.092078
0.0,8,0.092364
0.0,18,0.092933
0.0,13,0.093339
0.0,32,0.094259
0.0,23,0.094953
0.0,20,0.095557
1.0,27,0.096338
0.0,38,0.097404
0.0,4,0.097589
0.0,6,0.097823
0.0,3,0.097973
1.0,18,0.098521
1.0,20,0.099125
1.0,38,0.100192
0.0,6,0.100421
0.0,7,0.100681
0.0,35,0.101677
0.0,19,0.102244
0.0,5,0.102448
1.0,51,0.103863
0.0,5,0.104068
0.0,18,0.104623
0.0,3,0.104774
0.0,7,0.105026
0.0,3,0.105178
0.0,5,0.105381
1.0,22,0.106043
0.0,12,0.106431
1.0,11,0.106794
0.0,12,0.107183
0.0,85,0.109467
0.0,14,0.109921
0.0,12,0.110311
0.0,7,0.110652
0.0,6,0.110888
0.0,44,0.11212
0.0,32,0.113053
0.0,1,0.113144
0.0,4,0.113316
0.0,22,0.113981
0.0,4,0.114158
0.0,24,0.114882
0.0,12,0.115271
1.0,20,0.11588
1.0,30,0.116738
0.0,14,0.117166
0.0,22,0.117824
0.0,27,0.118613
0.0,4,0.118788
0.0,13,0.1192
0.0,51,0.120612
0.0,40,0.12174
0.0,19,0.122305
0.0,23,0.122978
0.0,5,0.12319
0.0,14,0.12364
1.0,15,0.124103
1.0,38,0.125167
0.0,7,0.12542
1.0,16,0.125917
0.0,9,0.126223
0.0,28,0.127029
1.0,27,0.127807
1.0,31,0.128719
0.0,3,0.128886
0.0,3,0.129035
0.0,3,0.129185
1.0,18,0.129732
1.0,40,0.130842
0.0,3,0.130991
1.0,13,0.131396
1.0,33,0.132331
0.0,27,0.133127
0.0,13,0.133561
0.0,40,0.134688
0.0,8,0.134969
0.0,2,0.135086
0.0,2,0.135207
0.0,34,0.13618
0.0,12,0.136586
0.0,27,0.137347
1.0,17,0.137871
0.0,33,0.13887
1.0,26,0.13962
1.0,28,0.140413
1.0,58,0.142005
0.0,24,0.142719
0.0,4,0.142891
0.0,1,0.142984
0.0,11,0.143338
1.0,41,0.144495
1.0,21,0.145126
0.0,9,0.14544
0.0,29,0.146284
0.0,3,0.146432
1.0,27,0.147213
0.0,1,0.147316
0.0,38,0.148399
1.0,16,0.148892
0.0,3,0.149043
1.0,23,0.149742
0.0,11,0.150113
0.0,5,0.150321
0.0,21,0.150992
0.0,4,0.15117
0.0,7,0.151427
0.0,1,0.15152
0.0,12,0.151928
0.0,11,0.152292
0.0,17,0.152814
0.0,12,0.153189
0.0,14,0.153644
0.0,24,0.154345
0.0,2,0.154463
0.0,34,0.155435
0.0,5,0.155657
0.0,11,0.156021
1.0,38,0.157098
0.0,8,0.157383
0.0,3,0.157529
0.0,15,0.157996
0.0,5,0.158194
0.0,7,0.158452
0.0,50,0.15986
0.0,37,0.160896
0.0,5,0.161096
0.0,17,0.161617
0.0,29,0.162446
0.0,8,0.162737
0.0,12,0.163126
0.0,56,0.164652
1.0,30,0.165515
0.0,9,0.165827
0.0,6,0.166061
0.0,11,0.166413
0.0,18,0.166966
1.0,20,0.16756
0.0,8,0.16784
0.0,1,0.167928
1.0,80,0.170125
1.0,11,0.170487
0.0,16,0.170979
1.0,50,0.172421
0.0,16,0.172927
0.0,10,0.173254
0.0,5,0.173458
0.0,60,0.175116
0.0,3,0.175263
0.0,46,0.176548
0.0,27,0.177325
0.0,28,0.178134
1.0,19,0.178716
0.0,2,0.178835
0.0,37,0.179887
1.0,16,0.180385
0.0,2,0.180507
0.0,1,0.18061
0.0,9,0.180929
1.0,19,0.181498
0.0,20,0.1821
0.0,17,0.182633
0.0,19,0.183206
0.0,1,0.1833
1.0,20,0.183911
0.0,12,0.184298
0.0,41,0.185465
0.0,3,0.185625
0.0,40,0.18685
0.0,25,0.187593
0.0,1,0.187684
0.0,6,0.187916
1.0,26,0.188683
0.0,31,0.18956
0.0,7,0.18982
1.0,23,0.190496
0.0,38,0.19158
0.0,21,0.192214
0.0,13,0.192634
0.0,53,0.194113
0.0,15,0.19459
0.0,17,0.195098
0.0,62,0.196844
0.0,2,0.196971
0.0,1,0.197062
0.0,11,0.197421
1.0,14,0.197875
1.0,31,0.198803
0.0,11,0.199184
1.0,18,0.199737
0.0,19,0.200314
1.0,27,0.201097
0.0,5,0.201302
1.0,32,0.202231
0.0,7,0.202487
0.0,10,0.202824
1.0,28,0.203624
1.0,20,0.204208
1.0,12,0.204608
0.0,2,0.204731
1.0,23,0.205441
0.0,32,0.206333
0.0,55,0.207854
0.0,13,0.208266
1.0,47,0.209578
1.0,16,0.2101
0.0,1,0.210192
0.0,26,0.210964
0.0,45,0.212283
0.0,3,0.212439
0.0,7,0.212712
0.0,11,0.213069
0.0,5,0.213267
0.0,16,0.213775
0.0,50,0.215165
0.0,27,0.215946
0.0,8,0.216222
0.0,16,0.216718
1.0,76,0.218765
0.0,6,0.218989
1.0,18,0.21953
0.0,16,0.220028
0.0,4,0.220203
1.0,21,0.220867
0.0,48,0.222198
0.0,22,0.222852
0.0,14,0.22329
0.0,66,0.225105
1.0,15,0.225574
0.0,7,0.225826
1.0,12,0.226203
0.0,7,0.226462
1.0,15,0.226931
0.0,11,0.2273
0.0,36,0.228313
0.0,16,0.228837
0.0,4,0.229012
1.0,17,0.229514
0.0,16,0.230016
0.0,60,0.231718
0.0,4,0.231901
0.0,4,0.232071
0.0,8,0.23235
0.0,25,0.233072
1.0,8,0.233346
0.0,16,0.233842
0.0,27,0.234627
0.0,1,0.23472
0.0,77,0.23682
0.0,2,0.236943
1.0,20,0.237523
0.0,11,0.237891
1.0,9,0.238198
0.0,12,0.238599
1.0,10,0.23895
0.0,1,0.239036
1.0,17,0.239546
1.0,15,0.240011
0.0,3,0.240153
0.0,3,0.240304
0.0,19,0.240877
0.0,7,0.241134
0.0,23,0.241817
1.0,14,0.242243
1.0,35,0.243233
0.0,11,0.243602
0.0,24,0.244303
0.0,22,0.244955
0.0,10,0.245281
0.0,62,0.247015
0.0,16,0.247503
0.0,20,0.248095
0.0,19,0.248697
0.0,8,0.248996
0.0,3,0.249139
1.0,14,0.249583
0.0,2,0.249701
0.0,7,0.249952
0.0,5,0.250146
1.0,54,0.251627
0.0,41,0.25279
0.0,26,0.253533
1.0,34,0.25451
0.0,5,0.254719
0.0,13,0.255131
0.0,24,0.255844
0.0,36,0.256867
0.0,12,0.257241
1.0,11,0.257618
0.0,5,0.25784
0.0,24,0.258525
0.0,18,0.259079
0.0,3,0.259224
0.0,25,0.259954
0.0,2,0.260073
1.0,24,0.260778
1.0,9,0.261082
1.0,55,0.262599
1.0,17,0.263105
0.0,10,0.263443
1.0,19,0.264022
0.0,22,0.264691
0.0,10,0.265027
0.0,4,0.265205
0.0,21,0.265829
1.0,44,0.267056
0.0,48,0.268389
1.0,25,0.269136
0.0,3,0.269283
0.0,3,0.269427
0.0,23,0.270108
0.0,3,0.270261
0.0,1,0.270349
0.0,12,0.270754
0.0,24,0.271452
1.0,19,0.272026
0.0,17,0.272561
0.0,4,0.272734
1.0,16,0.273217
0.0,45,0.274465
0.0,11,0.27484
0.0,10,0.275175
0.0,32,0.276104
0.0,20,0.276717
0.0,1,0.276808
0.0,6,0.277032
0.0,1,0.27712
0.0,10,0.277454
0.0,58,0.279035
0.0,9,0.279368
0.0,15,0.279925
0.0,5,0.280132
1.0,16,0.280626
0.0,33,0.28155
0.0,16,0.282046
0.0,12,0.282431
0.0,20,0.283038
0.0,40,0.284158
0.0,8,0.284436
0.0,5,0.284647
1.0,48,0.285978
0.0,20,0.286578
1.0,17,0.287138
0.0,28,0.288005
0.0,6,0.288253
0.0,13,0.288679
0.0,14,0.289115
0.0,18,0.289666
0.0,6,0.289888
1.0,21,0.290507
0.0,12,0.290891
0.0,26,0.291642
0.0,30,0.292484
0.0,7,0.292748
0.0,4,0.292926
0.0,7,0.293178
0.0,2,0.293296
0.0,41,0.29443
0.0,41,0.295585
0.0,3,0.295732
1.0,25,0.296448
0.0,27,0.297221
0.0,9,0.29753
0.0,13,0.297959
0.0,6,0.298182
0.0,8,0.298457
0.0,5,0.298687
0.0,3,0.298863
0.0,10,0.299189
0.0,42,0.300372
0.0,53,0.301848
0.0,39,0.302949
0.0,9,0.303257
0.0,7,0.303512
1.0,13,0.303929
0.0,42,0.305115
0.0,4,0.305296
1.0,11,0.305674
0.0,7,0.305937
0.0,1,0.306027
0.0,11,0.306399
0.0,54,0.307874
0.0,8,0.308148
0.0,1,0.30824
0.0,16,0.308739
0.0,27,0.309522
1.0,17,0.310076
0.0,17,0.310617
0.0,26,0.311395
1.0,17,0.311997
0.0,20,0.312609
0.0,11,0.312972
0.0,64,0.31471
0.0,12,0.31509
0.0,16,0.315596
0.0,32,0.316485
0.0,7,0.316746
0.0,1,0.316841
0.0,33,0.317792
0.0,7,0.318043
0.0,3,0.318191
0.0,26,0.318955
0.0,49,0.320311
0.0,19,0.320888
0.0,47,0.322202
0.0,3,0.322348
0.0,1,0.32244
1.0,18,0.322999
0.0,35,0.324004
1.0,43,0.32521
0.0,19,0.325831
0.0,4,0.326006
0.0,6,0.32624
0.0,1,0.326329
1.0,45,0.327592
0.0,54,0.329068
0.0,14,0.329502
0.0,41,0.330671
1.0,29,0.331494
0.0,6,0.331723
0.0,5,0.331921
0.0,9,0.33226
1.0,49,0.333699
0.0,23,0.334373
0.0,12,0.334765
0.0,2,0.334888
1.0,23,0.335559
0.0,15,0.336021
0.0,55,0.337553
0.0,20,0.338137
0.0,52,0.339578
0.0,8,0.339884
0.0,13,0.340292
0.0,16,0.340799
0.0,10,0.341124
0.0,13,0.341527
0.0,32,0.342434
0.0,1,0.342523
0.0,17,0.34304
1.0,14,0.343482
1.0,15,0.343955
0.0,13,0.344365
0.0,7,0.344629
0.0,1,0.344723
0.0,6,0.344948
0.0,6,0.345178
0.0,17,0.345723
0.0,6,0.345964
0.0,5,0.346167
0.0,34,0.347124
0.0,17,0.347651
1.0,11,0.348013
0.0,30,0.348882
0.0,10,0.349208
1.0,10,0.349544
0.0,31,0.350464
0.0,38,0.351685
0.0,69,0.353736
1.0,10,0.354084
0.0,2,0.3542
0.0,8,0.354471
0.0,12,0.354889
0.0,19,0.355483
1.0,46,0.356802
0.0,11,0.357164
0.0,12,0.357556
0.0,4,0.357737
0.0,1,0.357826
0.0,5,0.358026
1.0,26,0.358806
0.0,96,0.361448
0.0,10,0.361794
0.0,4,0.361976
0.0,8,0.362256
0.0,6,0.362476
0.0,23,0.363198
0.0,4,0.363378
0.0,6,0.363636
1.0,43,0.364859
0.0,75,0.36688
0.0,10,0.367217
0.0,13,0.367637
1.0,15,0.368102
0.0,11,0.368453
0.0,14,0.368896
0.0,25,0.369654
0.0,6,0.369879
0.0,3,0.370028
0.0,17,0.370552
0.0,22,0.371194
1.0,42,0.372461
0.0,3,0.372623
0.0,13,0.373038
1.0,12,0.373418
1.0,24,0.37413
0.0,10,0.374467
1.0,31,0.37534
0.0,54,0.376918
1.0,25,0.377646
0.0,4,0.377819
0.0,3,0.377963
0.0,1,0.378054
0.0,5,0.378256
1.0,33,0.379212
1.0,55,0.38072
0.0,11,0.381122
0.0,27,0.381983
0.0,17,0.382499
0.0,6,0.382739
0.0,56,0.384287
0.0,14,0.384768
0.0,3,0.384929
0.0,16,0.385416
0.0,20,0.386055
1.0,39,0.387188
0.0,17,0.387745
0.0,40,0.388895
0.0,8,0.38917
0.0,3,0.389314
0.0,9,0.389634
1.0,14,0.390092
1.0,9,0.390414
0.0,28,0.391258
0.0,19,0.391824
0.0,6,0.392053
0.0,9,0.392362
0.0,4,0.392533
0.0,25,0.393259
0.0,5,0.393455
1.0,11,0.393824
0.0,1,0.393913
0.0,4,0.394093
1.0,18,0.394647
0.0,19,0.395218
1.0,83,0.397448
0.0,13,0.397917
1.0,23,0.398619
1.0,23,0.399301
0.0,14,0.399752
0.0,6,0.399985
1.0,20,0.400578
0.0,1,0.400667
0.0,1,0.400761
1.0,13,0.401172
0.0,9,0.401479
0.0,15,0.401947
0.0,27,0.402746
0.0,46,0.404035
0.0,24,0.404726
0.0,27,0.405477
0.0,26,0.406231
0.0,7,0.40648
0.0,51,0.407873
0.0,26,0.408638
0.0,4,0.408811
1.0,40,0.409927
0.0,12,0.410317
0.0,6,0.410552
0.0,4,0.41073
1.0,71,0.412661
0.0,27,0.413508
0.0,10,0.413855
1.0,27,0.41465
1.0,8,0.414934
0.0,8,0.415218
0.0,19,0.415798
1.0,11,0.41615
1.0,55,0.41767
0.0,8,0.417954
