#{"t_start": 1523123258.2654264, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.006598
0.0,4,0.006776
0.0,15,0.007194
0.0,9,0.007463
0.0,4,0.007617
0.0,1,0.007706
0.0,22,0.008295
0.0,8,0.008548
0.0,10,0.00884
0.0,15,0.009268
0.0,14,0.009646
0.0,27,0.010326
0.0,1,0.010416
0.0,7,0.010638
0.0,4,0.01079
0.0,11,0.011115
0.0,7,0.011338
0.0,4,0.011498
0.0,6,0.011693
0.0,25,0.012321
0.0,13,0.012687
0.0,43,0.013726
0.0,27,0.01443
0.0,11,0.014753
0.0,31,0.015522
1.0,54,0.016822
1.0,18,0.017309
0.0,15,0.017715
0.0,22,0.018287
1.0,54,0.019534
0.0,26,0.020194
0.0,19,0.020692
0.0,78,0.022524
1.0,60,0.023922
0.0,3,0.024055
0.0,13,0.024421
0.0,6,0.024621
0.0,4,0.024779
0.0,48,0.025908
0.0,3,0.026046
0.0,22,0.026624
0.0,13,0.026993
0.0,25,0.027626
0.0,15,0.028037
0.0,27,0.028702
0.0,34,0.029577
0.0,1,0.029661
0.0,1,0.029748
0.0,40,0.030742
0.0,5,0.030925
0.0,51,0.032125
0.0,5,0.032308
0.0,4,0.032468
0.0,15,0.032865
0.0,13,0.033242
0.0,33,0.034031
0.0,12,0.034385
0.0,19,0.034874
1.0,30,0.035622
1.0,10,0.035913
0.0,11,0.036245
0.0,39,0.037194
0.0,9,0.037476
0.0,10,0.037777
0.0,6,0.037987
0.0,7,0.03822
0.0,10,0.03852
0.0,25,0.039152
0.0,58,0.040515
0.0,32,0.041296
0.0,22,0.041875
0.0,28,0.042611
1.0,53,0.043869
0.0,37,0.044788
1.0,33,0.045615
0.0,26,0.046257
0.0,1,0.046341
0.0,3,0.046479
0.0,19,0.046964
0.0,33,0.047788
0.0,55,0.049078
0.0,4,0.04925
0.0,6,0.04946
0.0,12,0.049799
0.0,29,0.050509
0.0,15,0.050902
0.0,6,0.05111
0.0,60,0.052535
0.0,23,0.053115
0.0,13,0.053465
0.0,39,0.054416
0.0,19,0.0549
0.0,3,0.055031
0.0,6,0.055245
0.0,38,0.056178
0.0,1,0.056262
0.0,3,0.056397
0.0,15,0.056806
0.0,32,0.057605
1.0,33,0.058411
1.0,15,0.058824
0.0,28,0.059516
0.0,13,0.059859
0.0,12,0.06021
1.0,10,0.060496
0.0,16,0.060906
1.0,17,0.061364
0.0,4,0.061519
0.0,11,0.061837
0.0,21,0.062386
0.0,16,0.062811
1.0,48,0.063944
0.0,4,0.064116
0.0,13,0.064481
0.0,19,0.064962
0.0,22,0.065534
1.0,20,0.066045
0.0,24,0.066658
0.0,9,0.066928
0.0,47,0.068046
0.0,10,0.068352
0.0,7,0.068579
1.0,29,0.069293
0.0,4,0.069455
0.0,6,0.069658
1.0,23,0.070235
0.0,4,0.070392
0.0,5,0.070576
0.0,8,0.070828
0.0,40,0.071796
0.0,4,0.07195
0.0,7,0.072189
0.0,17,0.072634
0.0,8,0.072892
0.0,51,0.074092
0.0,35,0.074981
0.0,8,0.075235
0.0,13,0.07559
1.0,48,0.076711
0.0,8,0.076951
0.0,10,0.077253
0.0,16,0.077679
0.0,16,0.078097
1.0,10,0.078401
0.0,13,0.078758
1.0,39,0.079708
0.0,6,0.079906
0.0,7,0.08016
0.0,10,0.080468
0.0,31,0.08124
0.0,10,0.081533
1.0,32,0.082317
0.0,45,0.083391
0.0,18,0.08386
0.0,12,0.084212
0.0,26,0.084868
0.0,31,0.085647
0.0,45,0.086716
0.0,13,0.087073
0.0,11,0.087405
0.0,7,0.087634
0.0,7,0.087857
0.0,7,0.088074
1.0,36,0.088951
0.0,1,0.089039
0.0,26,0.089708
0.0,30,0.090461
0.0,22,0.091009
0.0,48,0.09215
0.0,26,0.092806
0.0,3,0.092937
1.0,31,0.093712
1.0,9,0.093982
0.0,7,0.09422
0.0,2,0.094337
0.0,42,0.095351
0.0,18,0.095807
0.0,1,0.095892
1.0,34,0.096728
1.0,15,0.097132
1.0,30,0.097883
1.0,19,0.098377
0.0,19,0.098863
0.0,6,0.099071
0.0,11,0.099398
0.0,67,0.100959
1.0,35,0.101818
0.0,6,0.102014
1.0,32,0.102803
0.0,1,0.10289
0.0,47,0.104
1.0,15,0.10443
0.0,18,0.104897
0.0,17,0.105372
0.0,3,0.105508
0.0,8,0.10575
1.0,10,0.106033
1.0,24,0.106639
0.0,47,0.107851
0.0,4,0.10801
0.0,15,0.108438
0.0,3,0.108575
0.0,1,0.108659
1.0,23,0.109239
0.0,16,0.109666
0.0,12,0.109995
0.0,1,0.11008
0.0,3,0.110223
1.0,69,0.111857
0.0,5,0.112044
0.0,3,0.112185
0.0,6,0.11238
0.0,9,0.112652
0.0,59,0.114033
1.0,21,0.114578
0.0,9,0.114852
0.0,17,0.115307
0.0,26,0.11596
0.0,1,0.116041
1.0,58,0.117421
1.0,34,0.118244
1.0,29,0.118932
0.0,22,0.119497
0.0,15,0.119895
1.0,15,0.120303
0.0,3,0.120439
0.0,5,0.120613
0.0,14,0.120997
1.0,19,0.121485
1.0,10,0.121785
0.0,27,0.122464
1.0,9,0.122726
0.0,22,0.123296
0.0,25,0.123911
0.0,5,0.12409
1.0,59,0.125489
1.0,23,0.126079
0.0,42,0.127092
0.0,34,0.127923
0.0,10,0.128229
0.0,4,0.128382
0.0,2,0.128493
0.0,21,0.129026
0.0,5,0.129211
0.0,2,0.129333
0.0,5,0.129512
0.0,32,0.13032
0.0,6,0.130524
1.0,29,0.131252
0.0,5,0.131428
1.0,14,0.131819
0.0,5,0.131991
0.0,5,0.132184
0.0,51,0.133405
0.0,12,0.133741
1.0,15,0.134152
0.0,7,0.134371
0.0,12,0.134728
0.0,7,0.134955
0.0,3,0.135095
0.0,11,0.135421
0.0,20,0.135928
0.0,21,0.136467
1.0,30,0.137212
0.0,12,0.137541
0.0,9,0.137813
0.0,14,0.138214
1.0,12,0.138546
0.0,5,0.138719
1.0,17,0.139184
0.0,15,0.139583
1.0,21,0.140136
0.0,25,0.140768
0.0,1,0.140855
0.0,11,0.141185
0.0,8,0.141434
0.0,1,0.14152
0.0,12,0.141866
0.0,20,0.142395
0.0,7,0.142617
0.0,22,0.143198
0.0,7,0.143427
1.0,63,0.144914
0.0,70,0.146546
0.0,4,0.146708
0.0,10,0.146994
1.0,26,0.147641
0.0,7,0.147866
0.0,26,0.148526
0.0,8,0.148784
0.0,14,0.14918
1.0,21,0.149708
1.0,15,0.150179
0.0,36,0.151057
0.0,10,0.151363
0.0,9,0.151642
0.0,1,0.151725
0.0,34,0.15255
1.0,39,0.15353
1.0,22,0.154111
0.0,4,0.15428
0.0,62,0.155741
1.0,8,0.155994
0.0,13,0.156368
0.0,4,0.156529
0.0,41,0.157557
1.0,43,0.158584
0.0,4,0.158741
0.0,4,0.158902
0.0,6,0.159124
0.0,8,0.159377
1.0,9,0.159649
1.0,22,0.160284
1.0,32,0.161049
0.0,1,0.16114
0.0,40,0.16211
0.0,3,0.162251
0.0,22,0.162833
0.0,5,0.163013
0.0,26,0.163671
1.0,18,0.164178
0.0,17,0.164622
1.0,23,0.165218
1.0,19,0.165698
0.0,6,0.165898
0.0,15,0.166334
0.0,7,0.166563
