#{"t_start": 1523122445.941127, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,7,0.03485
0.0,1,0.035054
0.0,4,0.035425
0.0,2,0.035702
0.0,15,0.036453
0.0,19,0.037367
0.0,9,0.037846
0.0,8,0.03827
0.0,6,0.038616
0.0,6,0.038949
0.0,4,0.039193
0.0,10,0.039708
0.0,2,0.039869
0.0,12,0.040465
0.0,8,0.040895
0.0,13,0.04154
0.0,7,0.04192
0.0,20,0.042873
0.0,4,0.043121
0.0,42,0.045039
0.0,42,0.04697
0.0,10,0.047478
0.0,68,0.050549
0.0,68,0.053618
0.0,57,0.056196
0.0,40,0.058038
0.0,100,0.062511
0.0,3,0.062724
0.0,2,0.062884
0.0,26,0.064105
0.0,1,0.064217
0.0,23,0.065305
0.0,7,0.065701
0.0,12,0.0663
0.0,2,0.066458
0.0,100,0.070936
0.0,2,0.071096
0.0,3,0.071298
0.0,1,0.07141
0.0,3,0.071623
0.0,7,0.071999
0.0,29,0.073343
0.0,8,0.073776
0.0,8,0.074194
0.0,80,0.077781
0.0,18,0.078648
0.0,14,0.07933
0.0,38,0.081072
0.0,23,0.08215
0.0,20,0.083104
0.0,100,0.087583
0.0,20,0.08853
0.0,25,0.08971
0.0,100,0.094176
0.0,5,0.094465
0.0,6,0.09481
0.0,11,0.095366
0.0,10,0.095891
0.0,2,0.096049
0.0,7,0.096427
0.0,8,0.096859
0.0,16,0.097637
0.0,5,0.097927
0.0,4,0.098173
0.0,8,0.098602
0.0,8,0.099025
0.0,11,0.099594
0.0,14,0.100275
0.0,7,0.100666
0.0,3,0.100868
0.0,5,0.101156
0.0,8,0.101588
0.0,1,0.1017
0.0,1,0.101813
0.0,9,0.102281
0.0,3,0.102481
0.0,37,0.104183
0.0,18,0.105049
0.0,29,0.106401
0.0,9,0.10688
0.0,46,0.10898
0.0,24,0.110114
0.0,64,0.113004
0.0,100,0.117476
0.0,7,0.117862
0.0,3,0.118064
0.0,8,0.118486
0.0,11,0.119044
0.0,5,0.119333
0.0,7,0.119719
0.0,8,0.120141
0.0,5,0.120431
0.0,24,0.121571
0.0,13,0.122209
0.0,31,0.123649
0.0,14,0.124332
0.0,28,0.125649
0.0,13,0.126291
0.0,13,0.126943
0.0,10,0.127451
0.0,5,0.127751
0.0,6,0.128085
0.0,42,0.130001
0.0,5,0.130292
0.0,26,0.131499
0.0,34,0.133076
0.0,45,0.135122
0.0,51,0.137498
0.0,6,0.137842
0.0,80,0.141427
0.0,10,0.141951
0.0,100,0.146406
0.0,6,0.146751
0.0,11,0.147304
0.0,7,0.14769
0.0,2,0.147849
0.0,1,0.14796
0.0,25,0.149133
0.0,17,0.149953
0.0,8,0.150379
0.0,1,0.15049
0.0,1,0.150609
0.0,1,0.150719
0.0,6,0.151049
