#{"t_start": 1522230222.4164715, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.019239
0.0,1,0.019398
0.0,8,0.019838
0.0,1,0.019949
0.0,14,0.020636
0.0,4,0.020885
0.0,1,0.020998
0.0,7,0.021382
0.0,4,0.021626
0.0,3,0.021828
1.0,25,0.023009
0.0,12,0.023612
0.0,11,0.024159
0.0,11,0.024713
0.0,19,0.025624
0.0,2,0.025783
0.0,20,0.026734
0.0,1,0.026851
0.0,42,0.030002
0.0,7,0.031352
0.0,24,0.03248
0.0,1,0.032596
1.0,13,0.033228
0.0,9,0.0337
1.0,11,0.034249
0.0,6,0.034589
0.0,33,0.037619
0.0,4,0.037868
0.0,17,0.038688
0.0,42,0.040607
0.0,5,0.040894
1.0,12,0.041494
1.0,10,0.042
0.0,15,0.042729
1.0,19,0.043633
0.0,30,0.045003
1.0,58,0.04761
0.0,2,0.047771
1.0,15,0.048507
1.0,8,0.048926
0.0,12,0.049528
0.0,11,0.050078
0.0,46,0.052179
0.0,6,0.052527
0.0,5,0.052814
0.0,1,0.052928
1.0,13,0.053578
0.0,20,0.054525
1.0,21,0.055512
1.0,14,0.05619
0.0,2,0.056348
1.0,24,0.057477
0.0,1,0.057591
0.0,15,0.058311
1.0,18,0.05917
0.0,33,0.060702
0.0,6,0.061036
0.0,21,0.062027
1.0,22,0.063062
0.0,3,0.063269
0.0,1,0.06339
0.0,2,0.06355
0.0,38,0.065272
0.0,6,0.065623
0.0,32,0.071263
0.0,30,0.072735
0.0,11,0.073283
0.0,29,0.074633
0.0,11,0.075187
0.0,22,0.081599
1.0,31,0.084282
0.0,15,0.085029
1.0,10,0.085549
0.0,3,0.085755
0.0,1,0.085869
1.0,25,0.087043
0.0,5,0.087337
1.0,9,0.092335
1.0,24,0.093479
0.0,8,0.093903
1.0,28,0.095207
0.0,27,0.101001
1.0,13,0.10167
0.0,2,0.101827
0.0,1,0.101942
0.0,3,0.102144
1.0,17,0.102961
0.0,17,0.103786
0.0,18,0.104654
0.0,1,0.104776
0.0,23,0.110888
0.0,5,0.1112
0.0,11,0.111765
0.0,17,0.112586
1.0,25,0.113756
1.0,12,0.11435
0.0,28,0.120163
0.0,34,0.122292
1.0,46,0.124394
0.0,7,0.124773
0.0,16,0.130296
0.0,55,0.133306
0.0,23,0.134405
0.0,28,0.140306
0.0,1,0.140863
0.0,2,0.141024
0.0,46,0.143103
0.0,23,0.144192
1.0,15,0.144931
0.0,4,0.145175
0.0,16,0.15098
1.0,19,0.151911
0.0,45,0.153957
0.0,11,0.15452
0.0,2,0.15468
1.0,14,0.159953
0.0,8,0.160823
0.0,61,0.163573
1.0,20,0.164531
1.0,48,0.171746
1.0,26,0.172971
0.0,5,0.173258
0.0,2,0.173426
1.0,16,0.174193
1.0,28,0.180068
0.0,11,0.181073
0.0,22,0.182106
0.0,4,0.183944
1.0,15,0.184684
0.0,17,0.185502
1.0,46,0.187585
1.0,20,0.192977
1.0,11,0.193547
1.0,41,0.195415
0.0,1,0.195528
0.0,1,0.195642
0.0,18,0.196507
0.0,13,0.197141
1.0,12,0.202336
0.0,5,0.202637
0.0,41,0.204521
0.0,30,0.205913
0.0,1,0.206027
0.0,13,0.211123
0.0,61,0.213883
1.0,13,0.214529
0.0,20,0.218646
1.0,18,0.219512
1.0,30,0.220902
1.0,35,0.222642
0.0,7,0.223021
0.0,22,0.224051
0.0,45,0.226093
1.0,16,0.226871
0.0,1,0.226982
1.0,8,0.227421
0.0,1,0.227532
1.0,20,0.228475
0.0,2,0.228634
0.0,18,0.229496
1.0,17,0.2303
0.0,17,0.231122
0.0,5,0.231425
1.0,18,0.232279
1.0,20,0.233223
0.0,31,0.234662
0.0,9,0.235127
0.0,34,0.236699
1.0,52,0.23905
1.0,26,0.240261
0.0,31,0.241714
1.0,10,0.24222
1.0,31,0.243642
0.0,21,0.24875
0.0,8,0.249288
1.0,15,0.250036
1.0,23,0.252915
1.0,12,0.253526
1.0,33,0.255035
0.0,52,0.261652
0.0,2,0.261839
0.0,20,0.262793
0.0,41,0.264662
1.0,10,0.26517
0.0,14,0.2709
0.0,44,0.272926
0.0,4,0.273181
1.0,21,0.274181
1.0,36,0.280872
0.0,9,0.281368
1.0,46,0.283467
0.0,45,0.290293
0.0,2,0.290737
0.0,1,0.290852
0.0,15,0.291582
0.0,30,0.292978
0.0,41,0.294856
1.0,18,0.300751
0.0,28,0.302069
0.0,38,0.30383
0.0,1,0.30397
1.0,21,0.305126
0.0,7,0.310831
1.0,28,0.312218
1.0,28,0.313527
1.0,59,0.32123
0.0,1,0.322257
1.0,13,0.322907
0.0,2,0.323063
0.0,14,0.323757
0.0,2,0.323919
0.0,33,0.325438
1.0,15,0.326159
1.0,15,0.3311
1.0,19,0.332012
0.0,16,0.332784
0.0,4,0.333034
0.0,1,0.333143
1.0,26,0.334345
0.0,18,0.335204
1.0,46,0.34232
0.0,28,0.343642
1.0,12,0.344243
0.0,31,0.350707
0.0,6,0.351044
0.0,20,0.351999
0.0,28,0.353293
1.0,16,0.354067
0.0,2,0.354226
0.0,21,0.35522
0.0,27,0.361513
1.0,22,0.362553
0.0,13,0.363188
0.0,9,0.36366
1.0,20,0.364619
0.0,6,0.36495
0.0,20,0.370928
0.0,19,0.371846
0.0,5,0.372136
0.0,21,0.37313
0.0,10,0.37365
1.0,21,0.374644
0.0,49,0.381881
0.0,7,0.382268
0.0,61,0.386865
1.0,39,0.392865
0.0,4,0.393117
0.0,44,0.395111
0.0,4,0.395372
0.0,25,0.396544
0.0,9,0.397007
0.0,2,0.397165
0.0,2,0.397323
0.0,25,0.398513
0.0,18,0.39937
0.0,3,0.399577
0.0,9,0.400036
0.0,3,0.400239
0.0,49,0.402471
1.0,35,0.404069
0.0,1,0.404181
1.0,23,0.405263
0.0,8,0.405694
0.0,1,0.405808
1.0,30,0.407185
1.0,32,0.408664
1.0,10,0.40917
1.0,23,0.410248
1.0,35,0.41186
1.0,31,0.413286
0.0,6,0.413644
1.0,16,0.414418
1.0,14,0.415093
0.0,1,0.415204
1.0,20,0.416155
1.0,12,0.416759
0.0,4,0.417005
0.0,6,0.417339
0.0,1,0.417464
0.0,9,0.417931
1.0,40,0.419753
0.0,11,0.420305
0.0,33,0.421832
0.0,2,0.422088
0.0,7,0.422504
0.0,19,0.423406
0.0,11,0.428125
0.0,10,0.428732
1.0,10,0.429247
1.0,12,0.429857
1.0,20,0.433648
0.0,9,0.434129
0.0,7,0.434519
0.0,3,0.434723
0.0,7,0.4351
0.0,22,0.436136
0.0,22,0.437169
0.0,3,0.441586
0.0,3,0.441813
0.0,8,0.44223
0.0,4,0.442492
0.0,24,0.443608
0.0,33,0.445124
0.0,9,0.445604
0.0,14,0.446281
0.0,14,0.451813
1.0,14,0.452517
0.0,30,0.453895
1.0,15,0.454624
0.0,3,0.454824
0.0,7,0.455203
0.0,4,0.459664
0.0,32,0.461981
1.0,66,0.464942
0.0,7,0.465325
0.0,1,0.469639
0.0,5,0.469934
0.0,35,0.47239
0.0,4,0.472643
0.0,40,0.474467
0.0,3,0.474671
0.0,10,0.475172
0.0,33,0.481737
0.0,17,0.482584
0.0,26,0.483985
1.0,32,0.489941
0.0,60,0.493606
1.0,60,0.501353
0.0,52,0.503734
0.0,5,0.504028
0.0,10,0.504545
0.0,7,0.50492
0.0,4,0.505164
0.0,22,0.511231
0.0,11,0.511808
0.0,1,0.511921
0.0,11,0.51248
0.0,20,0.513434
0.0,13,0.514073
1.0,33,0.519753
0.0,8,0.520182
0.0,10,0.521581
0.0,35,0.52318
1.0,53,0.527764
0.0,13,0.528421
0.0,4,0.528669
0.0,8,0.529088
1.0,10,0.529602
0.0,27,0.535849
1.0,40,0.537681
1.0,28,0.538985
0.0,20,0.543975
0.0,10,0.544499
0.0,12,0.545088
0.0,9,0.54556
0.0,7,0.545942
1.0,24,0.54706
0.0,32,0.553528
0.0,51,0.555834
1.0,14,0.556525
0.0,4,0.556773
0.0,7,0.557144
0.0,1,0.557257
1.0,9,0.561771
0.0,9,0.562237
0.0,6,0.562584
0.0,25,0.563754
0.0,10,0.564262
1.0,64,0.572133
0.0,15,0.572872
0.0,3,0.573076
0.0,7,0.573461
1.0,11,0.574005
1.0,11,0.574564
1.0,13,0.575198
1.0,13,0.577333
0.0,6,0.577675
1.0,42,0.579572
0.0,4,0.579815
0.0,24,0.580948
0.0,38,0.5827
1.0,37,0.584399
0.0,22,0.585426
0.0,12,0.586019
1.0,14,0.586708
0.0,1,0.58682
1.0,41,0.588685
0.0,1,0.588799
0.0,61,0.591541
0.0,9,0.592007
0.0,5,0.592293
0.0,10,0.592809
1.0,24,0.593927
0.0,9,0.594401
0.0,4,0.594645
0.0,4,0.594887
0.0,21,0.595882
0.0,7,0.596255
0.0,7,0.596644
1.0,19,0.597555
0.0,18,0.598421
1.0,37,0.600106
0.0,29,0.60146
0.0,25,0.602621
1.0,35,0.608413
0.0,8,0.608916
0.0,5,0.609209
0.0,49,0.614948
0.0,14,0.615665
1.0,60,0.622898
1.0,60,0.62565
1.0,9,0.629126
0.0,6,0.629478
0.0,2,0.629636
1.0,33,0.632836
1.0,19,0.633751
0.0,3,0.633952
1.0,52,0.636281
0.0,21,0.641652
1.0,21,0.642659
0.0,65,0.650265
0.0,4,0.65089
0.0,10,0.651408
0.0,14,0.652092
0.0,10,0.652609
0.0,23,0.653688
0.0,3,0.65389
1.0,25,0.655055
0.0,1,0.655171
0.0,10,0.660719
1.0,19,0.661638
0.0,14,0.66234
1.0,27,0.663829
1.0,23,0.664979
0.0,5,0.665267
0.0,20,0.671423
1.0,15,0.672219
0.0,35,0.673848
1.0,43,0.680851
0.0,14,0.68156
0.0,2,0.681721
0.0,6,0.682053
0.0,9,0.682528
1.0,26,0.683742
0.0,14,0.684432
1.0,16,0.685201
0.0,18,0.691093
0.0,13,0.691755
1.0,14,0.692441
1.0,17,0.693253
1.0,19,0.69416
0.0,7,0.694548
0.0,19,0.700109
0.0,11,0.70104
0.0,2,0.701197
0.0,22,0.702224
0.0,5,0.702527
1.0,20,0.703472
1.0,23,0.704543
1.0,10,0.705049
0.0,4,0.705292
0.0,9,0.710793
1.0,36,0.712462
0.0,5,0.712759
0.0,21,0.713753
0.0,6,0.714087
0.0,15,0.714831
0.0,10,0.715336
0.0,2,0.720144
1.0,33,0.722042
0.0,8,0.722476
1.0,47,0.724616
0.0,5,0.724905
1.0,15,0.730281
0.0,17,0.731671
1.0,30,0.733055
1.0,13,0.733708
1.0,45,0.740269
0.0,22,0.741829
0.0,12,0.742438
0.0,7,0.742818
0.0,4,0.743062
0.0,26,0.744265
0.0,18,0.745126
0.0,11,0.750188
0.0,54,0.753147
0.0,20,0.7541
0.0,1,0.754216
0.0,3,0.754428
0.0,14,0.755106
1.0,18,0.757468
1.0,16,0.758235
0.0,15,0.758994
0.0,23,0.760069
0.0,2,0.760226
0.0,8,0.760669
1.0,22,0.76171
0.0,59,0.764353
0.0,20,0.765296
0.0,8,0.76572
0.0,3,0.765921
0.0,13,0.766571
0.0,6,0.7669
1.0,33,0.768411
0.0,15,0.76913
0.0,19,0.770039
1.0,9,0.77052
1.0,78,0.773997
0.0,21,0.774989
0.0,19,0.775893
0.0,3,0.776096
1.0,26,0.777304
0.0,6,0.777646
0.0,12,0.778234
0.0,6,0.77858
0.0,17,0.779397
0.0,47,0.781532
0.0,58,0.788329
1.0,35,0.790015
0.0,58,0.795828
0.0,29,0.797199
0.0,13,0.797844
0.0,12,0.803304
0.0,12,0.80393
0.0,32,0.805415
0.0,4,0.805667
0.0,1,0.805777
0.0,65,0.812886
1.0,24,0.814034
0.0,70,0.822043
0.0,1,0.822185
0.0,46,0.824264
0.0,18,0.825132
0.0,53,0.832573
0.0,2,0.834388
1.0,26,0.83561
1.0,12,0.836205
0.0,21,0.837206
0.0,20,0.838158
0.0,10,0.845336
0.0,1,0.845545
1.0,24,0.846692
