#{"t_start": 1523135453.9788187, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,4,0.006265
0.0,3,0.006442
0.0,1,0.006536
0.0,2,0.006667
0.0,1,0.006765
0.0,12,0.007153
0.0,2,0.007278
0.0,9,0.007621
0.0,22,0.008286
0.0,35,0.009333
0.0,68,0.011196
0.0,13,0.011713
0.0,3,0.011866
0.0,19,0.012467
0.0,5,0.012672
0.0,1,0.012768
0.0,72,0.014805
0.0,9,0.015111
0.0,9,0.01543
0.0,2,0.015557
0.0,15,0.016024
0.0,13,0.016453
0.0,30,0.017358
0.0,9,0.017745
0.0,21,0.018392
0.0,2,0.018523
0.0,40,0.019671
0.0,10,0.020011
0.0,5,0.020222
0.0,77,0.022346
1.0,85,0.024665
1.0,8,0.024951
1.0,8,0.025225
0.0,15,0.025697
1.0,31,0.026604
0.0,16,0.027103
0.0,4,0.027277
0.0,17,0.027823
0.0,14,0.028256
0.0,2,0.028389
1.0,34,0.029377
0.0,5,0.029576
0.0,54,0.031069
0.0,23,0.03176
0.0,39,0.032883
0.0,13,0.033304
0.0,28,0.034118
0.0,1,0.034208
1.0,29,0.035048
0.0,2,0.035171
0.0,4,0.035362
1.0,35,0.036375
0.0,32,0.037279
0.0,9,0.037672
0.0,17,0.038183
0.0,3,0.038365
0.0,6,0.038666
0.0,19,0.039422
1.0,38,0.040555
1.0,24,0.041255
0.0,28,0.042086
0.0,18,0.04263
0.0,47,0.043946
0.0,5,0.044147
1.0,18,0.044712
0.0,23,0.045384
0.0,3,0.045536
1.0,33,0.04649
1.0,12,0.046879
1.0,23,0.047577
0.0,24,0.04826
0.0,1,0.048361
0.0,6,0.048587
0.0,38,0.049743
0.0,45,0.051075
0.0,10,0.051425
1.0,44,0.052688
1.0,12,0.053086
0.0,7,0.053352
0.0,3,0.0535
1.0,21,0.054121
0.0,13,0.054543
0.0,26,0.055319
0.0,13,0.055772
0.0,3,0.055925
0.0,31,0.056888
0.0,2,0.057007
1.0,21,0.057648
0.0,29,0.058503
1.0,19,0.059086
0.0,5,0.059289
1.0,51,0.06073
0.0,1,0.06082
0.0,17,0.061356
0.0,7,0.061615
0.0,7,0.061873
1.0,14,0.062326
0.0,6,0.062548
0.0,11,0.062895
0.0,34,0.063861
0.0,7,0.064111
0.0,36,0.065138
0.0,12,0.065536
1.0,23,0.066195
0.0,5,0.066409
1.0,27,0.067166
1.0,15,0.067636
0.0,2,0.067761
1.0,47,0.069134
0.0,2,0.069259
0.0,3,0.069419
0.0,4,0.069598
0.0,24,0.070324
1.0,56,0.071887
1.0,19,0.072453
1.0,15,0.072921
0.0,1,0.073014
0.0,5,0.073213
0.0,7,0.073482
0.0,6,0.073707
1.0,48,0.075056
1.0,33,0.076007
1.0,9,0.076319
1.0,9,0.076633
1.0,19,0.077195
1.0,29,0.078029
0.0,13,0.078451
0.0,3,0.078601
1.0,21,0.07923
0.0,8,0.07953
0.0,25,0.08025
0.0,6,0.080491
1.0,15,0.080952
0.0,10,0.081284
0.0,2,0.081418
1.0,26,0.082167
0.0,7,0.082433
0.0,36,0.083463
0.0,14,0.083907
1.0,17,0.084428
0.0,1,0.084522
0.0,3,0.084674
0.0,86,0.087137
0.0,6,0.08738
0.0,62,0.089126
0.0,11,0.089513
0.0,2,0.089638
0.0,16,0.090129
0.0,84,0.092422
1.0,9,0.092748
0.0,8,0.09303
0.0,17,0.093561
1.0,18,0.094101
0.0,2,0.094223
0.0,14,0.094692
0.0,2,0.094811
0.0,14,0.095257
0.0,11,0.095629
0.0,76,0.097688
0.0,2,0.097814
1.0,29,0.098648
0.0,49,0.100024
0.0,21,0.100649
1.0,11,0.101014
0.0,57,0.102602
0.0,22,0.103233
0.0,24,0.10399
0.0,7,0.104249
1.0,24,0.104956
