#{"t_start": 1523135707.4292846, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.006437
0.0,2,0.006576
0.0,3,0.006719
0.0,6,0.006915
0.0,14,0.007286
0.0,8,0.007518
0.0,3,0.007642
0.0,4,0.007796
0.0,34,0.008602
0.0,21,0.00913
0.0,23,0.009706
0.0,7,0.009924
0.0,30,0.010629
1.0,40,0.011564
0.0,6,0.011759
0.0,26,0.012399
0.0,41,0.013356
0.0,70,0.014924
0.0,1,0.015012
0.0,17,0.015482
0.0,34,0.016256
0.0,4,0.01641
0.0,18,0.016868
0.0,1,0.016952
0.0,28,0.017618
0.0,17,0.018052
1.0,9,0.018329
0.0,4,0.018479
0.0,44,0.019538
1.0,14,0.019905
1.0,30,0.020607
0.0,18,0.021051
0.0,37,0.02192
0.0,8,0.02216
0.0,15,0.022551
0.0,37,0.023406
0.0,37,0.024265
1.0,12,0.024581
1.0,42,0.025553
1.0,12,0.025875
0.0,1,0.025959
1.0,16,0.02639
0.0,2,0.026502
1.0,16,0.026912
0.0,3,0.027035
0.0,23,0.027617
0.0,1,0.027699
1.0,23,0.028274
0.0,31,0.029012
0.0,17,0.02947
1.0,38,0.030351
0.0,18,0.030802
0.0,7,0.031018
0.0,23,0.031587
0.0,30,0.0323
0.0,76,0.03398
0.0,49,0.03509
1.0,16,0.035516
1.0,29,0.036201
0.0,20,0.036721
1.0,26,0.037354
0.0,16,0.03777
1.0,20,0.038259
1.0,28,0.038926
1.0,10,0.039207
0.0,1,0.039295
1.0,32,0.040047
1.0,14,0.04043
0.0,43,0.041427
0.0,14,0.041788
1.0,17,0.042221
0.0,32,0.042968
1.0,30,0.043768
0.0,5,0.04395
0.0,2,0.044059
1.0,17,0.044545
0.0,16,0.044958
0.0,15,0.045358
0.0,3,0.045491
0.0,10,0.045775
0.0,32,0.046539
0.0,1,0.046619
0.0,16,0.047029
1.0,20,0.047523
0.0,18,0.047985
0.0,8,0.048291
0.0,32,0.049064
0.0,3,0.049189
0.0,22,0.049744
0.0,4,0.049896
0.0,50,0.051024
0.0,44,0.052023
0.0,12,0.052386
1.0,18,0.052837
0.0,16,0.053252
1.0,10,0.053532
1.0,10,0.053802
0.0,8,0.054052
0.0,10,0.05435
0.0,15,0.054732
0.0,1,0.054811
0.0,3,0.054936
1.0,13,0.055291
0.0,14,0.055661
0.0,2,0.05577
0.0,5,0.055947
1.0,39,0.056837
1.0,34,0.057656
1.0,17,0.058096
1.0,43,0.059071
0.0,13,0.059416
1.0,16,0.059813
1.0,32,0.060559
0.0,4,0.060717
1.0,9,0.060969
0.0,5,0.061141
1.0,35,0.061968
0.0,3,0.062099
1.0,55,0.063352
0.0,25,0.063958
0.0,5,0.064133
1.0,11,0.064454
1.0,36,0.065322
0.0,18,0.06576
1.0,12,0.066079
1.0,8,0.066332
1.0,23,0.066883
1.0,8,0.067131
1.0,16,0.067545
0.0,11,0.067844
1.0,6,0.068038
0.0,2,0.068141
0.0,3,0.068285
1.0,36,0.06913
0.0,7,0.069352
0.0,9,0.069617
0.0,35,0.070437
0.0,13,0.070778
1.0,21,0.071302
1.0,13,0.071646
1.0,43,0.072643
1.0,10,0.072925
0.0,13,0.073279
1.0,81,0.075084
1.0,16,0.075501
1.0,39,0.076412
1.0,7,0.076622
0.0,27,0.077283
0.0,1,0.077368
0.0,5,0.07754
0.0,5,0.077715
0.0,7,0.077924
0.0,2,0.078031
0.0,8,0.07828
0.0,1,0.078361
0.0,3,0.078491
1.0,22,0.079031
1.0,13,0.079382
1.0,14,0.079739
0.0,13,0.080087
0.0,4,0.08024
0.0,12,0.080584
1.0,13,0.080929
0.0,8,0.081164
0.0,4,0.081328
0.0,1,0.081413
1.0,6,0.081615
0.0,2,0.081723
1.0,19,0.082196
0.0,10,0.082483
0.0,2,0.082594
0.0,8,0.082832
1.0,51,0.084022
0.0,1,0.084107
1.0,18,0.084566
0.0,32,0.085332
0.0,11,0.085636
1.0,12,0.085951
1.0,20,0.086468
1.0,9,0.086733
1.0,27,0.087375
1.0,24,0.087954
0.0,1,0.088037
0.0,5,0.088208
1.0,21,0.088736
0.0,54,0.08996
1.0,19,0.090452
0.0,44,0.091489
0.0,8,0.091736
0.0,3,0.09186
0.0,1,0.091942
0.0,6,0.092138
0.0,2,0.092253
0.0,10,0.092545
1.0,14,0.092905
0.0,1,0.092982
0.0,4,0.093128
0.0,2,0.093236
1.0,29,0.093954
0.0,25,0.094571
1.0,31,0.095309
0.0,4,0.095456
1.0,45,0.096524
0.0,5,0.096694
1.0,14,0.097051
1.0,22,0.097593
1.0,18,0.098044
1.0,22,0.098586
0.0,5,0.098755
0.0,10,0.099036
1.0,23,0.099598
0.0,29,0.100276
1.0,45,0.10131
0.0,32,0.102054
0.0,17,0.1025
1.0,24,0.103093
0.0,11,0.103408
1.0,14,0.103767
0.0,2,0.103868
0.0,34,0.104678
1.0,7,0.104891
1.0,13,0.105235
1.0,30,0.105955
0.0,12,0.106291
0.0,1,0.106428
0.0,1,0.106518
1.0,43,0.107522
1.0,17,0.107946
1.0,24,0.108543
0.0,1,0.108628
1.0,28,0.109306
0.0,4,0.109464
0.0,21,0.109987
1.0,16,0.110395
1.0,26,0.111032
0.0,5,0.11121
0.0,5,0.111388
0.0,19,0.111856
1.0,29,0.112567
0.0,2,0.112671
0.0,2,0.112773
1.0,19,0.113238
1.0,19,0.11373
1.0,27,0.114382
0.0,3,0.114522
1.0,24,0.115101
1.0,45,0.116161
0.0,11,0.116475
0.0,21,0.116982
0.0,9,0.117233
0.0,11,0.117532
1.0,12,0.117841
1.0,15,0.118216
1.0,25,0.118834
0.0,6,0.11903
0.0,8,0.119275
1.0,9,0.119534
1.0,38,0.120434
0.0,10,0.120714
0.0,7,0.120924
1.0,11,0.121215
1.0,29,0.121894
1.0,53,0.123098
1.0,25,0.123686
1.0,22,0.124208
1.0,32,0.124945
0.0,2,0.125047
0.0,2,0.125148
1.0,17,0.125597
1.0,34,0.126388
1.0,26,0.127004
0.0,8,0.12725
0.0,5,0.127432
0.0,1,0.127511
1.0,21,0.128029
1.0,17,0.128477
1.0,16,0.128895
0.0,4,0.129045
1.0,40,0.129976
0.0,27,0.130636
0.0,5,0.130803
1.0,19,0.131277
0.0,1,0.131356
1.0,22,0.131882
0.0,3,0.132011
0.0,30,0.132721
1.0,17,0.133161
0.0,20,0.133657
1.0,8,0.133898
0.0,10,0.134173
1.0,10,0.134466
0.0,9,0.134718
1.0,13,0.135065
1.0,39,0.135958
0.0,46,0.137034
1.0,21,0.137568
1.0,66,0.139047
1.0,27,0.139712
0.0,8,0.139962
0.0,2,0.140072
0.0,6,0.140272
0.0,7,0.140483
0.0,13,0.140819
0.0,20,0.141329
1.0,17,0.141767
0.0,14,0.142137
0.0,28,0.142798
1.0,37,0.143673
0.0,26,0.144328
1.0,19,0.144813
1.0,27,0.145468
0.0,10,0.145753
1.0,18,0.146212
1.0,29,0.146914
0.0,2,0.147024
0.0,15,0.147437
1.0,14,0.147805
0.0,5,0.147982
0.0,17,0.148432
1.0,38,0.149317
0.0,2,0.14942
0.0,5,0.149589
0.0,5,0.149766
1.0,14,0.150131
1.0,22,0.150675
1.0,16,0.151089
1.0,46,0.152141
1.0,10,0.152429
0.0,6,0.152624
1.0,11,0.15292
1.0,13,0.153294
0.0,7,0.153504
0.0,8,0.153733
0.0,15,0.154119
1.0,10,0.154403
0.0,12,0.154724
1.0,37,0.155584
1.0,15,0.155967
0.0,12,0.156309
1.0,9,0.156563
0.0,18,0.157023
0.0,3,0.157153
0.0,20,0.157658
0.0,39,0.158553
1.0,19,0.159024
0.0,1,0.159104
1.0,29,0.159803
1.0,18,0.160255
0.0,13,0.160599
0.0,8,0.160837
1.0,24,0.161425
0.0,12,0.161745
0.0,8,0.161982
0.0,6,0.162188
1.0,18,0.162638
0.0,98,0.164758
1.0,13,0.165121
1.0,50,0.166258
0.0,2,0.166364
0.0,2,0.166471
0.0,2,0.16658
0.0,11,0.166876
0.0,23,0.167432
0.0,14,0.167806
1.0,14,0.168168
0.0,23,0.168752
1.0,47,0.169827
0.0,1,0.169912
1.0,61,0.171289
0.0,1,0.171384
0.0,1,0.171467
