#{"t_start": 1523136550.3737435, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.00619
0.0,3,0.006369
0.0,3,0.006531
0.0,4,0.006698
0.0,1,0.006792
0.0,11,0.007191
0.0,3,0.00737
0.0,16,0.007841
0.0,15,0.008349
0.0,6,0.008572
0.0,1,0.008663
0.0,24,0.009341
0.0,15,0.009789
0.0,19,0.010379
0.0,23,0.011065
0.0,6,0.011308
0.0,7,0.011559
0.0,17,0.012065
0.0,79,0.014182
0.0,5,0.014409
0.0,22,0.015098
0.0,2,0.015224
0.0,11,0.01559
0.0,13,0.016009
0.0,58,0.017593
0.0,9,0.017894
0.0,17,0.018397
0.0,37,0.019471
0.0,55,0.020977
0.0,33,0.021854
0.0,15,0.022348
0.0,1,0.022439
0.0,25,0.023175
0.0,13,0.023593
0.0,46,0.02483
0.0,8,0.025135
0.0,32,0.026064
0.0,41,0.027208
0.0,26,0.027954
1.0,60,0.029604
0.0,61,0.031268
0.0,50,0.032634
0.0,4,0.032804
0.0,70,0.034681
0.0,49,0.036023
0.0,6,0.036247
0.0,88,0.038614
0.0,35,0.039581
0.0,3,0.039727
0.0,52,0.04118
0.0,1,0.041288
0.0,48,0.042575
0.0,18,0.043131
0.0,13,0.04355
0.0,51,0.044967
0.0,49,0.046326
0.0,10,0.04665
0.0,43,0.047838
0.0,25,0.048541
0.0,4,0.048712
0.0,21,0.049374
0.0,5,0.049566
0.0,14,0.050017
0.0,5,0.050219
0.0,35,0.051202
0.0,10,0.051523
0.0,20,0.052134
0.0,1,0.052231
0.0,15,0.052693
0.0,15,0.053169
0.0,61,0.054784
0.0,11,0.055162
0.0,2,0.0553
0.0,8,0.055571
0.0,16,0.056087
0.0,1,0.056179
0.0,15,0.056647
0.0,5,0.05684
0.0,6,0.057071
1.0,24,0.057744
0.0,5,0.057966
0.0,19,0.058544
0.0,6,0.058758
0.0,2,0.058871
0.0,27,0.059673
0.0,39,0.060724
0.0,9,0.061071
1.0,18,0.061629
0.0,24,0.062373
0.0,4,0.062542
0.0,28,0.063369
0.0,43,0.064653
0.0,1,0.064741
0.0,31,0.065644
0.0,20,0.066229
0.0,5,0.066425
0.0,16,0.066899
0.0,13,0.067349
0.0,46,0.068626
0.0,13,0.069027
1.0,13,0.06943
0.0,6,0.069651
0.0,17,0.070197
0.0,46,0.071487
0.0,9,0.071784
0.0,19,0.07233
0.0,46,0.073596
0.0,33,0.074543
0.0,5,0.074744
0.0,9,0.075047
0.0,3,0.075193
0.0,3,0.075337
0.0,10,0.075661
0.0,6,0.07588
0.0,40,0.077032
0.0,92,0.079477
0.0,44,0.080701
0.0,2,0.080817
0.0,37,0.081826
0.0,10,0.082178
0.0,38,0.083276
0.0,32,0.084159
0.0,38,0.085304
0.0,100,0.087973
0.0,39,0.089069
0.0,4,0.089262
0.0,5,0.08945
0.0,3,0.089603
0.0,4,0.089776
0.0,1,0.089866
0.0,16,0.090348
0.0,6,0.090569
0.0,4,0.090745
0.0,24,0.091473
0.0,2,0.091588
0.0,18,0.092145
0.0,2,0.092283
1.0,9,0.092575
0.0,3,0.092716
0.0,10,0.093051
0.0,8,0.093328
0.0,16,0.093795
0.0,15,0.094302
0.0,22,0.094994
0.0,3,0.095155
0.0,11,0.095536
0.0,24,0.09622
0.0,5,0.096411
0.0,20,0.096997
0.0,20,0.097591
0.0,27,0.098391
0.0,2,0.098505
0.0,17,0.099015
0.0,15,0.099464
0.0,28,0.100296
0.0,12,0.100668
0.0,2,0.10079
0.0,38,0.101881
0.0,22,0.102514
0.0,2,0.102634
0.0,2,0.102754
0.0,2,0.102868
0.0,39,0.103995
0.0,5,0.104195
0.0,50,0.105522
0.0,21,0.106155
0.0,32,0.107191
0.0,27,0.107974
0.0,36,0.108933
0.0,10,0.109251
0.0,11,0.10959
0.0,1,0.109676
0.0,50,0.110996
1.0,27,0.111739
0.0,33,0.112627
0.0,1,0.112718
0.0,44,0.113867
0.0,8,0.11414
1.0,28,0.114895
0.0,12,0.115313
0.0,16,0.115783
1.0,8,0.11606
0.0,13,0.116446
0.0,1,0.116531
0.0,3,0.116673
0.0,15,0.117135
