#{"t_start": 1523136010.4531882, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.006506
0.0,12,0.007072
0.0,2,0.007239
0.0,19,0.00799
0.0,5,0.00828
0.0,2,0.008431
0.0,3,0.008615
0.0,16,0.009296
0.0,11,0.009759
0.0,28,0.010839
0.0,13,0.011411
0.0,23,0.012316
0.0,4,0.012534
0.0,26,0.013547
0.0,14,0.014121
0.0,5,0.014392
0.0,23,0.015305
0.0,27,0.016338
0.0,9,0.016744
0.0,8,0.017107
0.0,27,0.01814
0.0,30,0.019297
0.0,75,0.02201
0.0,30,0.023175
0.0,28,0.024261
0.0,36,0.025607
0.0,19,0.026353
0.0,1,0.026465
0.0,5,0.02672
0.0,100,0.030203
0.0,32,0.031376
0.0,22,0.032246
0.0,92,0.035445
0.0,7,0.035762
0.0,8,0.036103
1.0,15,0.03668
0.0,5,0.036924
0.0,9,0.037309
0.0,3,0.037483
0.0,6,0.037765
0.0,23,0.038601
0.0,10,0.039007
0.0,3,0.039195
0.0,2,0.039335
0.0,10,0.039751
0.0,5,0.039987
0.0,11,0.040424
0.0,14,0.040962
1.0,25,0.041869
0.0,11,0.042317
0.0,27,0.043276
0.0,28,0.044278
0.0,57,0.046223
0.0,3,0.046403
0.0,5,0.046641
0.0,6,0.046914
0.0,9,0.048075
0.0,14,0.048647
0.0,1,0.048745
0.0,6,0.048994
0.0,28,0.049896
0.0,5,0.050113
0.0,8,0.050425
0.0,44,0.051784
0.0,9,0.052121
0.0,31,0.0531
0.0,21,0.053796
0.0,2,0.053922
1.0,20,0.054595
0.0,9,0.05492
0.0,7,0.055209
0.0,30,0.056158
0.0,9,0.056507
0.0,4,0.056699
0.0,6,0.056937
0.0,6,0.057185
0.0,24,0.057931
0.0,30,0.058885
0.0,12,0.059312
0.0,8,0.059617
0.0,12,0.060034
0.0,3,0.060195
0.0,3,0.060349
0.0,1,0.060439
0.0,1,0.060535
1.0,26,0.061373
0.0,23,0.062109
1.0,13,0.062568
0.0,1,0.06266
