#{"t_start": 1523135968.574517, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,27,0.035195
0.0,38,0.036951
0.0,19,0.037842
0.0,22,0.038857
0.0,24,0.039964
0.0,100,0.044328
0.0,13,0.044961
0.0,20,0.045895
0.0,56,0.048373
0.0,33,0.049873
1.0,78,0.053296
0.0,14,0.053981
0.0,61,0.056679
0.0,62,0.059432
0.0,48,0.061563
0.0,8,0.061989
0.0,10,0.062491
0.0,7,0.062873
0.0,25,0.064031
0.0,15,0.064749
0.0,15,0.065474
0.0,39,0.067232
0.0,49,0.069422
0.0,16,0.07019
0.0,51,0.072456
0.0,29,0.073794
0.0,33,0.075299
1.0,28,0.076583
1.0,95,0.080755
0.0,32,0.082217
0.0,36,0.08385
0.0,3,0.084053
0.0,21,0.085039
0.0,3,0.085244
0.0,39,0.086994
0.0,11,0.087537
0.0,4,0.087792
1.0,95,0.091941
0.0,31,0.093358
0.0,7,0.093728
1.0,91,0.09772
0.0,12,0.098311
1.0,30,0.099674
0.0,30,0.101051
1.0,42,0.102949
0.0,12,0.103542
0.0,28,0.104837
0.0,39,0.106578
0.0,10,0.107085
1.0,91,0.111078
0.0,12,0.111662
1.0,33,0.113165
0.0,10,0.113664
1.0,20,0.11461
1.0,22,0.115631
1.0,42,0.11751
0.0,45,0.119525
0.0,34,0.121062
1.0,35,0.122639
0.0,14,0.123327
0.0,15,0.124065
1.0,35,0.125641
1.0,30,0.127017
1.0,12,0.127595
1.0,59,0.130207
1.0,82,0.133814
0.0,55,0.136255
0.0,8,0.136733
0.0,100,0.141143
0.0,27,0.142378
1.0,78,0.145801
0.0,3,0.146003
0.0,11,0.146541
1.0,40,0.148341
1.0,22,0.149363
0.0,100,0.153719
0.0,7,0.154104
1.0,45,0.156113
1.0,82,0.159695
0.0,13,0.160326
1.0,34,0.161859
0.0,12,0.162446
0.0,25,0.163602
0.0,18,0.164465
1.0,25,0.165616
1.0,21,0.166589
1.0,64,0.169413
1.0,22,0.170437
0.0,23,0.171503
1.0,97,0.175746
0.0,65,0.178611
0.0,7,0.178995
0.0,16,0.179749
0.0,9,0.180216
0.0,30,0.181572
1.0,18,0.182421
1.0,34,0.183976
