#{"t_start": 1523126317.526143, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,8,0.034896
0.0,20,0.035973
0.0,22,0.036988
0.0,51,0.039254
0.0,48,0.041373
0.0,16,0.042135
0.0,11,0.042676
0.0,91,0.046632
0.0,38,0.048328
0.0,17,0.049137
0.0,63,0.051879
0.0,76,0.055213
0.0,100,0.059566
0.0,14,0.060243
0.0,35,0.06181
0.0,46,0.063843
0.0,37,0.065515
1.0,15,0.066242
0.0,17,0.06704
0.0,15,0.067747
0.0,38,0.069438
0.0,9,0.069888
0.0,17,0.070692
0.0,11,0.071243
0.0,9,0.071692
0.0,12,0.07228
0.0,24,0.073379
0.0,10,0.073873
0.0,14,0.07455
0.0,17,0.075354
0.0,57,0.077872
0.0,39,0.079618
0.0,78,0.083023
0.0,7,0.083392
0.0,23,0.084448
0.0,25,0.085598
0.0,28,0.08687
0.0,11,0.087417
0.0,42,0.089288
0.0,18,0.090137
0.0,26,0.091322
1.0,50,0.093531
1.0,8,0.093938
0.0,42,0.095809
0.0,8,0.096228
0.0,33,0.0977
0.0,24,0.098801
0.0,3,0.099
0.0,30,0.100363
0.0,12,0.100943
0.0,32,0.102387
0.0,24,0.103493
0.0,28,0.104764
0.0,31,0.10618
0.0,11,0.106722
0.0,73,0.109931
0.0,12,0.110522
0.0,17,0.111326
1.0,41,0.113157
1.0,25,0.1143
0.0,20,0.115238
0.0,12,0.115815
0.0,4,0.116069
0.0,4,0.116309
0.0,29,0.117613
1.0,22,0.118622
0.0,42,0.120482
0.0,92,0.124481
0.0,24,0.125593
1.0,8,0.126003
0.0,100,0.130374
0.0,28,0.131648
0.0,23,0.132701
0.0,12,0.133303
0.0,16,0.13406
0.0,7,0.134429
0.0,30,0.135858
0.0,41,0.137697
1.0,43,0.139624
0.0,28,0.140896
0.0,66,0.143802
0.0,37,0.145474
1.0,72,0.14863
0.0,7,0.149003
0.0,31,0.150415
0.0,58,0.152974
0.0,39,0.154716
1.0,11,0.155268
0.0,19,0.156156
0.0,25,0.157296
1.0,39,0.159041
0.0,37,0.160686
1.0,25,0.16182
1.0,9,0.162281
1.0,7,0.162646
0.0,16,0.163404
0.0,13,0.164036
0.0,40,0.165819
0.0,16,0.166579
0.0,8,0.166993
0.0,34,0.168532
0.0,48,0.170674
0.0,26,0.171861
0.0,13,0.172496
0.0,24,0.1736
0.0,34,0.175139
