#{"t_start": 1523121187.27323, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,100,0.010438
0.0,100,0.013182
0.0,100,0.015864
0.0,96,0.018468
0.0,100,0.021162
0.0,42,0.02234
0.0,100,0.02502
0.0,12,0.025419
0.0,39,0.026501
0.0,100,0.02918
1.0,93,0.031696
0.0,30,0.032591
0.0,31,0.03349
0.0,50,0.034874
0.0,19,0.035448
0.0,12,0.035826
0.0,76,0.03789
0.0,68,0.039719
0.0,56,0.041251
0.0,4,0.041432
0.0,100,0.04412
0.0,28,0.044911
0.0,16,0.045416
1.0,25,0.046151
0.0,9,0.04645
0.0,68,0.048279
1.0,32,0.049186
0.0,39,0.050281
0.0,47,0.051581
1.0,28,0.052375
0.0,40,0.053489
0.0,10,0.053818
1.0,71,0.055759
0.0,50,0.057154
0.0,9,0.057457
1.0,20,0.058055
1.0,8,0.058332
0.0,53,0.059785
0.0,8,0.060069
1.0,7,0.060315
0.0,9,0.060621
0.0,100,0.063268
1.0,24,0.063949
0.0,100,0.06665
1.0,16,0.067154
1.0,74,0.06917
1.0,25,0.069888
1.0,8,0.070177
0.0,8,0.070455
0.0,23,0.071127
1.0,20,0.071716
0.0,11,0.072081
0.0,41,0.073256
1.0,28,0.074063
1.0,48,0.075397
0.0,86,0.077732
0.0,56,0.079278
0.0,94,0.081786
0.0,10,0.082138
0.0,23,0.082824
0.0,60,0.084477
0.0,30,0.085336
0.0,30,0.086186
0.0,25,0.086911
0.0,12,0.087298
0.0,11,0.087654
0.0,39,0.088744
0.0,29,0.089585
0.0,75,0.091584
0.0,5,0.091789
0.0,33,0.092725
0.0,100,0.095397
0.0,71,0.097328
0.0,18,0.097866
0.0,100,0.100538
0.0,84,0.10286
1.0,99,0.10554
0.0,60,0.1072
0.0,17,0.107715
0.0,100,0.110513
0.0,67,0.112374
0.0,8,0.112659
1.0,21,0.113293
0.0,5,0.113494
0.0,12,0.11388
0.0,7,0.114138
1.0,82,0.116342
0.0,7,0.116595
1.0,37,0.117638
0.0,9,0.117939
1.0,49,0.119289
0.0,17,0.119792
1.0,42,0.120952
0.0,28,0.121749
1.0,19,0.122325
1.0,39,0.123408
0.0,5,0.123604
0.0,26,0.124358
0.0,44,0.125583
0.0,21,0.126216
1.0,22,0.126854
0.0,11,0.127234
0.0,32,0.128147
0.0,5,0.128351
0.0,73,0.130308
0.0,67,0.132151
0.0,52,0.133582
1.0,83,0.135843
1.0,23,0.136517
1.0,42,0.137675
0.0,36,0.138689
0.0,41,0.139829
0.0,44,0.141063
0.0,32,0.141967
0.0,53,0.143411
0.0,22,0.144066
0.0,24,0.144765
0.0,100,0.147464
0.0,34,0.148415
0.0,100,0.151092
0.0,6,0.151331
0.0,100,0.154
0.0,44,0.155233
0.0,12,0.155625
1.0,68,0.157477
0.0,35,0.158467
0.0,17,0.158973
0.0,32,0.159887
0.0,100,0.162586
0.0,9,0.162901
1.0,38,0.16397
0.0,28,0.164776
0.0,25,0.165513
1.0,7,0.165762
1.0,79,0.167898
1.0,11,0.168273
0.0,6,0.168505
0.0,100,0.171197
0.0,100,0.173877
1.0,24,0.174569
1.0,27,0.175333
0.0,45,0.1766
0.0,67,0.178416
1.0,40,0.179524
1.0,70,0.181437
1.0,26,0.182205
0.0,26,0.18295
0.0,100,0.185619
1.0,38,0.18669
0.0,21,0.187325
0.0,9,0.187631
1.0,48,0.188942
0.0,46,0.190228
1.0,40,0.191345
0.0,9,0.191641
1.0,36,0.192649
1.0,12,0.193022
1.0,86,0.195335
1.0,16,0.195824
1.0,7,0.196079
0.0,100,0.198712
0.0,66,0.200498
1.0,68,0.202335
0.0,54,0.203833
1.0,13,0.204249
1.0,46,0.205523
0.0,41,0.206664
1.0,28,0.207486
1.0,61,0.209155
0.0,24,0.209921
1.0,17,0.210447
0.0,12,0.210832
0.0,52,0.212299
1.0,21,0.212922
1.0,37,0.213954
1.0,13,0.214373
0.0,50,0.215737
1.0,29,0.216573
0.0,18,0.21711
1.0,17,0.217618
1.0,19,0.218195
0.0,73,0.220147
0.0,20,0.220742
1.0,33,0.221685
1.0,43,0.222871
0.0,25,0.223591
0.0,32,0.224494
0.0,35,0.225474
1.0,10,0.225801
1.0,42,0.226941
1.0,31,0.227819
0.0,50,0.229213
0.0,92,0.231667
1.0,22,0.232317
0.0,10,0.232649
0.0,56,0.234199
1.0,38,0.235257
0.0,31,0.236144
1.0,26,0.236902
1.0,16,0.237384
0.0,100,0.240047
0.0,78,0.242179
0.0,51,0.243564
1.0,69,0.24542
1.0,82,0.247657
1.0,37,0.248687
1.0,44,0.249918
1.0,21,0.250556
1.0,10,0.250881
0.0,58,0.252462
1.0,33,0.253393
1.0,24,0.254111
0.0,100,0.256791
1.0,39,0.257878
1.0,18,0.258423
0.0,59,0.260022
0.0,15,0.260499
1.0,41,0.261641
1.0,83,0.263859
1.0,51,0.265265
0.0,9,0.265574
0.0,28,0.266389
0.0,20,0.266973
1.0,18,0.267509
0.0,37,0.268563
1.0,25,0.269292
0.0,45,0.270554
0.0,48,0.271914
1.0,18,0.272457
1.0,47,0.273749
1.0,8,0.274038
1.0,13,0.27444
0.0,100,0.27713
1.0,12,0.277509
0.0,15,0.277977
