#{"t_start": 1522233001.4326842, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,10,0.024195
0.0,3,0.024502
0.0,21,0.025989
0.0,14,0.026999
0.0,67,0.031425
0.0,10,0.032112
0.0,16,0.032865
0.0,75,0.036123
0.0,13,0.036754
0.0,32,0.038172
0.0,21,0.039154
0.0,17,0.039957
0.0,90,0.043903
0.0,42,0.045778
0.0,17,0.046571
0.0,8,0.046996
0.0,11,0.047539
0.0,22,0.048557
0.0,10,0.049071
0.0,47,0.05117
0.0,39,0.052947
0.0,83,0.056579
0.0,53,0.05894
1.0,35,0.060509
0.0,100,0.06491
0.0,41,0.066731
0.0,22,0.067758
0.0,11,0.068299
1.0,31,0.069716
0.0,67,0.072669
0.0,13,0.073307
0.0,76,0.076635
0.0,100,0.080997
0.0,98,0.085283
0.0,10,0.085799
0.0,25,0.086943
0.0,49,0.089129
1.0,14,0.089803
1.0,35,0.091371
0.0,8,0.091801
0.0,46,0.093861
0.0,81,0.097406
0.0,7,0.09779
0.0,29,0.09911
0.0,11,0.099652
0.0,26,0.100857
0.0,14,0.101529
0.0,14,0.102215
0.0,7,0.102591
0.0,8,0.103017
1.0,37,0.104682
0.0,9,0.105152
0.0,8,0.10557
0.0,4,0.105821
0.0,11,0.106361
0.0,10,0.10687
0.0,10,0.107372
0.0,14,0.108047
0.0,10,0.108544
0.0,19,0.109427
1.0,22,0.110456
0.0,6,0.110796
0.0,40,0.112599
0.0,51,0.114862
0.0,4,0.115107
1.0,26,0.116292
0.0,56,0.118778
0.0,4,0.119019
0.0,31,0.120426
0.0,11,0.120973
0.0,19,0.121872
0.0,9,0.12233
0.0,8,0.122755
0.0,16,0.123507
1.0,17,0.124385
0.0,49,0.126573
0.0,9,0.127044
0.0,13,0.127664
0.0,13,0.128304
1.0,25,0.129458
0.0,18,0.130307
0.0,33,0.131814
0.0,17,0.132608
0.0,21,0.133585
0.0,27,0.13484
0.0,26,0.136032
0.0,12,0.136623
0.0,50,0.138836
0.0,3,0.139038
1.0,13,0.139667
0.0,26,0.140876
0.0,18,0.141714
1.0,13,0.142349
0.0,5,0.142631
0.0,26,0.143838
0.0,5,0.144126
0.0,17,0.144929
0.0,13,0.145553
