#{"t_start": 1522231239.0832157, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.018491
0.0,4,0.018881
0.0,2,0.019116
0.0,19,0.020503
0.0,44,0.023527
0.0,16,0.024686
0.0,33,0.026202
0.0,6,0.026547
0.0,21,0.027541
0.0,20,0.028493
0.0,5,0.02878
0.0,10,0.029286
0.0,19,0.030196
0.0,46,0.032287
0.0,6,0.032634
0.0,35,0.034237
0.0,77,0.037704
0.0,27,0.038957
0.0,100,0.043446
0.0,10,0.043955
0.0,13,0.04461
0.0,68,0.047668
0.0,40,0.049498
0.0,13,0.050135
0.0,38,0.051887
1.0,56,0.054423
1.0,13,0.055083
1.0,50,0.057354
1.0,33,0.058872
0.0,10,0.059378
0.0,17,0.060194
0.0,9,0.060665
1.0,22,0.0617
1.0,11,0.06225
1.0,12,0.062859
0.0,12,0.063461
0.0,52,0.065817
1.0,19,0.066724
0.0,29,0.068071
0.0,91,0.072136
1.0,30,0.073523
0.0,43,0.075492
1.0,9,0.075954
1.0,94,0.080141
0.0,59,0.082813
0.0,44,0.084832
1.0,6,0.085164
1.0,14,0.085854
0.0,45,0.087893
1.0,59,0.09055
1.0,35,0.092151
1.0,26,0.09336
0.0,46,0.095473
0.0,45,0.097526
0.0,14,0.098201
0.0,16,0.098972
0.0,6,0.099304
1.0,82,0.102972
0.0,6,0.103303
0.0,4,0.103558
0.0,7,0.103931
0.0,86,0.107763
0.0,4,0.10801
1.0,11,0.108569
0.0,5,0.108858
0.0,13,0.109509
0.0,5,0.109799
1.0,7,0.110173
0.0,15,0.11091
1.0,10,0.111416
0.0,5,0.11171
1.0,23,0.112786
0.0,43,0.114755
0.0,23,0.115843
0.0,20,0.116794
0.0,64,0.119683
0.0,13,0.120384
1.0,52,0.122736
0.0,6,0.123066
1.0,44,0.125072
0.0,10,0.125588
0.0,9,0.126056
0.0,11,0.126613
1.0,32,0.128081
0.0,12,0.12869
1.0,17,0.129509
0.0,12,0.130102
1.0,23,0.131201
0.0,37,0.132924
0.0,45,0.134983
0.0,20,0.13594
0.0,17,0.136756
0.0,8,0.137171
0.0,17,0.13799
0.0,6,0.138325
0.0,85,0.14211
0.0,22,0.143152
0.0,34,0.144727
0.0,4,0.144974
0.0,26,0.146178
1.0,32,0.147662
0.0,10,0.148168
0.0,38,0.149914
0.0,25,0.151088
0.0,3,0.151292
0.0,35,0.152904
0.0,79,0.156473
0.0,36,0.158116
0.0,21,0.159121
0.0,10,0.159642
1.0,15,0.160367
0.0,5,0.160666
0.0,21,0.161665
0.0,19,0.162574
0.0,63,0.165422
0.0,21,0.166415
1.0,10,0.166931
0.0,19,0.167837
0.0,16,0.168617
0.0,4,0.168861
1.0,20,0.169812
0.0,21,0.170804
0.0,43,0.172771
0.0,30,0.174151
0.0,3,0.174354
1.0,8,0.174785
0.0,26,0.175996
1.0,36,0.177659
0.0,41,0.179536
0.0,4,0.179781
1.0,21,0.18077
0.0,10,0.181271
0.0,6,0.181609
0.0,20,0.182561
0.0,11,0.183107
1.0,23,0.184178
0.0,60,0.186899
1.0,15,0.18763
0.0,6,0.187962
1.0,48,0.190135
1.0,26,0.191348
0.0,5,0.191651
0.0,89,0.195621
0.0,25,0.196783
0.0,59,0.199443
0.0,12,0.200036
1.0,16,0.200814
0.0,8,0.201231
1.0,8,0.201657
0.0,63,0.204491
1.0,12,0.205081
0.0,7,0.205466
0.0,43,0.20742
1.0,44,0.209402
0.0,6,0.209742
