#{"t_start": 1523135637.351492, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,57,0.007423
0.0,12,0.00775
0.0,28,0.008398
0.0,78,0.010066
0.0,23,0.010591
0.0,20,0.011076
0.0,97,0.013098
0.0,58,0.014364
0.0,100,0.01642
0.0,13,0.016751
0.0,100,0.018828
0.0,20,0.019355
0.0,42,0.020268
0.0,8,0.020497
0.0,82,0.022248
0.0,100,0.02436
0.0,18,0.024796
0.0,20,0.025278
0.0,9,0.025523
0.0,19,0.025959
0.0,38,0.026798
0.0,18,0.027234
0.0,7,0.027441
0.0,45,0.028421
0.0,11,0.028705
0.0,12,0.029028
0.0,23,0.029562
0.0,8,0.029789
0.0,6,0.029975
0.0,11,0.030271
0.0,43,0.031199
0.0,36,0.03201
0.0,15,0.032374
0.0,57,0.033591
0.0,39,0.034441
0.0,25,0.035016
0.0,77,0.036623
0.0,14,0.036974
0.0,100,0.039067
1.0,51,0.040166
0.0,14,0.04053
0.0,12,0.040841
0.0,100,0.04293
0.0,8,0.043164
0.0,13,0.0435
1.0,15,0.04388
0.0,13,0.044226
0.0,47,0.045238
0.0,13,0.045568
0.0,7,0.04578
0.0,19,0.046245
0.0,13,0.046561
1.0,12,0.046856
0.0,12,0.047161
1.0,7,0.047368
0.0,31,0.048069
0.0,51,0.049148
0.0,13,0.04947
0.0,54,0.050626
0.0,9,0.050885
0.0,76,0.052486
0.0,60,0.053769
0.0,19,0.054222
0.0,22,0.054724
0.0,13,0.055051
0.0,13,0.055377
0.0,6,0.055554
0.0,11,0.055848
1.0,17,0.056275
0.0,64,0.057636
0.0,33,0.058365
0.0,49,0.059557
0.0,34,0.060371
0.0,16,0.060774
0.0,21,0.061264
0.0,52,0.062452
0.0,11,0.062773
0.0,11,0.063114
0.0,34,0.063915
0.0,9,0.064171
0.0,50,0.065252
0.0,13,0.065574
0.0,19,0.066031
0.0,74,0.067566
0.0,13,0.067895
0.0,14,0.068256
0.0,10,0.068561
1.0,21,0.069097
0.0,29,0.069756
0.0,60,0.071028
0.0,15,0.071415
0.0,91,0.073375
