#{"t_start": 1522231604.560148, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,100,0.00817
0.0,4,0.008355
0.0,5,0.00855
0.0,8,0.008802
0.0,17,0.009284
0.0,18,0.009781
0.0,4,0.009943
0.0,14,0.01035
0.0,10,0.010656
0.0,26,0.01135
0.0,25,0.011999
0.0,2,0.012108
0.0,6,0.012311
0.0,14,0.012727
0.0,16,0.013175
0.0,8,0.013445
0.0,6,0.013654
0.0,5,0.013836
0.0,5,0.014015
0.0,8,0.014268
0.0,16,0.01473
0.0,14,0.015139
0.0,30,0.015933
0.0,39,0.016951
1.0,12,0.017298
0.0,43,0.018395
0.0,7,0.018626
0.0,40,0.01966
0.0,3,0.0198
1.0,12,0.020154
0.0,12,0.020518
0.0,13,0.0209
0.0,52,0.022222
0.0,39,0.023242
0.0,7,0.023492
0.0,10,0.023802
0.0,7,0.024033
0.0,9,0.024325
0.0,6,0.024532
0.0,2,0.024643
0.0,3,0.02478
0.0,14,0.025187
0.0,6,0.025409
0.0,17,0.025881
0.0,12,0.026225
0.0,19,0.026753
0.0,22,0.027344
0.0,7,0.02758
0.0,30,0.028367
0.0,9,0.028652
0.0,4,0.028807
1.0,10,0.02912
0.0,6,0.029338
0.0,12,0.029703
0.0,18,0.030194
0.0,3,0.030334
0.0,21,0.030916
0.0,15,0.031355
0.0,27,0.032054
0.0,14,0.032466
0.0,6,0.032671
0.0,47,0.033844
0.0,7,0.034074
0.0,7,0.0343
0.0,4,0.034466
0.0,5,0.03465
0.0,5,0.034831
1.0,11,0.035171
0.0,29,0.035932
0.0,17,0.036414
0.0,15,0.036828
0.0,14,0.037225
0.0,9,0.037515
0.0,14,0.037909
0.0,2,0.038014
0.0,4,0.038179
0.0,5,0.038371
0.0,5,0.038551
1.0,15,0.038968
0.0,43,0.040051
0.0,6,0.040267
0.0,8,0.04054
0.0,2,0.040653
0.0,19,0.041162
0.0,17,0.041637
0.0,43,0.042724
1.0,27,0.043438
0.0,5,0.043623
0.0,17,0.044098
0.0,26,0.044798
0.0,22,0.045386
0.0,6,0.045599
0.0,4,0.045753
1.0,11,0.046076
0.0,9,0.046359
0.0,5,0.046546
0.0,8,0.046803
0.0,13,0.047184
0.0,8,0.047454
0.0,28,0.048185
0.0,2,0.048291
0.0,7,0.048536
0.0,10,0.048847
0.0,5,0.049033
1.0,20,0.049584
0.0,15,0.050008
0.0,10,0.050331
0.0,5,0.050522
0.0,2,0.050629
0.0,50,0.051901
0.0,6,0.052108
0.0,5,0.052291
0.0,13,0.052667
0.0,31,0.053477
0.0,9,0.053752
0.0,14,0.054148
