#{"t_start": 1523135177.405488, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.006691
0.0,4,0.006872
0.0,16,0.007385
0.0,3,0.007541
0.0,5,0.007734
0.0,21,0.008308
0.0,8,0.008567
0.0,6,0.008774
0.0,4,0.00893
0.0,42,0.010005
0.0,11,0.01035
0.0,47,0.011509
0.0,6,0.011729
0.0,7,0.011968
0.0,7,0.012242
0.0,6,0.012454
0.0,25,0.013121
0.0,6,0.01333
0.0,3,0.013469
0.0,10,0.013773
0.0,4,0.013936
0.0,26,0.014632
0.0,5,0.014817
0.0,20,0.015378
0.0,10,0.015683
0.0,79,0.017654
0.0,22,0.018296
0.0,34,0.019172
0.0,4,0.019339
0.0,16,0.019785
0.0,3,0.019924
0.0,10,0.020246
0.0,13,0.020631
0.0,7,0.020862
0.0,5,0.021051
0.0,24,0.021708
0.0,22,0.022302
0.0,14,0.022706
0.0,3,0.022841
0.0,10,0.023159
0.0,23,0.023786
0.0,8,0.024047
0.0,8,0.024343
0.0,5,0.024533
0.0,2,0.024648
0.0,4,0.02481
0.0,5,0.025
0.0,2,0.025118
0.0,7,0.025357
0.0,6,0.025568
0.0,26,0.026273
0.0,6,0.026483
0.0,6,0.026689
0.0,4,0.026852
0.0,9,0.027142
0.0,23,0.027753
0.0,14,0.028174
1.0,20,0.028711
1.0,46,0.02984
0.0,16,0.030303
0.0,21,0.030876
0.0,6,0.031094
0.0,9,0.031393
0.0,5,0.03158
0.0,4,0.031738
0.0,3,0.031876
0.0,2,0.031986
0.0,3,0.032127
0.0,18,0.03261
0.0,12,0.032959
0.0,4,0.033124
0.0,19,0.033638
0.0,20,0.034207
0.0,6,0.034423
0.0,4,0.034591
1.0,18,0.035079
0.0,9,0.035367
0.0,5,0.035548
0.0,11,0.035866
0.0,41,0.036903
0.0,10,0.037232
0.0,3,0.037371
0.0,6,0.037575
0.0,4,0.037738
0.0,6,0.037942
0.0,14,0.038342
0.0,12,0.038693
0.0,30,0.039476
0.0,23,0.040097
0.0,17,0.040596
0.0,19,0.041131
0.0,2,0.041244
0.0,2,0.041358
0.0,5,0.041551
0.0,13,0.041925
0.0,4,0.042083
0.0,3,0.042273
0.0,16,0.042721
0.0,38,0.043712
0.0,3,0.043858
1.0,28,0.044597
1.0,14,0.045007
0.0,2,0.04513
0.0,26,0.04582
0.0,8,0.046072
0.0,7,0.046309
0.0,6,0.046513
0.0,7,0.046757
0.0,9,0.04703
0.0,15,0.047465
0.0,5,0.04765
0.0,16,0.048091
0.0,13,0.048486
0.0,5,0.04867
0.0,23,0.049302
0.0,10,0.049605
0.0,24,0.050265
0.0,15,0.050681
1.0,13,0.051074
0.0,20,0.05162
0.0,21,0.052213
0.0,5,0.052399
0.0,6,0.052604
0.0,15,0.053019
0.0,17,0.053495
0.0,33,0.054397
0.0,12,0.054758
0.0,14,0.055167
0.0,12,0.055511
0.0,9,0.055784
0.0,21,0.056357
0.0,6,0.056565
0.0,16,0.057024
0.0,3,0.057175
0.0,7,0.057421
0.0,2,0.057532
1.0,24,0.058175
0.0,65,0.059779
0.0,57,0.061218
0.0,21,0.061785
0.0,17,0.062264
0.0,22,0.062857
0.0,13,0.063237
0.0,10,0.063536
0.0,10,0.063842
0.0,2,0.06395
0.0,20,0.064528
0.0,25,0.065202
0.0,32,0.066031
0.0,9,0.06633
1.0,46,0.067476
0.0,17,0.067955
0.0,34,0.068865
0.0,11,0.069207
0.0,6,0.069414
0.0,4,0.069572
0.0,33,0.070428
0.0,15,0.070864
0.0,9,0.071152
0.0,14,0.071549
0.0,6,0.071754
0.0,9,0.072033
0.0,10,0.072341
0.0,12,0.072698
0.0,2,0.072814
0.0,5,0.072995
0.0,25,0.073656
1.0,16,0.074093
0.0,2,0.074212
0.0,19,0.074738
0.0,2,0.074848
0.0,2,0.074956
1.0,9,0.075246
0.0,9,0.07553
0.0,32,0.076358
1.0,18,0.076852
0.0,23,0.077492
0.0,16,0.07794
0.0,22,0.078571
0.0,22,0.079171
0.0,12,0.079521
0.0,7,0.07975
1.0,20,0.080302
0.0,23,0.080921
0.0,7,0.081197
0.0,6,0.081413
0.0,14,0.081807
1.0,33,0.082678
0.0,12,0.083028
0.0,9,0.083317
0.0,13,0.083692
0.0,20,0.084265
0.0,8,0.084522
0.0,9,0.084795
0.0,30,0.085572
0.0,14,0.085974
0.0,14,0.086377
0.0,18,0.086873
0.0,2,0.086982
1.0,11,0.087332
0.0,36,0.088262
0.0,11,0.088591
0.0,14,0.08899
0.0,13,0.089369
0.0,7,0.089605
0.0,24,0.090267
0.0,6,0.090482
0.0,5,0.09068
0.0,5,0.090864
0.0,7,0.091094
0.0,29,0.091856
0.0,24,0.0925
0.0,20,0.093047
0.0,17,0.093521
0.0,8,0.093805
0.0,10,0.094128
0.0,12,0.094499
0.0,9,0.09478
0.0,23,0.095404
0.0,5,0.095592
0.0,5,0.095775
0.0,10,0.096083
1.0,18,0.096599
0.0,9,0.096883
0.0,4,0.097048
0.0,7,0.097297
0.0,3,0.097432
0.0,7,0.097667
0.0,7,0.097896
0.0,6,0.098098
0.0,2,0.098215
0.0,5,0.098395
0.0,8,0.098642
0.0,7,0.098876
0.0,5,0.099058
0.0,11,0.099388
0.0,22,0.099978
0.0,6,0.100213
0.0,8,0.100482
1.0,12,0.100833
0.0,12,0.101198
0.0,13,0.101565
0.0,5,0.101744
0.0,28,0.102475
0.0,4,0.10264
0.0,12,0.102997
0.0,5,0.103207
0.0,20,0.103742
0.0,7,0.103969
0.0,3,0.104115
0.0,6,0.104323
0.0,5,0.104509
0.0,5,0.104691
0.0,8,0.10494
0.0,5,0.105136
0.0,22,0.10571
0.0,8,0.105974
0.0,4,0.106143
0.0,3,0.106278
0.0,9,0.106562
0.0,14,0.107033
0.0,17,0.107527
0.0,4,0.1077
0.0,6,0.107906
0.0,7,0.108143
0.0,12,0.108507
0.0,3,0.10865
0.0,4,0.108808
0.0,8,0.109065
0.0,11,0.1094
0.0,5,0.109595
0.0,21,0.11017
0.0,36,0.111098
0.0,13,0.111496
0.0,2,0.111606
0.0,4,0.111762
0.0,35,0.112656
0.0,24,0.113312
0.0,16,0.113762
0.0,15,0.114183
0.0,12,0.114537
0.0,9,0.114821
0.0,13,0.115209
0.0,10,0.115518
0.0,3,0.11566
0.0,12,0.116008
0.0,2,0.116123
0.0,12,0.116479
0.0,17,0.116934
0.0,4,0.117096
0.0,7,0.117344
0.0,5,0.117527
0.0,7,0.117766
0.0,3,0.117904
0.0,4,0.118062
0.0,4,0.118226
0.0,7,0.118453
0.0,18,0.118945
0.0,4,0.119114
1.0,20,0.119673
0.0,3,0.119808
0.0,9,0.120087
0.0,8,0.120358
0.0,3,0.120493
0.0,22,0.12108
1.0,11,0.121414
0.0,42,0.122489
0.0,10,0.122803
1.0,44,0.123896
0.0,21,0.12447
1.0,8,0.124726
0.0,16,0.125178
0.0,14,0.125578
0.0,4,0.125734
0.0,2,0.125841
0.0,5,0.126019
0.0,10,0.126323
0.0,9,0.126607
0.0,18,0.127091
0.0,10,0.127404
0.0,9,0.127687
0.0,19,0.12822
0.0,2,0.128331
0.0,48,0.129535
0.0,13,0.129924
0.0,11,0.130268
0.0,12,0.130618
0.0,4,0.130775
0.0,15,0.131205
0.0,17,0.131688
0.0,11,0.132009
0.0,8,0.13227
0.0,14,0.132674
0.0,7,0.132911
0.0,10,0.133237
0.0,39,0.134225
0.0,4,0.13439
0.0,18,0.13489
0.0,13,0.135279
0.0,37,0.136219
0.0,18,0.136709
0.0,25,0.137373
0.0,18,0.137867
0.0,18,0.138371
0.0,23,0.138984
0.0,17,0.139469
0.0,25,0.140132
0.0,18,0.140622
0.0,10,0.140938
0.0,2,0.141053
0.0,3,0.141205
0.0,16,0.141649
0.0,6,0.14186
0.0,26,0.14259
0.0,4,0.142758
